"apgroup_num","apgroup_name","apmean_bno2","apsd_bno2","apmean_bpm25","apsd_bpm25","transport_fraction","alpha","beta"
0,,5.918,1,7.37,1,0.5,10,10
1,"BristolCityReg",6.904,1,7.591,1,0.5,10,10
2,"London",19.984,1,11.437,1,0.5,10,10
,"greatermanchester",19.984,1,11.437,1,0.5,10,10
,"leeds",19.984,1,11.437,1,0.5,10,10
,"sheffield",19.984,1,11.437,1,0.5,10,10
,"nottingham",19.984,1,11.437,1,0.5,10,10
,"northeast",19.984,1,11.437,1,0.5,10,10
,"westmidlands",19.984,1,11.437,1,0.5,10,10
,"liverpool",19.984,1,11.437,1,0.5,10,10
