"city","V1","Motorway","other"
"liverpool","car",8221443.595,33590495.9417787
"nottingham","car",3849084.651,35885182.7361266
"bristol","car",15079141.1575,30573399.4900317
"northeast","car",4730255.387,60852051.9374524
"greatermanchester","car",28294714.3345,57018405.7943955
"sheffield","car",13200028.849,32024715.3322088
"westmidlands","car",13337503.6535,64660397.204629
"leeds","car",19285781.232,53291991.2590788
"london","car",10249390.165,128019583.361118
"liverpool","lgv",1405995.1475,5516387.70895609
"nottingham","lgv",721571.274,6498537.8743763
"bristol","lgv",2319619.603,5137000.93483442
"northeast","lgv",865714.1175,10542821.67431
"greatermanchester","lgv",5047567.845,9252018.19963187
"sheffield","lgv",2678335.5075,6116205.25131378
"westmidlands","lgv",2641541.719,10645651.7647093
"leeds","lgv",4012762.49525,9226160.61353814
"london","lgv",1805013.768,21684277.1335188
"liverpool","hgv",945715.876,1109592.09836259
"nottingham","hgv",730096.3965,2233794.15540046
"bristol","hgv",1801772.6775,771862.814775339
"northeast","hgv",574310.491,2559381.05704268
"greatermanchester","hgv",3406313.0425,1451370.74549047
"sheffield","hgv",2813463.2525,1212930.19018279
"westmidlands","hgv",2334438.53,1368112.94688503
"leeds","hgv",3610911.14625,1698054.65024526
"london","hgv",1379086.6905,4727800.16508035
"liverpool","bicycle",0,404957.28
"nottingham","bicycle",0,745678.4
"bristol","bicycle",0,595519.679999999
"northeast","bicycle",0,601897.44
"greatermanchester","bicycle",0,986007.52
"sheffield","bicycle",0,573944.64
"westmidlands","bicycle",0,820930.56
"leeds","bicycle",0,430585.6
"london","bicycle",0,3471626.4
"liverpool","motorcycle",33943.8685,346595.4915
"nottingham","motorcycle",13641.0355,501318.6445
"bristol","motorcycle",98306.3625,605863.5575
"northeast","motorcycle",18820.276,475161.324
"greatermanchester","motorcycle",107003.035,507447.844999999
"sheffield","motorcycle",44579.7495,349813.5305
"westmidlands","motorcycle",48347.097,599793.543
"leeds","motorcycle",74560.9225,522694.5975
"london","motorcycle",99616.3475,3752231.4925
"liverpool","bus",33688.6605,646788.459499999
"nottingham","bus",14740.89,499566.310000001
"bristol","bus",82323.341,444403.859000001
"northeast","bus",21628.075,1061708.725
"greatermanchester","bus",94057.799,931459.481000001
"sheffield","bus",51658.8515,503121.628499999
"westmidlands","bus",58240.276,1312407.084
"leeds","bus",84491.6965,746392.6235
"london","bus",72908.2755,3253611.7245
