measure_name,sex_name,age_name,cause_name,cityregion,val,population_number
Deaths,Female,10 to 14,All causes,london,22.57522758684648,251158.5128657037
Deaths,Female,10 to 14,Cardiovascular diseases,london,0.8228666502108479,251158.5128657037
Deaths,Female,10 to 14,Chronic obstructive pulmonary disease,london,0.17204365904066932,251158.5128657037
Deaths,Female,10 to 14,Liver cancer,london,0.1209779347555335,251158.5128657037
Deaths,Female,10 to 14,Lower respiratory infections,london,0.8944720741306533,251158.5128657037
Deaths,Female,10 to 14,Neoplasms,london,6.7708489197343456,251158.5128657037
Deaths,Female,10 to 14,Road injuries,london,1.9075072658220007,251158.5128657037
Deaths,Female,10 to 14,Stroke,london,0.1805568003945116,251158.5128657037
Deaths,Female,15 to 19,All causes,london,27.858575705177902,236079.78596734235
Deaths,Female,15 to 19,Breast cancer,london,0.03569265297636635,236079.78596734235
Deaths,Female,15 to 19,Cardiovascular diseases,london,1.3384095931665019,236079.78596734235
Deaths,Female,15 to 19,Chronic obstructive pulmonary disease,london,0.12687362079301767,236079.78596734235
Deaths,Female,15 to 19,Colon and rectum cancer,london,0.0472373190635119,236079.78596734235
Deaths,Female,15 to 19,Diabetes mellitus type 2,london,0.023684857211941326,236079.78596734235
Deaths,Female,15 to 19,Ischemic heart disease,london,0.07325920324404807,236079.78596734235
Deaths,Female,15 to 19,Liver cancer,london,0.1721387318481555,236079.78596734235
Deaths,Female,15 to 19,Lower respiratory infections,london,0.6758884887675434,236079.78596734235
Deaths,Female,15 to 19,Neoplasms,london,5.325538652223336,236079.78596734235
Deaths,Female,15 to 19,Road injuries,london,3.986438087337561,236079.78596734235
Deaths,Female,15 to 19,Stomach cancer,london,0.025292808307271767,236079.78596734235
Deaths,Female,15 to 19,Stroke,london,0.26035290752304807,236079.78596734235
Deaths,Female,15 to 19,"Tracheal, bronchus, and lung cancer",london,0.05986626132602634,236079.78596734235
Deaths,Female,15 to 19,Uterine cancer,london,0.019828726785330517,236079.78596734235
Deaths,Female,20 to 24,All causes,london,50.598240221417775,303947.38292542176
Deaths,Female,20 to 24,Breast cancer,london,0.24748735365021887,303947.38292542176
Deaths,Female,20 to 24,Cardiovascular diseases,london,3.4239691149424933,303947.38292542176
Deaths,Female,20 to 24,Chronic obstructive pulmonary disease,london,0.21051860706132666,303947.38292542176
Deaths,Female,20 to 24,Colon and rectum cancer,london,0.28450711778761617,303947.38292542176
Deaths,Female,20 to 24,Diabetes mellitus type 2,london,0.040456054005328035,303947.38292542176
Deaths,Female,20 to 24,Ischemic heart disease,london,0.27601222931567143,303947.38292542176
Deaths,Female,20 to 24,Liver cancer,london,0.2531875806545369,303947.38292542176
Deaths,Female,20 to 24,Lower respiratory infections,london,1.2847396339360924,303947.38292542176
Deaths,Female,20 to 24,Neoplasms,london,9.115025341419384,303947.38292542176
Deaths,Female,20 to 24,Road injuries,london,5.0542796725174,303947.38292542176
Deaths,Female,20 to 24,Stomach cancer,london,0.10477925094134813,303947.38292542176
Deaths,Female,20 to 24,Stroke,london,0.8086456381605092,303947.38292542176
Deaths,Female,20 to 24,"Tracheal, bronchus, and lung cancer",london,0.15418325483371859,303947.38292542176
Deaths,Female,20 to 24,Uterine cancer,london,0.03797126026344764,303947.38292542176
Deaths,Female,25 to 29,All causes,london,74.01235588439336,417744.26879487664
Deaths,Female,25 to 29,Breast cancer,london,2.1299439229191615,417744.26879487664
Deaths,Female,25 to 29,Cardiovascular diseases,london,5.346038939028036,417744.26879487664
Deaths,Female,25 to 29,Chronic obstructive pulmonary disease,london,0.27359134596084295,417744.26879487664
Deaths,Female,25 to 29,Colon and rectum cancer,london,0.889363860747123,417744.26879487664
Deaths,Female,25 to 29,Diabetes mellitus type 2,london,0.08057394322649948,417744.26879487664
Deaths,Female,25 to 29,Ischemic heart disease,london,0.521588111241373,417744.26879487664
Deaths,Female,25 to 29,Liver cancer,london,0.47229705227657454,417744.26879487664
Deaths,Female,25 to 29,Lower respiratory infections,london,1.869084196959876,417744.26879487664
Deaths,Female,25 to 29,Neoplasms,london,18.552633284539652,417744.26879487664
Deaths,Female,25 to 29,Road injuries,london,4.234263030908427,417744.26879487664
Deaths,Female,25 to 29,Stomach cancer,london,0.4131239283965811,417744.26879487664
Deaths,Female,25 to 29,Stroke,london,1.3554889538301236,417744.26879487664
Deaths,Female,25 to 29,"Tracheal, bronchus, and lung cancer",london,0.42509472939908177,417744.26879487664
Deaths,Female,25 to 29,Uterine cancer,london,0.10809658803819513,417744.26879487664
Deaths,Female,30 to 34,All causes,london,115.16818237586216,439953.0789478347
Deaths,Female,30 to 34,Breast cancer,london,9.072465520611825,439953.0789478347
Deaths,Female,30 to 34,Cardiovascular diseases,london,10.09351142040358,439953.0789478347
Deaths,Female,30 to 34,Chronic obstructive pulmonary disease,london,0.44541247292436825,439953.0789478347
Deaths,Female,30 to 34,Colon and rectum cancer,london,2.40733206985057,439953.0789478347
Deaths,Female,30 to 34,Diabetes mellitus type 2,london,0.234043849873701,439953.0789478347
Deaths,Female,30 to 34,Ischemic heart disease,london,1.8029952113504844,439953.0789478347
Deaths,Female,30 to 34,Liver cancer,london,0.6823309750721788,439953.0789478347
Deaths,Female,30 to 34,Lower respiratory infections,london,2.8086637969708614,439953.0789478347
Deaths,Female,30 to 34,Neoplasms,london,36.76998052529045,439953.0789478347
Deaths,Female,30 to 34,Road injuries,london,3.596938354423361,439953.0789478347
Deaths,Female,30 to 34,Stomach cancer,london,1.1434389641938196,439953.0789478347
Deaths,Female,30 to 34,Stroke,london,2.792548325003691,439953.0789478347
Deaths,Female,30 to 34,"Tracheal, bronchus, and lung cancer",london,1.5141118080826175,439953.0789478347
Deaths,Female,30 to 34,Uterine cancer,london,0.2183052082671218,439953.0789478347
Deaths,Female,35 to 39,All causes,london,164.31429630281707,395817.6009596853
Deaths,Female,35 to 39,Breast cancer,london,21.191177183616755,395817.6009596853
Deaths,Female,35 to 39,Cardiovascular diseases,london,16.80831510400708,395817.6009596853
Deaths,Female,35 to 39,Chronic obstructive pulmonary disease,london,0.8529374005569731,395817.6009596853
Deaths,Female,35 to 39,Colon and rectum cancer,london,4.109567408516254,395817.6009596853
Deaths,Female,35 to 39,Diabetes mellitus type 2,london,0.3299816629407561,395817.6009596853
Deaths,Female,35 to 39,Ischemic heart disease,london,4.053929895652312,395817.6009596853
Deaths,Female,35 to 39,Liver cancer,london,1.0850110897531313,395817.6009596853
Deaths,Female,35 to 39,Lower respiratory infections,london,4.316297470988438,395817.6009596853
Deaths,Female,35 to 39,Neoplasms,london,63.263363882805905,395817.6009596853
Deaths,Female,35 to 39,Road injuries,london,3.2636635956514155,395817.6009596853
Deaths,Female,35 to 39,Stomach cancer,london,1.7815505444675261,395817.6009596853
Deaths,Female,35 to 39,Stroke,london,4.781481365697085,395817.6009596853
Deaths,Female,35 to 39,"Tracheal, bronchus, and lung cancer",london,3.406800534099319,395817.6009596853
Deaths,Female,35 to 39,Uterine cancer,london,0.431593809209955,395817.6009596853
Deaths,Female,40 to 44,All causes,london,257.18535727743296,315079.77179494075
Deaths,Female,40 to 44,Breast cancer,london,40.57501129514332,315079.77179494075
Deaths,Female,40 to 44,Cardiovascular diseases,london,30.99555469054666,315079.77179494075
Deaths,Female,40 to 44,Chronic obstructive pulmonary disease,london,2.613639445740365,315079.77179494075
Deaths,Female,40 to 44,Colon and rectum cancer,london,7.758732235532492,315079.77179494075
Deaths,Female,40 to 44,Diabetes mellitus type 2,london,0.5034610350356435,315079.77179494075
Deaths,Female,40 to 44,Ischemic heart disease,london,8.810825496508237,315079.77179494075
Deaths,Female,40 to 44,Liver cancer,london,1.8742101961407676,315079.77179494075
Deaths,Female,40 to 44,Lower respiratory infections,london,7.08856652383399,315079.77179494075
Deaths,Female,40 to 44,Neoplasms,london,114.2929370800094,315079.77179494075
Deaths,Female,40 to 44,Road injuries,london,3.3514477081952667,315079.77179494075
Deaths,Female,40 to 44,Stomach cancer,london,3.3561067146113603,315079.77179494075
Deaths,Female,40 to 44,Stroke,london,8.689703482770703,315079.77179494075
Deaths,Female,40 to 44,"Tracheal, bronchus, and lung cancer",london,10.19375810350226,315079.77179494075
Deaths,Female,40 to 44,Uterine cancer,london,1.0863318910111999,315079.77179494075
Deaths,Female,45 to 49,All causes,london,415.7234762314684,297020.721726264
Deaths,Female,45 to 49,Breast cancer,london,69.22531823775213,297020.721726264
Deaths,Female,45 to 49,Cardiovascular diseases,london,54.33810074590743,297020.721726264
Deaths,Female,45 to 49,Chronic obstructive pulmonary disease,london,6.589061915693689,297020.721726264
Deaths,Female,45 to 49,Colon and rectum cancer,london,15.189420623374314,297020.721726264
Deaths,Female,45 to 49,Diabetes mellitus type 2,london,1.8516172964499296,297020.721726264
Deaths,Female,45 to 49,Ischemic heart disease,london,18.62450901741251,297020.721726264
Deaths,Female,45 to 49,Liver cancer,london,3.646235017304042,297020.721726264
Deaths,Female,45 to 49,Lower respiratory infections,london,10.521960271355866,297020.721726264
Deaths,Female,45 to 49,Neoplasms,london,208.91337974084897,297020.721726264
Deaths,Female,45 to 49,Road injuries,london,3.594731685936465,297020.721726264
Deaths,Female,45 to 49,Stomach cancer,london,4.842090960629409,297020.721726264
Deaths,Female,45 to 49,Stroke,london,14.201813902039296,297020.721726264
Deaths,Female,45 to 49,"Tracheal, bronchus, and lung cancer",london,28.597676383491645,297020.721726264
Deaths,Female,45 to 49,Uterine cancer,london,2.572912329465396,297020.721726264
Deaths,Female,5 to 9,All causes,london,17.815226965183417,292447.1669210891
Deaths,Female,5 to 9,Cardiovascular diseases,london,0.6248244361965225,292447.1669210891
Deaths,Female,5 to 9,Chronic obstructive pulmonary disease,london,0.12831867693655652,292447.1669210891
Deaths,Female,5 to 9,Liver cancer,london,0.08527216359299516,292447.1669210891
Deaths,Female,5 to 9,Lower respiratory infections,london,0.9310832579803313,292447.1669210891
