measure_name,sex_name,age_name,cause_name,cityregion,val,population_number
Deaths,Female,10 to 14,All causes,nottingham,2.6967279058253757,31272.390374787836
Deaths,Female,10 to 14,Cardiovascular diseases,nottingham,0.10587309058266507,31272.390374787836
Deaths,Female,10 to 14,Chronic obstructive pulmonary disease,nottingham,0.015015772647052412,31272.390374787836
Deaths,Female,10 to 14,Liver cancer,nottingham,0.01258089854067739,31272.390374787836
Deaths,Female,10 to 14,Lower respiratory infections,nottingham,0.09345813455915,31272.390374787836
Deaths,Female,10 to 14,Neoplasms,nottingham,0.7418024615729633,31272.390374787836
Deaths,Female,10 to 14,Road injuries,nottingham,0.28623833758648515,31272.390374787836
Deaths,Female,10 to 14,Stroke,nottingham,0.04030743826752405,31272.390374787836
Deaths,Female,15 to 19,All causes,nottingham,5.862856559462843,32494.014306599878
Deaths,Female,15 to 19,Breast cancer,nottingham,0.007974071207427859,32494.014306599878
Deaths,Female,15 to 19,Cardiovascular diseases,nottingham,0.30511517252151094,32494.014306599878
Deaths,Female,15 to 19,Chronic obstructive pulmonary disease,nottingham,0.0273174216779354,32494.014306599878
Deaths,Female,15 to 19,Colon and rectum cancer,nottingham,0.010376064678980326,32494.014306599878
Deaths,Female,15 to 19,Diabetes mellitus type 2,nottingham,0.004701051159956366,32494.014306599878
Deaths,Female,15 to 19,Ischemic heart disease,nottingham,0.02255325626408442,32494.014306599878
Deaths,Female,15 to 19,Liver cancer,nottingham,0.03442945642499841,32494.014306599878
Deaths,Female,15 to 19,Lower respiratory infections,nottingham,0.13100803242514408,32494.014306599878
Deaths,Female,15 to 19,Neoplasms,nottingham,1.121300583177891,32494.014306599878
Deaths,Female,15 to 19,Road injuries,nottingham,1.0070815723523336,32494.014306599878
Deaths,Female,15 to 19,Stomach cancer,nottingham,0.005610091927181189,32494.014306599878
Deaths,Female,15 to 19,Stroke,nottingham,0.0884639589685239,32494.014306599878
Deaths,Female,15 to 19,"Tracheal, bronchus, and lung cancer",nottingham,0.011995073756559047,32494.014306599878
Deaths,Female,15 to 19,Uterine cancer,nottingham,0.003626577017892368,32494.014306599878
Deaths,Female,20 to 24,All causes,nottingham,7.300724138861523,40192.639345083284
Deaths,Female,20 to 24,Breast cancer,nottingham,0.03725273983002693,40192.639345083284
Deaths,Female,20 to 24,Cardiovascular diseases,nottingham,0.5299141044540746,40192.639345083284
Deaths,Female,20 to 24,Chronic obstructive pulmonary disease,nottingham,0.031655160173752986,40192.639345083284
Deaths,Female,20 to 24,Colon and rectum cancer,nottingham,0.043903887563263855,40192.639345083284
Deaths,Female,20 to 24,Diabetes mellitus type 2,nottingham,0.006246045351408762,40192.639345083284
Deaths,Female,20 to 24,Ischemic heart disease,nottingham,0.05103023783538711,40192.639345083284
Deaths,Female,20 to 24,Liver cancer,nottingham,0.03568581815342636,40192.639345083284
Deaths,Female,20 to 24,Lower respiratory infections,nottingham,0.17248379477306952,40192.639345083284
Deaths,Female,20 to 24,Neoplasms,nottingham,1.385796645033058,40192.639345083284
Deaths,Female,20 to 24,Road injuries,nottingham,0.9041392585204753,40192.639345083284
