measure,sex,age,cause,cityregion,number,pop
Deaths,Female,0 to 5,all causes,leeds,65.70832777654653,73084.89741847893
Deaths,Female,0 to 5,cardiovascular diseases,leeds,0.890756135822101,73084.89741847895
Deaths,Female,0 to 5,chronic myeloid leukemia,leeds,0.009195657921715348,73084.89741847901
Deaths,Female,0 to 5,chronic obstructive pulmonary disease,leeds,0.030075339163685485,73084.8974184789
Deaths,Female,0 to 5,cyclist road injuries,leeds,0.011684254181678715,73084.89741847901
Deaths,Female,0 to 5,kidney cancer,leeds,0.14542493270168627,73084.8974184789
Deaths,Female,0 to 5,liver cancer,leeds,0.08216723948595471,73084.89741847898
Deaths,Female,0 to 5,lower respiratory infections,leeds,2.0906408309620765,73084.89741847897
Deaths,Female,0 to 5,motor vehicle road injuries,leeds,0.16949002330482682,73084.89741847898
Deaths,Female,0 to 5,motorcyclist road injuries,leeds,0.014379144794545825,73084.897418479
Deaths,Female,0 to 5,neoplasms,leeds,2.0125856945246765,73084.89741847894
Deaths,Female,0 to 5,other road injuries,leeds,0.014436235073585059,73084.89741847906
Deaths,Female,0 to 5,other transport injuries,leeds,0.022977878269815573,73084.8974184789
Deaths,Female,0 to 5,pedestrian road injuries,leeds,0.1849215597141419,73084.89741847901
Deaths,Female,0 to 5,road injuries,leeds,0.39491121706877835,73084.89741847894
Deaths,Female,0 to 5,stroke,leeds,0.11978493009848398,73084.89741847891
Deaths,Female,10 to 14,all causes,leeds,7.322167870657509,73745.02869532947
Deaths,Female,10 to 14,cardiovascular diseases,leeds,0.32371726999467315,73745.0286953295
Deaths,Female,10 to 14,chronic myeloid leukemia,leeds,0.011044539668854231,73745.02869532944
Deaths,Female,10 to 14,chronic obstructive pulmonary disease,leeds,0.030638942799226278,73745.02869532947
Deaths,Female,10 to 14,colon and rectum cancer,leeds,0.022588951016672253,73745.02869532944
Deaths,Female,10 to 14,cyclist road injuries,leeds,0.05538062189771982,73745.02869532953
Deaths,Female,10 to 14,kidney cancer,leeds,0.0703657640840299,73745.02869532953
Deaths,Female,10 to 14,liver cancer,leeds,0.06456603475230525,73745.02869532941
Deaths,Female,10 to 14,lower respiratory infections,leeds,0.25270208881304546,73745.02869532941
Deaths,Female,10 to 14,motor vehicle road injuries,leeds,0.2037690326085476,73745.02869532949
Deaths,Female,10 to 14,motorcyclist road injuries,leeds,0.028244407296665375,73745.02869532951
Deaths,Female,10 to 14,neoplasms,leeds,2.131511545714305,73745.02869532943
Deaths,Female,10 to 14,other road injuries,leeds,0.023004983661652538,73745.02869532947
Deaths,Female,10 to 14,other transport injuries,leeds,0.036273795494326036,73745.02869532949
Deaths,Female,10 to 14,pedestrian road injuries,leeds,0.3407309687236824,73745.02869532938
Deaths,Female,10 to 14,road injuries,leeds,0.6511300141882675,73745.02869532947
Deaths,Female,10 to 14,stroke,leeds,0.10447533916602304,73745.02869532941
Deaths,Female,10 to 14,"tracheal, bronchus, and lung cancer",leeds,0.01563712574319592,73745.02869532953
Deaths,Female,15 to 19,all causes,leeds,10.815329456902607,67955.06514918983
Deaths,Female,15 to 19,bladder cancer,leeds,0.007098657179521321,67955.06514918993
Deaths,Female,15 to 19,breast cancer,leeds,0.026571692273892594,67955.06514918996
Deaths,Female,15 to 19,cardiovascular diseases,leeds,0.5973931152598573,67955.06514918992
Deaths,Female,15 to 19,chronic myeloid leukemia,leeds,0.009480366730944786,67955.06514918996
Deaths,Female,15 to 19,chronic obstructive pulmonary disease,leeds,0.05785258435977099,67955.06514918996
Deaths,Female,15 to 19,colon and rectum cancer,leeds,0.030113291715466936,67955.06514918992
Deaths,Female,15 to 19,cyclist road injuries,leeds,0.061304745318817425,67955.06514918998
Deaths,Female,15 to 19,diabetes mellitus type 2,leeds,0.016680161523807534,67955.06514918993
Deaths,Female,15 to 19,ischemic heart disease,leeds,0.04435211223595916,67955.06514918992
