measure,sex,age,cause,cityregion,number,pop
Deaths,Female,0 to 5,all causes,nottingham,26.84842088628959,32274.196421240988
Deaths,Female,0 to 5,cardiovascular diseases,nottingham,0.3195384027123596,32274.196421241057
Deaths,Female,0 to 5,chronic myeloid leukemia,nottingham,0.00382547155872165,32274.19642124106
Deaths,Female,0 to 5,chronic obstructive pulmonary disease,nottingham,0.009186794771977173,32274.196421240988
Deaths,Female,0 to 5,cyclist road injuries,nottingham,0.0056618734885670804,32274.19642124106
Deaths,Female,0 to 5,kidney cancer,nottingham,0.0580359561571859,32274.196421241046
Deaths,Female,0 to 5,liver cancer,nottingham,0.03468439367809552,32274.196421241024
Deaths,Female,0 to 5,lower respiratory infections,nottingham,0.766843121449233,32274.196421241053
Deaths,Female,0 to 5,motor vehicle road injuries,nottingham,0.08217707946687025,32274.196421241002
Deaths,Female,0 to 5,motorcyclist road injuries,nottingham,0.0066391834788385624,32274.196421241057
Deaths,Female,0 to 5,neoplasms,nottingham,0.7763506910487225,32274.196421241024
Deaths,Female,0 to 5,other road injuries,nottingham,0.006768460700410952,32274.19642124105
Deaths,Female,0 to 5,other transport injuries,nottingham,0.008979654677170478,32274.19642124101
Deaths,Female,0 to 5,pedestrian road injuries,nottingham,0.0679709401571563,32274.19642124103
Deaths,Female,0 to 5,road injuries,nottingham,0.16921753729184322,32274.196421241024
Deaths,Female,0 to 5,stroke,nottingham,0.037676338084857694,32274.196421241024
Deaths,Female,10 to 14,all causes,nottingham,2.852799280687678,33003.876601569515
Deaths,Female,10 to 14,cardiovascular diseases,nottingham,0.11286747888581064,33003.87660156951
Deaths,Female,10 to 14,chronic myeloid leukemia,nottingham,0.005127479462349811,33003.87660156953
Deaths,Female,10 to 14,chronic obstructive pulmonary disease,nottingham,0.008290796565785831,33003.876601569544
Deaths,Female,10 to 14,colon and rectum cancer,nottingham,0.008794423882091729,33003.87660156949
Deaths,Female,10 to 14,cyclist road injuries,nottingham,0.031896189901278786,33003.87660156949
Deaths,Female,10 to 14,kidney cancer,nottingham,0.029311319243334903,33003.87660156953
Deaths,Female,10 to 14,liver cancer,nottingham,0.025752267563479994,33003.87660156952
Deaths,Female,10 to 14,lower respiratory infections,nottingham,0.0865342566505066,33003.8766015695
Deaths,Female,10 to 14,motor vehicle road injuries,nottingham,0.11152568588409917,33003.87660156953
Deaths,Female,10 to 14,motorcyclist road injuries,nottingham,0.013954290972415916,33003.87660156957
Deaths,Female,10 to 14,neoplasms,nottingham,0.8419314018867332,33003.876601569566
Deaths,Female,10 to 14,other road injuries,nottingham,0.01330374341021642,33003.87660156952
Deaths,Female,10 to 14,other transport injuries,nottingham,0.01521487493519757,33003.87660156951
Deaths,Female,10 to 14,pedestrian road injuries,nottingham,0.11093501566975042,33003.87660156954
Deaths,Female,10 to 14,road injuries,nottingham,0.28161492583776093,33003.876601569486
Deaths,Female,10 to 14,stroke,nottingham,0.03548827886414696,33003.87660156953
Deaths,Female,10 to 14,"tracheal, bronchus, and lung cancer",nottingham,0.005153371038677086,33003.87660156951
Deaths,Female,15 to 19,all causes,nottingham,4.898180750299739,31710.86271120489
Deaths,Female,15 to 19,bladder cancer,nottingham,0.0032664130081120025,31710.862711204853
Deaths,Female,15 to 19,breast cancer,nottingham,0.013979044991375679,31710.86271120487
