"","age","sex","sex_age_cat","age_cat","age_cat_2","pyld_rate","population_number","deaths_rate_adaod","mx","deaths_rate_bldc","deaths_rate_brsc","deaths_rate_carc","deaths_rate_chml","deaths_rate_copd","deaths_rate_crdd","deaths_rate_cyri","deaths_rate_dmt2","deaths_rate_espc","deaths_rate_iscs","deaths_rate_ishd","deaths_rate_kdnc","deaths_rate_lvrc","deaths_rate_lwri","deaths_rate_mlsm","deaths_rate_mltm","deaths_rate_mtri","deaths_rate_mvri","deaths_rate_otri","deaths_rate_pdri","deaths_rate_pr'd","deaths_rate_prsc","deaths_rate_stmc","deaths_rate_strk","deaths_rate_tbalc","deaths_rate_utrc","ylds_rate_adaod","ylds_rate_allc","ylds_rate_bldc","ylds_rate_brsc","ylds_rate_carc","ylds_rate_chml","ylds_rate_copd","ylds_rate_crdd","ylds_rate_cyri","ylds_rate_dmt2","ylds_rate_espc","ylds_rate_iscs","ylds_rate_ishd","ylds_rate_kdnc","ylds_rate_lvrc","ylds_rate_lwri","ylds_rate_mlsm","ylds_rate_mltm","ylds_rate_mtri","ylds_rate_mvri","ylds_rate_otri","ylds_rate_pdri","ylds_rate_pr'd","ylds_rate_prsc","ylds_rate_stmc","ylds_rate_strk","ylds_rate_tbalc","ylds_rate_utrc","dw_adj_adaod","dw_adj_allc","dw_adj_bldc","dw_adj_brsc","dw_adj_carc","dw_adj_chml","dw_adj_copd","dw_adj_crdd","dw_adj_cyri","dw_adj_dmt2","dw_adj_espc","dw_adj_iscs","dw_adj_ishd","dw_adj_kdnc","dw_adj_lvrc","dw_adj_lwri","dw_adj_mlsm","dw_adj_mltm","dw_adj_mtri","dw_adj_mvri","dw_adj_otri","dw_adj_pdri","dw_adj_pr'd","dw_adj_prsc","dw_adj_stmc","dw_adj_strk","dw_adj_tbalc","dw_adj_utrc","med"
"1",0,"female","female_0",0,NA,0.0246876846810427,0,0,0.0030481628043701,0,0,0,0,0.000000904125760930346,0.0000232634646872871,0.0000001646209557003,0,0,0.0000013507708487314,0,0.00000303426989522958,0,0.0000922888531049086,0,0,0.000000426250535119538,0.00000469865112305502,0.00000021429882580115,0.00000285276501115256,0,0,0,0.00000263476474362164,0,0,0,0.0247510297840956,0,0,0,0,0.0000184801573213048,0.0000587328451193822,0.0000026613132517399,0,0,0.0000171829033618204,0,0.0000141491010761571,0,0.0000531266884986847,0,0,0.00000294050291251233,0.0000088620918211159,0.00000252129173613664,0.00000514575911403044,0,0,0,0.0000225606581816411,0,0,0,0.0414816518806895,0,0,0,0,0.0762975672951355,0.145234144750994,0.0658106183736005,0,0,0.147007205583845,0,0.0484373122255257,0,0.0644992815183676,0,0,0.0707782799771312,0.0902903741026483,0.0638796687233834,0.0744848099348199,0,0,0,0,0,0,0
"2",1,"female","female_1",0,NA,0.0261149646459364,0,0,0.00158022858633349,0,0,0,0,0.00000068873201936427,0.0000150749593667877,0.000000167108685610544,0,0,0.00000080871266714111,0,0.00000242869730335841,0,0.0000504040023128726,0,0,0.000000360258272836775,0.00000392479073569927,0.000000209294103381101,0.00000241481543796602,0,0,0,0.00000195170455380107,0,0,0,0.0262681002039474,0,0,0,0,0.00002312880810598,0.000065910880884746,0.00000379694719631829,0,0,0.000020758325282976,0,0.0000112985867926697,0,0.0000458423408125152,0,0,0.00000373902522506976,0.0000114365639843692,0.00000323498450781611,0.00000678846716864558,0,0,0,0.0000275130622183381,0,0,0,0.0423277328165834,0,0,0,0,0.0760880850831688,0.169110968995666,0.0651739576131921,0,0,0.146880811819761,0,0.0490714342203462,0,0.0647254160227869,0,0,0.0695808617133648,0.0888894930523214,0.0634003240169734,0.0730084529705976,0,0,0,0,0,0,0
"3",2,"female","female_2",2,"0 to 4",0.0276247605747411,132586.841892391,0,0.000819222116838859,0,0,0,0,0.000000524652448802562,0.00000976872546566497,0.000000169634009763149,0,0,0.000000484179961840838,0,0.00000194398349356266,0,0.0000275283890056375,0,0,0.000000304482956510398,0.00000327838392670773,0.000000204406260959849,0.00000204409882224512,0,0,0,0.00000144572705193099,0,0,0,0.0278781567613,0,0,0,0,0.0000289468187474,0.0000739661804255,0.00000541717815526,0,0,0.0000250777217028,0,0.00000902234444608,0,0.0000395567702516,0,0,0.00000475439407804,0.0000147589303303,0.0000041506996655,0.00000895558565385,0,0,0,0.0000335525934809,0,0,0,0.0431910708509203,0,0,0,0,0.0758791780244958,0.196913197538264,0.0645434559944824,0,0,0.146754526726428,0,0.0497138578876963,0,0.0649523433548607,0,0,0.0684037012249904,0.0875103470732762,0.0629245762507504,0.071561358749849,0,0,0,0,0,0,0
"4",3,"female","female_3",0,NA,0.0291883253389291,0,0,0.000397042259763024,0,0,0,0,0.000000383840579180233,0.00000601586174812028,0.000000171502706774781,0,0,0.000000274686081013842,0,0.00000152493581586274,0,0.000014162732417775,0,0,0.000000249467417045156,0.00000265592583707644,0.000000196900047775539,0.00000167256810807025,0,0,0,0.00000102493255898841,0,0,0,0.0295360372062439,0,0,0,0,0.0000365072735233718,0.0000829023864615977,0.00000783724604229196,0,0,0.0000305481514457003,0,0.0000069803922894107,0,0.0000340350620887684,0,0,0.00000608739872555696,0.0000192085288171593,0.00000536892878406162,0.0000119377542247737,0,0,0,0.0000412730177982947,0,0,0,0.0438961157015728,0,0,0,0,0.0756509052414832,0.236100139563671,0.0639115189421752,0,0,0.146571042762221,0,0.0502863633970062,0,0.0652125326203236,0,0,0.0671745357939152,0.0860955249561608,0.0623855326902861,0.0700902922284957,0,0,0,0,0,0,0
"5",4,"female","female_4",0,NA,0.0308050139136141,0,0,0.000179897492537616,0,0,0,0,0.000000269704267908258,0.00000352075640125438,0.000000173164049332383,0,0,0.000000147667108123646,0,0.00000117233131476881,0,0.00000686378675756248,0,0,0.000000198137413815089,0.00000208681957447908,0.000000187073329157097,0.0000013229082179578,0,0,0,0.000000695410144432532,0,0,0,0.0312387160882823,0,0,0,0,0.0000463968959924421,0.000092802277770776,0.0000114975589674679,0,0,0.0000375217324560387,0,0.00000523245385560096,0,0.0000292000740279087,0,0,0.00000784816478723659,0.0000252123441451153,0.00000700117938079073,0.0000160789485727846,0,0,0,0.0000512105357696503,0,0,0,0.0444346094629207,0,0,0,0,0.0754034451124207,0.291498306552116,0.0632783087707429,0,0,0.146330574775774,0,0.0507863545644825,0,0.0655063767822367,0,0,0.0658969054711429,0.0846474629107142,0.0617848848878136,0.0685979321030275,0,0,0,0,0,0,0
"6",5,"female","female_5",0,NA,0.0325299093163805,0,0,0.0000843017967167406,0,0,0,0,0.000000193373018413003,0.00000211365944212791,0.000000176393999359244,0,0,0.0000000815496776759909,0,0.000000910393738811772,0,0.00000342732489378577,0,0,0.00000015983365880252,0.00000166493562753326,0.000000178966075832395,0.00000106424992312456,0,0,0,0.00000048230124044046,0,0,0,0.033067985321286,0,0,0,0,0.0000587398683974415,0.000103949249339988,0.0000167502737522091,0,0,0.000045896575695017,0,0.00000398472549929864,0,0.0000250879696865887,0,0,0.0000100833439565258,0.0000329528057663701,0.00000909276888563383,0.0000215446514896812,0,0,0,0.0000632668091899318,0,0,0,0.0450697413118817,0,0,0,0,0.0751666983254688,0.354663619485081,0.0626550652991447,0,0,0.146119058297062,0,0.0513312484783472,0,0.065785163166785,0,0,0.064678170982541,0.0832513367337686,0.061222803526914,0.0671625608455369,0,0,0,0,0,0,0
"7",6,"female","female_6",0,NA,0.0344303268402364,0,0,0.000045200363783169,0,0,0,0,0.000000150310192485087,0.00000140500436806612,0.00000018313013583551,0,0,0.0000000501563792348192,0,0.00000073608596982273,0,0.00000192861619632136,0,0,0.000000137203868922263,0.0000014121614115022,0.000000175995151576198,0.00000091628290115785,0,0,0,0.000000365192824647362,0,0,0,0.035125032777214,0,0,0,0,0.0000732343908458288,0.000116726255103805,0.0000237320125497612,0,0,0.0000552173429188984,0,0.00000323266805119651,0,0.0000216792230702404,0,0,0.0000127773698886703,0.0000423459388432998,0.0000116194786741905,0.000028275386988868,0,0,0,0.0000768221776808333,0,0,0,0.0460810591153228,0,0,0,0,0.0749701990113949,0.406968224877784,0.0620525893736971,0,0,0.146021966158515,0,0.0520437423893326,0,0.0659993708073951,0,0,0.063617982391691,0.0819868299981801,0.0607959504260947,0.0658560606579081,0,0,0,0,0,0,0
"8",7,"female","female_7",7,"5 to 9",0.0365884426671346,141451.173968338,0,0.0000306768273407887,0,0,0,0,0.000000134579483090262,0.00000111621197313127,0.000000195747570684105,0,0,0.0000000372451427272387,0,0.000000638687600635941,0,0.00000133770289239143,0,0,0.000000131313118317114,0.00000133314178901235,0.000000181626912657491,0.000000888365347708443,0,0,0,0.000000322438927235916,0,0,0,0.0375353969889,0,0,0,0,0.0000888871099839,0.000131647790817,0.0000320232881735,0,0,0.0000645307787122,0,0.00000292951542035,0,0.0000189230449753,0,0,0.0000158044389177,0.0000528264559611,0.0000144333397326,0.000035785356002,0,0,0,0.0000905027797835,0,0,0,0.0477791913297436,0,0,0,0,0.0748432149122066,0.421492699255253,0.0614812696318983,0,0,0.146124728053708,0,0.0530543553807396,0,0.06609897005975,0,0,0.0628099711485219,0.0809290217715188,0.0605988538954307,0.0647449259183381,0,0,0,0,0,0,0
"9",8,"female","female_8",0,NA,0.0390162537816032,0,0,0.0000282791554474729,0,0,0,0,0.000000146238573800405,0.00000111567742511685,0.000000234196447149948,0,0,0.0000000350507210911008,0,0.000000610408976121712,0,0.0000012229235194769,0,0,0.00000014343593273371,0.00000142821392764617,0.00000019930884140602,0.00000101997519773804,0,0,0,0.000000349686851115521,0,0,0,0.0403688229329188,0,0,0,0,0.000104091748567135,0.000148496071684778,0.0000409019253056848,0,0,0.0000728404555828194,0,0.00000286790915012572,0,0.0000165386650950147,0,0,0.0000189979118884633,0.0000636432370569333,0.0000173525318887641,0.0000434651762999892,0,0,0,0.000102822436688595,0,0,0,0.0503712696841567,0,0,0,0,0.0748093033833161,0.379569016658677,0.0609208212447928,0,0,0.146504825353662,0,0.0545775309681272,0,0.0661170748226336,0,0,0.0623024832069496,0.0801183660761158,0.060560606771022,0.0638325553751383,0,0,0,0,0,0,0
"10",9,"female","female_9",0,NA,0.0417011132204359,0,0,0.0000331026849267883,0,0,0,0,0.000000185223225786402,0.00000133331194224548,0.000000321242113906998,0,0,0.0000000396118745647579,0,0.000000629746305767907,0,0.00000138808219373588,0,0,0.00000017334755342664,0.00000168402266031423,0.000000229379299077737,0.00000134056404223151,0,0,0,0.000000445814808500173,0,0,0,0.0436199070989847,0,0,0,0,0.000118516439664993,0.000167313307236144,0.0000501441015464095,0,0,0.0000800744267011846,0,0.00000283480315983663,0,0.0000144319059850094,0,0,0.0000223471229876311,0.0000746782314072014,0.0000203559756474832,0.0000511944921762815,0,0,0,0.000113636408032278,0,0,0,0.0537796432441542,0,0,0,0,0.074848610144471,0.306041956293529,0.0603639255915238,0,0,0.147106905779739,0,0.0565680351530803,0,0.0661267969834288,0,0,0.0620219553894394,0.0794949734561826,0.0605411932677933,0.0630636475721889,0,0,0,0,0,0,0
