"","age","sex","sex_age_cat","age_cat","age_cat_2","pyld_rate","population_number","deaths_rate_adaod","mx","deaths_rate_bldc","deaths_rate_brsc","deaths_rate_carc","deaths_rate_chml","deaths_rate_copd","deaths_rate_crdd","deaths_rate_cyri","deaths_rate_dmt2","deaths_rate_espc","deaths_rate_iscs","deaths_rate_ishd","deaths_rate_kdnc","deaths_rate_lvrc","deaths_rate_lwri","deaths_rate_mlsm","deaths_rate_mltm","deaths_rate_mtri","deaths_rate_mvri","deaths_rate_otri","deaths_rate_pdri","deaths_rate_pr'd","deaths_rate_prsc","deaths_rate_stmc","deaths_rate_strk","deaths_rate_tbalc","deaths_rate_utrc","ylds_rate_adaod","ylds_rate_allc","ylds_rate_bldc","ylds_rate_brsc","ylds_rate_carc","ylds_rate_chml","ylds_rate_copd","ylds_rate_crdd","ylds_rate_cyri","ylds_rate_dmt2","ylds_rate_espc","ylds_rate_iscs","ylds_rate_ishd","ylds_rate_kdnc","ylds_rate_lvrc","ylds_rate_lwri","ylds_rate_mlsm","ylds_rate_mltm","ylds_rate_mtri","ylds_rate_mvri","ylds_rate_otri","ylds_rate_pdri","ylds_rate_pr'd","ylds_rate_prsc","ylds_rate_stmc","ylds_rate_strk","ylds_rate_tbalc","ylds_rate_utrc","dw_adj_adaod","dw_adj_allc","dw_adj_bldc","dw_adj_brsc","dw_adj_carc","dw_adj_chml","dw_adj_copd","dw_adj_crdd","dw_adj_cyri","dw_adj_dmt2","dw_adj_espc","dw_adj_iscs","dw_adj_ishd","dw_adj_kdnc","dw_adj_lvrc","dw_adj_lwri","dw_adj_mlsm","dw_adj_mltm","dw_adj_mtri","dw_adj_mvri","dw_adj_otri","dw_adj_pdri","dw_adj_pr'd","dw_adj_prsc","dw_adj_stmc","dw_adj_strk","dw_adj_tbalc","dw_adj_utrc","med"
"1",0,"female","female_0",0,NA,0.0241347266676375,0,0,0.0020316980429831,0,0,0,0,0.000000645024544443357,0.0000148813169691338,0.000000160596188125547,0,0,0.000000643674677820949,0,0.00000210855739355024,0,0.0000599240858718101,0,0,0.000000274481252247248,0.00000328918405412359,0.000000163624922548128,0.00000182922664642605,0,0,0,0.00000147541513855118,0,0,0,0.0241814505272432,0,0,0,0,0.0000184447600342769,0.0000531294836431949,0.00000269782714387799,0,0,0.0000143251099578523,0,0.0000100207113981197,0,0.0000487807573953387,0,0,0.00000296043746114523,0.00000924461407119895,0.00000264061386628322,0.00000546270628829724,0,0,0,0.0000197344219648696,0,0,0,0.0412554364585142,0,0,0,0,0.076120775578246,0.162107858665962,0.0656146798941672,0,0,0.146425258578376,0,0.0488988543994672,0,0.0644030959958492,0,0,0.0703894550838769,0.0898161376916861,0.0635803626890397,0.0740459894199997,0,0,0,0,0,0,0
"2",1,"female","female_1",0,NA,0.0255361599399542,0,0,0.00119440047845168,0,0,0,0,0.000000570831235914206,0.0000108447465856345,0.000000185282045033571,0,0,0.000000453375208095158,0,0.00000188194033070934,0,0.0000373451504030431,0,0,0.000000256291749705736,0.00000301978098358829,0.00000016288514121312,0.0000017543056442113,0,0,0,0.00000122664771694996,0,0,0,0.025672171435396,0,0,0,0,0.000023077498739474,0.0000599632098779268,0.00000384264508723835,0,0,0.0000174576788390053,0,0.00000887888552891109,0,0.0000422928507598937,0,0,0.00000375474231872976,0.0000118639148443206,0.0000033783005255701,0.00000717628651887755,0,0,0,0.0000242255248804213,0,0,0,0.0421727069929314,0,0,0,0,0.0759735239111997,0.193260390180545,0.065023015296347,0,0,0.14636884980836,0,0.0494288157201589,0,0.0646355386512466,0,0,0.0692515212717158,0.0884628466262581,0.063148276110928,0.0726243401693223,0,0,0,0,0,0,0
"3",2,"female","female_2",2,"0 to 4",0.0270189703599719,174514.345411599,0,0.000702167582359316,0,0,0,0,0.000000505171939118286,0.00000790309948713336,0.000000213762459822428,0,0,0.000000319336904802873,0,0.00000167967892132502,0,0.0000232737844613829,0,0,0.000000239307640975273,0.00000277244357226195,0.000000162148704578998,0.00000168245323745127,0,0,0,0.00000101982457830552,0,0,0,0.0272547912486,0,0,0,0,0.0000288738344701,0.0000676759172555,0.00000547326440094,0,0,0.000021275267788,0,0.00000786716682114001,0,0.000036667844472,0,0,0.00000476216439803,0.0000152253489815,0.00000432206866244,0.00000942739468006,0,0,0,0.0000297387000631,0,0,0,0.0431103720572709,0,0,0,0,0.0758265570948172,0.23039955447008,0.0644366858917622,0,0,0.146312462769222,0,0.0499645207132716,0,0.0648688202350716,0,0,0.0681319835866354,0.0871299460692046,0.0627191259553703,0.0712299859363465,0,0,0,0,0,0,0
"4",3,"female","female_3",0,NA,0.028548205392534,0,0,0.00039528895831355,0,0,0,0,0.000000442442577618127,0.00000559932763033998,0.000000247523945255556,0,0,0.000000218807649133078,0,0.00000150262084155282,0,0.0000136794049408223,0,0,0.000000221158402052338,0.00000251522632365083,0.000000160513563010686,0.00000160128617755769,0,0,0,0.000000829082448620736,0,0,0,0.028878416484686,0,0,0,0,0.000036409123861472,0.0000763504161687147,0.00000790397860297143,0,0,0.0000261530143625093,0,0.00000700315338782273,0,0.0000317127788376561,0,0,0.00000608048945534601,0.0000196976362484404,0.00000557357048232639,0.0000125105778547001,0,0,0,0.0000368337218800098,0,0,0,0.0439043916698852,0,0,0,0,0.0756694048990293,0.284305560074108,0.0638510893044677,0,0,0.146198042541898,0,0.0504131821813644,0,0.0651081710750001,0,0,0.0669626067307663,0.0857608244497677,0.0622336903832008,0.0698113223269109,0,0,0,0,0,0,0
"5",4,"female","female_4",0,NA,0.0301221275453393,0,0,0.00021309423138283,0,0,0,0,0.000000383495979274646,0.00000385686733459928,0.000000287667418597366,0,0,0.000000145847145505203,0,0.00000134733396384438,0,0.00000758289087848981,0,0,0.000000202290393470194,0.00000225485441908376,0.000000158006962328427,0.00000151245728653394,0,0,0,0.000000659077666765513,0,0,0,0.0305389535041489,0,0,0,0,0.0000462706961643138,0.0000861026754836141,0.0000115725284357087,0,0,0.000032428484357939,0,0.00000626302715616756,0,0.0000273598501554231,0,0,0.00000781596497897026,0.0000256902654991867,0.00000724475640073359,0.0000167709170831906,0,0,0,0.0000460303277146259,0,0,0,0.0445461379541596,0,0,0,0,0.0755021318695887,0.363123208059872,0.0632663020261159,0,0,0.146025725310319,0,0.0507723614782872,0,0.0653536520723987,0,0,0.0657465961840046,0.0843578333671677,0.0616933241593637,0.0683708873737438,0,0,0,0,0,0,0
"6",5,"female","female_5",0,NA,0.0318049024023549,0,0,0.000117391635229747,0,0,0,0,0.000000334134725791711,0.0000026943457556436,0.000000333710825357473,0,0,0.0000000985649133920724,0,0.00000120670121621108,0,0.00000432831346282592,0,0,0.000000185987863628021,0.00000203351042680624,0.000000155975933715258,0.00000143401329154489,0,0,0,0.000000529836845168674,0,0,0,0.0323265826352544,0,0,0,0,0.0000585742611794237,0.0000971198257385445,0.000016827483394985,0,0,0.000040036163951784,0,0.00000558813980069911,0,0.0000236334911995603,0,0,0.0000100131728975758,0.0000333710030659353,0.00000937971947483494,0.0000223686293348922,0,0,0,0.0000572670893072336,0,0,0,0.0452818540982311,0,0,0,0,0.0753404401508325,0.455869138648442,0.0626891061608124,0,0,0.14588256737608,0,0.051181166767229,0,0.0655974251718915,0,0,0.064585405966402,0.0830050284352252,0.0611867320753148,0.0669846658962316,0,0,0,0,0,0,0
"7",6,"female","female_6",0,NA,0.0336750978238898,0,0,0.0000705239141021937,0,0,0,0,0.000000297241879738278,0.00000199136638764658,0.000000384303694185801,0,0,0.0000000703886548513377,0,0.00000107576848296856,0,0.00000277758782142907,0,0,0.000000174559736010907,0.00000187810613475044,0.00000015570640952846,0.00000138053306450031,0,0,0,0.000000445465897211209,0,0,0,0.0343530199819137,0,0,0,0,0.0000730007843060307,0.000109633475589399,0.0000238036599950109,0,0,0.0000485804914266547,0,0.00000493991500441382,0,0.0000205154502810944,0,0,0.0000126572980523628,0.0000426535011055888,0.0000119525069250492,0.0000292371079822484,0,0,0,0.0000699868546689976,0,0,0,0.0463752798331861,0,0,0,0,0.0751998998211216,0.534190927312748,0.062126037714832,0,0,0.145855318458,0,0.0517834844248369,0,0.0658315355344177,0,0,0.0635735270981568,0.0817811953184084,0.0607998107137537,0.0657226219900524,0,0,0,0,0,0,0
"8",7,"female","female_7",7,"5 to 9",0.0358290110047474,186685.104176745,0,0.0000493054364138765,0,0,0,0,0.000000274218444982885,0.00000162438007494322,0.000000436940148971439,0,0,0.000000055361242625415,0,0.000000951323852328474,0,0.00000218791771045352,0,0,0.000000169850278668682,0.00000180841901363082,0.000000158516165035769,0.00000136499704039661,0,0,0,0.000000405091912345338,0,0,0,0.0367573453534,0,0,0,0,0.0000885284977654,0.000123931167188,0.0000320868585375,0,0,0.0000571896860594,0,0.00000429653022985,0,0.0000179629426918,0,0,0.0000156287993649,0.0000529984821187,0.0000148135302366,0.0000368851272571,0,0,0,0.0000829021716647,0,0,0,0.0481208437099242,0,0,0,0,0.0750959765241192,0.554849947888574,0.0615833980600367,0,0,0.146030853243797,0,0.0527314032610283,0,0.0660479184385812,0,0,0.0627999948403265,0.0807607083910985,0.0606167277947036,0.0646496463441674,0,0,0,0,0,0,0
"9",8,"female","female_8",0,NA,0.038292858294342,0,0,0.0000411224880230801,0,0,0,0,0.000000262081760685179,0.00000147277224361178,0.000000485981936184262,0,0,0.0000000480443360003895,0,0.000000820016470995904,0,0.00000199731601854722,0,0,0.000000169782912016924,0.00000179857220569692,0.000000162919737148497,0.00000138425845430448,0,0,0,0.000000402273671450667,0,0,0,0.0396245809664496,0,0,0,0,0.000103514760600378,0.000139623704844975,0.0000409704938455739,0,0,0.0000649388941619697,0,0.00000359598508231163,0,0.0000157202480220077,0,0,0.0000187701020804678,0.0000636978283839816,0.0000177798698532081,0.0000447083609632339,0,0,0,0.0000946025910075876,0,0,0,0.050694669255789,0,0,0,0,0.0750276061746869,0.488207749622742,0.0610391017335567,0,0,0.14649842395891,0,0.0542591949931864,0,0.0662226738090214,0,0,0.0623078956963476,0.0799832278393063,0.0605766637271221,0.0637698177262387,0,0,0,0,0,0,0
"10",9,"female","female_9",0,NA,0.0410539142854777,0,0,0.0000391807943232053,0,0,0,0,0.000000256812765198559,0.00000144296359192193,0.000000530709375879562,0,0,0.0000000447542010512842,0,0.00000069056426299699,0,0.00000187847626981692,0,0,0.000000172436605389494,0.00000181628011813253,0.000000168102107673678,0.00000142886582300307,0,0,0,0.000000426564981217019,0,0,0,0.0429513494608376,0,0,0,0,0.000117618362142247,0.000156713718410968,0.0000502410733680004,0,0,0.0000717433437808066,0,0.00000290961068101263,0,0.0000137169412668607,0,0,0.000022073640847014,0.0000746527639453153,0.00002083135338281,0.0000525945278182616,0,0,0,0.000104930728061232,0,0,0,0.0540193837938904,0,0,0,0,0.0749843169783374,0.376659392052404,0.0604889624776967,0,0,0.147202381437668,0,0.0563124195428906,0,0.0663607957638443,0,0,0.0620277944456927,0.0793898245831264,0.0605563280295272,0.0630295627508104,0,0,0,0,0,0,0
