"","age","sex","sex_age_cat","age_cat","age_cat_2","pyld_rate","population_number","deaths_rate_adaod","mx","deaths_rate_bldc","deaths_rate_brsc","deaths_rate_carc","deaths_rate_chml","deaths_rate_copd","deaths_rate_crdd","deaths_rate_cyri","deaths_rate_dmt2","deaths_rate_espc","deaths_rate_iscs","deaths_rate_ishd","deaths_rate_kdnc","deaths_rate_lvrc","deaths_rate_lwri","deaths_rate_mlsm","deaths_rate_mltm","deaths_rate_mtri","deaths_rate_mvri","deaths_rate_otri","deaths_rate_pdri","deaths_rate_pr'd","deaths_rate_prsc","deaths_rate_stmc","deaths_rate_strk","deaths_rate_tbalc","deaths_rate_utrc","ylds_rate_adaod","ylds_rate_allc","ylds_rate_bldc","ylds_rate_brsc","ylds_rate_carc","ylds_rate_chml","ylds_rate_copd","ylds_rate_crdd","ylds_rate_cyri","ylds_rate_dmt2","ylds_rate_espc","ylds_rate_iscs","ylds_rate_ishd","ylds_rate_kdnc","ylds_rate_lvrc","ylds_rate_lwri","ylds_rate_mlsm","ylds_rate_mltm","ylds_rate_mtri","ylds_rate_mvri","ylds_rate_otri","ylds_rate_pdri","ylds_rate_pr'd","ylds_rate_prsc","ylds_rate_stmc","ylds_rate_strk","ylds_rate_tbalc","ylds_rate_utrc","dw_adj_adaod","dw_adj_allc","dw_adj_bldc","dw_adj_brsc","dw_adj_carc","dw_adj_chml","dw_adj_copd","dw_adj_crdd","dw_adj_cyri","dw_adj_dmt2","dw_adj_espc","dw_adj_iscs","dw_adj_ishd","dw_adj_kdnc","dw_adj_lvrc","dw_adj_lwri","dw_adj_mlsm","dw_adj_mltm","dw_adj_mtri","dw_adj_mvri","dw_adj_otri","dw_adj_pdri","dw_adj_pr'd","dw_adj_prsc","dw_adj_stmc","dw_adj_strk","dw_adj_tbalc","dw_adj_utrc","med"
"1",0,"female","female_0",0,NA,0.0247691048159092,0,0,0.00234191288078417,0,0,0,0,0.00000095174242299668,0.0000194141847951619,0.000000137819500993765,0,0,0.000000993674012845102,0,0.00000244184599203664,0,0.0000765263274309963,0,0,0.000000260379716254085,0.00000325834487788376,0.000000153777938550795,0.00000253920683531025,0,0,0,0.00000205256683510735,0,0,0,0.0248272640157111,0,0,0,0,0.0000183922538349696,0.0000545800441855547,0.00000276610047777529,0,0,0.0000160723573242814,0,0.0000114631430635541,0,0.0000536673289490128,0,0,0.00000306618493913859,0.00000931952677436326,0.00000258901446586486,0.00000517688179734299,0,0,0,0.0000214141886340383,0,0,0,0.0417938248489027,0,0,0,0,0.0763792246947198,0.181185354379291,0.0656482951382531,0,0,0.147123456945379,0,0.0488843742241002,0,0.0644001587452743,0,0,0.0704921078106876,0.0899523820181394,0.0637166902963005,0.0741001032369994,0,0,0,74.1387223471365,0,0,0
"2",1,"female","female_1",0,NA,0.0262153771801194,0,0,0.00138145588684403,0,0,0,0,0.000000848217135040691,0.0000141757660836009,0.000000156757239096438,0,0,0.000000670880112813332,0,0.00000220036302374914,0,0.0000476939881769732,0,0,0.000000244060934396106,0.00000297863726795904,0.000000153807176787032,0.0000024423427650813,0,0,0,0.00000170114253626213,0,0,0,0.0263633910542771,0,0,0,0,0.0000230112476727102,0.0000616479651558305,0.00000393931703163899,0,0,0.0000194915383073808,0,0.0000102626562957468,0,0.0000467313413435104,0,0,0.00000389363478636701,0.0000119849944510091,0.00000331898685186008,0.00000682024398541187,0,0,0,0.0000261957492143693,0,0,0,0.0426970325641149,0,0,0,0,0.0761308298327624,0.209603023293838,0.0650377977326074,0,0,0.146987844537269,0,0.0493822448407392,0,0.0646194892208106,0,0,0.0693367306548633,0.0885836960013156,0.0632681050586533,0.0726689083934818,0,0,0,35.0112254916692,0,0,0
"3",2,"female","female_2",2,"0 to 4",0.0277460976407395,1629460.42112108,0,0.00081489810443205,0,0,0,0,0.00000075595275653605,0.0000103508000040799,0.000000178297206360148,0,0,0.000000452945452885251,0,0.0000019827611782528,0,0.0000297246266035224,0,0,0.000000228764899798012,0.00000272294072806586,0.000000153836420582417,0.00000234917380466807,0,0,0,0.00000140988633314296,0,0,0,0.0279945622458,0,0,0,0,0.0000287902463834,0.0000696311566721,0.00000561014279866,0,0,0.0000236381047237,0,0.0000091878914588,0,0.000040691763621,0,0,0.00000494438272659,0.0000154128096274,0.00000425477488367,0.00000898527913935,0,0,0,0.00003204498142,0,0,0,0.0436197595307899,0,0,0,0,0.075883242782192,0.242477806908981,0.0644329776576756,0,0,0.146852357131151,0,0.04988518609917,0,0.0648395666798704,0,0,0.0682002903192541,0.0872358354631576,0.0628226780000403,0.0712653561387142,0,0,0,16.5336799936889,0,0,0
"4",3,"female","female_3",0,NA,0.0293346823524713,0,0,0.000458874554278691,0,0,0,0,0.000000664712531816017,0.00000733015993620948,0.000000202304805874694,0,0,0.000000295209412785773,0,0.00000178649014024264,0,0.0000171772326604652,0,0,0.000000211750501430301,0.00000245555967218027,0.000000153865939786254,0.00000223353914682025,0,0,0,0.00000114008524976466,0,0,0,0.0296777875270564,0,0,0,0,0.0000362978455883573,0.0000786338322339019,0.00000810136368039444,0,0,0.0000289125385740808,0,0.00000824411337461603,0,0.0000353456351655037,0,0,0.00000632222171937462,0.0000199879746677594,0.00000549890505612175,0.0000119599515784208,0,0,0,0.0000395481859746798,0,0,0,0.0443956372795854,0,0,0,0,0.0756126242745609,0.2892124274185,0.0638282059166757,0,0,0.146666119566903,0,0.0502942801415752,0,0.0650587757017554,0,0,0.0670145284625946,0.0858527035526129,0.0623209422216115,0.0698375746070166,0,0,0,7.04909345558055,0,0,0
"5",4,"female","female_4",0,NA,0.0309809370591831,0,0,0.000246665849179635,0,0,0,0,0.000000576666438122397,0.00000503460193077575,0.000000228987929244986,0,0,0.000000185736735601723,0,0.00000160947779054788,0,0.00000920394491140213,0,0,0.00000019355457550072,0.00000218451249073223,0.000000153943477903733,0.00000209914225865291,0,0,0,0.000000899498374007401,0,0,0,0.0314104959106259,0,0,0,0,0.0000461154625043663,0.0000887843138230618,0.0000118624275311442,0,0,0.0000356670207363744,0,0.00000741385492048976,0,0.0000306264090727453,0,0,0.00000814006998816609,0.0000261395896587695,0.00000716480598986826,0.0000160839774146082,0,0,0,0.0000492414071372946,0,0,0,0.0450161941235087,0,0,0,0,0.0753192267111143,0.355657857684052,0.0632235872197553,0,0,0.146429325281875,0,0.0506071438899472,0,0.0652771024291621,0,0,0.0657826838502458,0.0844366413837692,0.0617642998631641,0.0683881258102279,0,0,0,2.71330449761801,0,0,0
"6",5,"female","female_5",0,NA,0.0327371500522553,0,0,0.000135710010706816,0,0,0,0,0.000000503662581299505,0.00000351124188409292,0.00000025950552904035,0,0,0.000000118938856965942,0,0.00000145008105543387,0,0.00000512156645192075,0,0,0.000000178037082290516,0.00000195664800524004,0.000000154140403293889,0.0000019842904069417,0,0,0,0.000000718469809555352,0,0,0,0.0332717274119477,0,0,0,0,0.0000583642840197132,0.000100254196146371,0.0000172493764588471,0,0,0.0000438120853673966,0,0.00000665975414451279,0,0.0000265699576415653,0,0,0.0000104444642614071,0.0000340413865738711,0.00000929754649854742,0.0000215191144363848,0,0,0,0.0000610401609925798,0,0,0,0.0457310874735715,0,0,0,0,0.0750387926856573,0.430737432040921,0.0626274312999576,0,0,0.146218266556121,0,0.0509720315554744,0,0.0654969762417913,0,0,0.0646062108677653,0.0830709090268021,0.0612418161533874,0.0669933697205136,0,0,0,1.09916537269735,0,0,0
"7",6,"female","female_6",0,NA,0.0346672848293882,0,0,0.0000819343438151053,0,0,0,0,0.000000451909531489569,0.0000026033469478893,0.000000295522929853691,0,0,0.0000000817302996504051,0,0.00000130674628355375,0,0.0000033148476187527,0,0,0.000000167930515048706,0.00000180089090850988,0.000000154528649406247,0.00000191967993865508,0,0,0,0.000000602832982265228,0,0,0,0.0353594126732719,0,0,0,0,0.000072742337183407,0.000113247060475028,0.0000243955586184794,0,0,0.0000529062456026101,0,0.00000595563748274444,0,0.0000231645369123362,0,0,0.0000132172969731533,0.0000435943010287435,0.0000118706670566464,0.0000282047961155911,0,0,0,0.0000743406234036025,0,0,0,0.0468070614278326,0,0,0,0,0.0748065455541261,0.490740404097464,0.0620477366168601,0,0,0.146108822790766,0,0.0515418017178969,0,0.0657208593971938,0,0,0.0635795125843441,0.0818335006206037,0.0608396499241141,0.0657235803329368,0,0,0,0.546291559594434,0,0,0
"8",7,"female","female_7",7,"5 to 9",0.0368494413757965,1700569.07014776,0,0.0000582015751377635,0,0,0,0,0.000000425042857405985,0.00000214837857522628,0.000000339413570190791,0,0,0.0000000635405302000489,0,0.00000117801481149037,0,0.00000279498993400339,0,0,0.000000165517908983715,0.00000173836525220358,0.000000155181437923267,0.00000193400604321753,0,0,0,0.000000551316618702797,0,0,0,0.0377951197951,0,0,0,0,0.0000882615307222999,0.000128005292368,0.000032865392709,0,0,0.0000620076589679,0,0.00000528440645782,0,0.0000203703196337,0,0,0.0000163266249589,0.000054212782574,0.0000147309875202,0.0000356607017473,0,0,0,0.0000877821117689999,0,0,0,0.0485412704618406,0,0,0,0,0.0746573330499383,0.502393786507483,0.0614922064574039,0,0,0.146176791101401,0,0.052477778036086,0,0.065951248073117,0,0,0.0627914540377636,0.0807979915917101,0.0606421426386831,0.064643904011041,0,0,0,0.388311813609674,0,0,0
"9",8,"female","female_8",0,NA,0.0392898929864119,0,0,0.0000505832091602784,0,0,0,0,0.000000424826030897571,0.00000201332220265917,0.000000396499681572989,0,0,0.0000000570892805056634,0,0.00000105806103727316,0,0.00000279366843045453,0,0,0.000000169074476480832,0.00000174340051449445,0.000000159942421846717,0.00000205793978242656,0,0,0,0.000000561519100340196,0,0,0,0.0406430761148173,0,0,0,0,0.000103326239680336,0.000144050599020059,0.0000419164486894408,0,0,0.0000701143860770573,0,0.0000046118055531682,0,0.0000179257319734029,0,0,0.000019598059524261,0.0000651229673512025,0.0000176899080476171,0.0000432883923350273,0,0,0,0.0000998726039106893,0,0,0,0.0511194682503493,0,0,0,0,0.0746125302689952,0.443995303417202,0.0609390188393418,0,0,0.146475455998394,0,0.0540259206989448,0,0.0661900075209681,0,0,0.0622851338387379,0.0800038897029832,0.0605916473233393,0.0637593204929509,0,0,0,0.355300734977341,0,0,0
"10",9,"female","female_9",0,NA,0.0419762193788548,0,0,0.0000513458424183981,0,0,0,0,0.000000445182713026787,0.00000207802905294447,0.000000469977249293055,0,0,0.0000000572239203688397,0,0.000000946728245322699,0,0.00000279282905962935,0,0,0.000000176755419179118,0.00000179203939819469,0.000000172045685021771,0.00000228624736423365,0,0,0,0.000000621437109776277,0,0,0,0.0438978254322623,0,0,0,0,0.000117607498139343,0.000161364997248848,0.0000513190917481554,0,0,0.0000771435074765507,0,0.00000396757004198009,0,0.0000157467813983892,0,0,0.000023019367692108,0.0000762026658468715,0.0000207245373974089,0.0000509722572043231,0,0,0,0.00011045479862743,0,0,0,0.054463857282883,0,0,0,0,0.0746484167057259,0.349240554075408,0.0603829250324604,0,0,0.146955256598093,0,0.0561288368972403,0,0.0664355705085314,0,0,0.0619910024976247,0.0793927167050286,0.0605661374090323,0.0630159356215646,0,0,0,0.337446069264614,0,0,0
