"","age","sex","sex_age_cat","age_cat","age_cat_2","pyld_rate","population_number","deaths_rate_adaod","mx","deaths_rate_bldc","deaths_rate_brsc","deaths_rate_carc","deaths_rate_chml","deaths_rate_copd","deaths_rate_crdd","deaths_rate_cyri","deaths_rate_dmt2","deaths_rate_espc","deaths_rate_iscs","deaths_rate_ishd","deaths_rate_kdnc","deaths_rate_lvrc","deaths_rate_lwri","deaths_rate_mlsm","deaths_rate_mltm","deaths_rate_mtri","deaths_rate_mvri","deaths_rate_otri","deaths_rate_pdri","deaths_rate_pr'd","deaths_rate_prsc","deaths_rate_stmc","deaths_rate_strk","deaths_rate_tbalc","deaths_rate_utrc","ylds_rate_adaod","ylds_rate_allc","ylds_rate_bldc","ylds_rate_brsc","ylds_rate_carc","ylds_rate_chml","ylds_rate_copd","ylds_rate_crdd","ylds_rate_cyri","ylds_rate_dmt2","ylds_rate_espc","ylds_rate_iscs","ylds_rate_ishd","ylds_rate_kdnc","ylds_rate_lvrc","ylds_rate_lwri","ylds_rate_mlsm","ylds_rate_mltm","ylds_rate_mtri","ylds_rate_mvri","ylds_rate_otri","ylds_rate_pdri","ylds_rate_pr'd","ylds_rate_prsc","ylds_rate_stmc","ylds_rate_strk","ylds_rate_tbalc","ylds_rate_utrc","dw_adj_adaod","dw_adj_allc","dw_adj_bldc","dw_adj_brsc","dw_adj_carc","dw_adj_chml","dw_adj_copd","dw_adj_crdd","dw_adj_cyri","dw_adj_dmt2","dw_adj_espc","dw_adj_iscs","dw_adj_ishd","dw_adj_kdnc","dw_adj_lvrc","dw_adj_lwri","dw_adj_mlsm","dw_adj_mltm","dw_adj_mtri","dw_adj_mvri","dw_adj_otri","dw_adj_pdri","dw_adj_pr'd","dw_adj_prsc","dw_adj_stmc","dw_adj_strk","dw_adj_tbalc","dw_adj_utrc","med"
"1",0,"female","female_0",0,NA,0.0238987333560706,0,0,0.00216907279247272,0,0,0,0,0.00000118930459787757,0.0000190817334648003,0.000000167894763331876,0,0,0.000000485114699440439,0,0.00000237126806346878,0,0.0000828695056877661,0,0,0.000000187452659505602,0.00000284898637244489,0.00000011284324552391,0.00000328396279354358,0,0,0,0.00000117053387031086,0,0,0,0.0239317790732099,0,0,0,0,0.0000179795226229074,0.0000437393114507802,0.00000298204528155364,0,0,0.000011959911082188,0,0.0000113630170203972,0,0.0000464316717880595,0,0,0.00000338058976390317,0.0000102165762075441,0.00000261478797286003,0.00000518055132435115,0,0,0,0.0000170060375284774,0,0,0,0.0412572706979812,0,0,0,0,0.076230633443885,0.323931955925765,0.0652887928701914,0,0,0.145909447958587,0,0.0491263558407622,0,0.0644107693040099,0,0,0.0701062500991389,0.0895510752406974,0.063403528991286,0.0737891231668528,0,0,0,0,0,0,0
"2",1,"female","female_1",0,NA,0.0252996120553149,0,0,0.00130204788809391,0,0,0,0,0.00000103140378365386,0.0000139564169049417,0.000000185984249106049,0,0,0.000000335627861633669,0,0.00000211914794938302,0,0.0000520220047172242,0,0,0.000000178851396843034,0.00000255553327710108,0.000000113064276471616,0.00000308824329574867,0,0,0,0.000000978018876256278,0,0,0,0.0254222429708481,0,0,0,0,0.0000225707280020144,0.0000503560352403307,0.00000425088005089596,0,0,0.0000147506486819652,0,0.0000100594449909365,0,0.0000405952056377738,0,0,0.00000429808907204667,0.0000131411133077143,0.00000335703157745937,0.00000683665883463231,0,0,0,0.0000210910559914844,0,0,0,0.0420555445104927,0,0,0,0,0.0760192146006316,0.373134836896464,0.0647019789393986,0,0,0.145929825413521,0,0.0496051319728239,0,0.0646463759151609,0,0,0.0689746118335165,0.0882000071482798,0.0629678450961054,0.0723813564390945,0,0,0,0,0,0,0
"3",2,"female","female_2",2,"0 to 4",0.0267826064508498,309091.774415545,0,0.000781591428730773,0,0,0,0,0.000000894467041356734,0.0000102077504218289,0.000000206022750377074,0,0,0.000000232205005609441,0,0.00000189383397877209,0,0.0000326572356422107,0,0,0.000000170644802997572,0.00000229230662299257,0.000000113285740362204,0.00000290418840082088,0,0,0,0.000000817166377304034,0,0,0,0.0270055325052,0,0,0,0,0.0000283343319634,0.0000579737129145,0.00000605959316543,0,0,0.0000181925797812,0,0.00000890541951526,0,0.0000354923839119,0,0,0.00000546459965906,0.0000169028112215,0.00000430997125925,0.00000902218723351999,0,0,0,0.0000261573363043,0,0,0,0.0428692638691823,0,0,0,0,0.0758083821086293,0.429811273506027,0.064120439276581,0,0,0.145950205714334,0,0.0500885741661212,0,0.0648828443460949,0,0,0.0678612402012171,0.0868693227864365,0.06253515504779,0.0710004474252476,0,0,0,0,0,0,0
"4",3,"female","female_3",0,NA,0.0283071642076418,0,0,0.000447607959253221,0,0,0,0,0.000000761474986379815,0.00000723182494747728,0.000000226791359742221,0,0,0.000000154596489614708,0,0.00000168801060876903,0,0.000019715885989024,0,0,0.000000161160267651382,0.00000202297294629268,0.000000113454076770993,0.00000268815939559775,0,0,0,0.000000664780350576119,0,0,0,0.0286258714707797,0,0,0,0,0.0000358589171698331,0.0000668835851339412,0.00000876096090863103,0,0,0.000022647152479835,0,0.00000787991349578287,0,0.0000309437098232614,0,0,0.00000699781057074824,0.0000219303386995144,0.00000558003567882706,0.000012031765696571,0,0,0,0.0000327503620668033,0,0,0,0.0435066654425546,0,0,0,0,0.0755847709978636,0.512726820872726,0.0635394544801341,0,0,0.145965444620725,0,0.0504766532238499,0,0.065126758367383,0,0,0.0667010990709089,0.085502150056262,0.0620447714316588,0.0695950455546273,0,0,0,0,0,0,0
"5",4,"female","female_4",0,NA,0.0298706336305174,0,0,0.000244557504740057,0,0,0,0,0.000000636359625747809,0.00000496280853396297,0.000000248090502223547,0,0,0.000000099047189819939,0,0.00000150058665740263,0,0.000011447159089205,0,0,0.000000150656223684276,0.00000175644128920196,0.000000113645717883879,0.00000244907563763044,0,0,0,0.000000526562943058426,0,0,0,0.0302783203948492,0,0,0,0,0.0000457507425288626,0.0000773244456591214,0.0000128470577617208,0,0,0.0000284556864974936,0,0.0000069690763250603,0,0.0000269021118193125,0,0,0.0000090258249307148,0.0000287006249861112,0.00000728522940042353,0.0000162142363522832,0,0,0,0.0000413967353697451,0,0,0,0.043959483053386,0,0,0,0,0.0753484978993391,0.633418143322745,0.0629591045677158,0,0,0.145981302840844,0,0.0507670885757026,0,0.0653781953585901,0,0,0.0654972186952478,0.0841008567263641,0.0614981009575082,0.0681676670915736,0,0,0,0,0,0,0
"6",5,"female","female_5",0,NA,0.0315457046505346,0,0,0.000136798582669258,0,0,0,0,0.000000536749631941273,0.00000346039964675336,0.0000002722435611874,0,0,0.0000000646885547697215,0,0.00000133573611596271,0,0.00000677730245886358,0,0,0.00000014155789070889,0.0000015374963798795,0.000000114056822057429,0.00000224900750118788,0,0,0,0.000000422688268066667,0,0,0,0.0320605743077275,0,0,0,0,0.0000581354089223713,0.0000893016873731175,0.0000187061228245505,0,0,0.0000355882356125913,0,0.00000616503632580132,0,0.0000234213527472392,0,0,0.0000115998182038132,0.0000373987907978921,0.00000947169402962079,0.0000217364607484499,0,0,0,0.0000520777702889095,0,0,0,0.0445149461076838,0,0,0,0,0.075119603046011,0.768947779583348,0.0623863488720588,0,0,0.146014144052528,0,0.0511097847956173,0,0.0656272872328727,0,0,0.0643462721214181,0.0827498874901143,0.0609860411089364,0.0667939464819034,0,0,0,0,0,0,0
"7",6,"female","female_6",0,NA,0.033421576952115,0,0,0.0000840720887593516,0,0,0,0,0.000000469817878340844,0.00000257158859683811,0.000000302524448219946,0,0,0.0000000456229938057922,0,0.00000119529464557223,0,0.00000433837343885097,0,0,0.000000135754026867418,0.0000013904077249339,0.000000114887237284162,0.00000213179631763105,0,0,0,0.000000357916095880186,0,0,0,0.0340938960015425,0,0,0,0,0.0000726858294803086,0.00010270340227331,0.0000264774751330934,0,0,0.0000436889444607979,0,0.00000545912012406873,0,0.0000205061442279071,0,0,0.0000146951382465889,0.0000478965831961648,0.0000121094601122486,0.0000285352680978103,0,0,0,0.0000642811849861942,0,0,0,0.0454762991299315,0,0,0,0,0.0749178873877399,0.870383675805354,0.0618278949788728,0,0,0.146080350612909,0,0.0516590244457791,0,0.0658640159071299,0,0,0.0633383263338329,0.0815283842277785,0.0605965729264835,0.0655435616294742,0,0,0,0,0,0,0
"8",7,"female","female_7",7,"5 to 9",0.0356080121725665,292447.166921089,0,0.0000609177621816063,0,0,0,0,0.000000438775585646827,0.0000021365378327126,0.000000343645179110511,0,0,0.0000000368077639768434,0,0.00000107955564965866,0,0.00000318376569615245,0,0,0.000000134926332635145,0.00000133115476904291,0.000000116346076633823,0.00000213595049500105,0,0,0,0.000000332756654738528,0,0,0,0.0365297875138,0,0,0,0,0.0000883385020859,0.00011725437318,0.0000356669974113,0,0,0.0000519170648394,0,0.00000484235023182,0,0.0000181316486429,0,0,0.0000181540299287,0.000059510396892,0.0000150338119176,0.0000361119942728,0,0,0,0.0000767484253206,0,0,0,0.0471802083866963,0,0,0,0,0.0747629581582272,0.871641350857603,0.0612902106402538,0,0,0.146196351797404,0,0.0525773832627848,0,0.0660782245370354,0,0,0.0625582265705624,0.0805110542503698,0.060415897398185,0.0644811723922706,0,0,0,0,0,0,0
"9",8,"female","female_8",0,NA,0.0381708407202512,0,0,0.0000546517807694489,0,0,0,0,0.000000450335360327754,0.00000204480618932418,0.000000406270029251471,0,0,0.0000000353142147379618,0,0.000000991980376153877,0,0.00000279995152093356,0,0,0.000000137859912198792,0.00000134852835777849,0.000000120733978929438,0.0000023188205040345,0,0,0,0.00000035077735208314,0,0,0,0.0394914558945472,0,0,0,0,0.000103369931094507,0.000132015907005944,0.0000454338385773479,0,0,0.000059343864733416,0,0.00000431770994438697,0,0.0000160918162895454,0,0,0.0000217683853364528,0.0000713431275022511,0.000018041094146782,0.0000438410390641751,0,0,0,0.0000880526888273858,0,0,0,0.0498828124015762,0,0,0,0,0.0746524325373413,0.737021049970891,0.0607522633951132,0,0,0.146553854009774,0,0.0541121544227253,0,0.066255633328861,0,0,0.0620443694181301,0.0797431521429609,0.0603802004602436,0.0636133464275145,0,0,0,0,0,0,0
"10",9,"female","female_9",0,NA,0.0411039417370716,0,0,0.0000579159452042924,0,0,0,0,0.000000498615758105946,0.0000021836746633046,0.000000496759722395029,0,0,0.0000000387729293667239,0,0.00000092491485401538,0,0.00000283791715555023,0,0,0.00000014333120390707,0.00000142220749285333,0.00000012964686571923,0.00000268466750457758,0,0,0,0.00000040822542507049,0,0,0,0.0429844842128923,0,0,0,0,0.000117408386928287,0.00014688766133509,0.0000555084204152816,0,0,0.0000658574306901617,0,0.00000386813082775989,0,0.0000142943399267138,0,0,0.0000255184373668649,0.0000832419109085954,0.0000211032680681378,0.0000515964305022257,0,0,0,0.0000980010476305281,0,0,0,0.0535112812765494,0,0,0,0,0.074572929916051,0.544920525365509,0.0602097154609952,0,0,0.14722695618796,0,0.0562048245010705,0,0.0664026520596797,0,0,0.0617304002489492,0.0791653753651924,0.0603622662462825,0.0628867077825932,0,0,0,0,0,0,0
