"","age","sex","sex_age_cat","age_cat","age_cat_2","pyld_rate","population_number","deaths_rate_adaod","mx","deaths_rate_bldc","deaths_rate_brsc","deaths_rate_carc","deaths_rate_chml","deaths_rate_copd","deaths_rate_crdd","deaths_rate_cyri","deaths_rate_dmt2","deaths_rate_espc","deaths_rate_iscs","deaths_rate_ishd","deaths_rate_kdnc","deaths_rate_lvrc","deaths_rate_lwri","deaths_rate_mlsm","deaths_rate_mltm","deaths_rate_mtri","deaths_rate_mvri","deaths_rate_otri","deaths_rate_pdri","deaths_rate_pr'd","deaths_rate_prsc","deaths_rate_stmc","deaths_rate_strk","deaths_rate_tbalc","deaths_rate_utrc","ylds_rate_adaod","ylds_rate_allc","ylds_rate_bldc","ylds_rate_brsc","ylds_rate_carc","ylds_rate_chml","ylds_rate_copd","ylds_rate_crdd","ylds_rate_cyri","ylds_rate_dmt2","ylds_rate_espc","ylds_rate_iscs","ylds_rate_ishd","ylds_rate_kdnc","ylds_rate_lvrc","ylds_rate_lwri","ylds_rate_mlsm","ylds_rate_mltm","ylds_rate_mtri","ylds_rate_mvri","ylds_rate_otri","ylds_rate_pdri","ylds_rate_pr'd","ylds_rate_prsc","ylds_rate_stmc","ylds_rate_strk","ylds_rate_tbalc","ylds_rate_utrc","dw_adj_adaod","dw_adj_allc","dw_adj_bldc","dw_adj_brsc","dw_adj_carc","dw_adj_chml","dw_adj_copd","dw_adj_crdd","dw_adj_cyri","dw_adj_dmt2","dw_adj_espc","dw_adj_iscs","dw_adj_ishd","dw_adj_kdnc","dw_adj_lvrc","dw_adj_lwri","dw_adj_mlsm","dw_adj_mltm","dw_adj_mtri","dw_adj_mvri","dw_adj_otri","dw_adj_pdri","dw_adj_pr'd","dw_adj_prsc","dw_adj_stmc","dw_adj_strk","dw_adj_tbalc","dw_adj_utrc","med"
"1",0,"female","female_0",0,NA,0.0248725670451892,0,0,0.00199062475601589,0,0,0,0,0.00000069583213065479,0.0000155257051330892,0.000000136695197680312,0,0,0.000000637846753216625,0,0.00000221360278400563,0,0.0000622975328193825,0,0,0.000000263133156069779,0.00000326501379152847,0.000000151776676923862,0.0000020454605303718,0,0,0,0.00000136133473958877,0,0,0,0.0249211544138294,0,0,0,0,0.0000183602591116377,0.0000498708441664173,0.00000282307444665817,0,0,0.0000135752051941171,0,0.0000105096910240227,0,0.0000512585003643988,0,0,0.00000309552484597034,0.00000967676333254749,0.00000270703060478242,0.00000556821257190756,0,0,0,0.0000188853805711388,0,0,0,0.0423725977083109,0,0,0,0,0.0764692282875068,0.17823620422227,0.0655548155807957,0,0,0.146307075438668,0,0.0489887373172795,0,0.0646853075822967,0,0,0.0702704435294197,0.0897230041771594,0.063529813493731,0.0739284993032235,0,0,0,0,0,0,0
"2",1,"female","female_1",0,NA,0.0263647018459673,0,0,0.00114351319446722,0,0,0,0,0.000000598252446206653,0.0000110766548430126,0.000000150725390512252,0,0,0.000000424593341933873,0,0.00000192949471755334,0,0.0000379625903882311,0,0,0.000000240826061086116,0.00000288015832196058,0.000000153788871671128,0.00000189798235656301,0,0,0,0.00000110438067211194,0,0,0,0.0265004858833181,0,0,0,0,0.0000229289159563737,0.0000564224747552975,0.00000401104070470692,0,0,0.0000165610431360583,0,0.00000908844261219381,0,0.000044652444893243,0,0,0.00000392350496455341,0.0000124037312794394,0.00000346113024579912,0.00000730672376095089,0,0,0,0.0000231993317310464,0,0,0,0.0433816256442661,0,0,0,0,0.0761837395007835,0.213160741870157,0.064960890526432,0,0,0.146307158738482,0,0.0495217092025012,0,0.0648355388707873,0,0,0.069163234672694,0.088395879105172,0.063118612911436,0.0725401434580418,0,0,0,0,0,0,0
"3",2,"female","female_2",2,"0 to 4",0.0279463515834082,255681.968677462,0,0.000656890467160547,0,0,0,0,0.000000514356801913485,0.00000790252561539034,0.000000166195621577004,0,0,0.000000282637647844777,0,0.00000168185091379826,0,0.0000231334726073812,0,0,0.000000220410048526435,0.00000254066674422084,0.000000155827743295124,0.00000176113739294186,0,0,0,0.000000895927087927588,0,0,0,0.0281799045257,0,0,0,0,0.0000286344099905,0.0000638348059016,0.00000569891012044,0,0,0.0000202036098779,0,0.00000785939271919,0,0.0000388977598012,0,0,0.00000497295029853,0.0000158991745861,0.0000044253000159,0.00000958803411856001,0,0,0,0.000028498710457,0,0,0,0.0444146817831308,0,0,0,0,0.0758993165525573,0.254928576788882,0.0643723464187934,0,0,0.146307242038342,0,0.050060479543572,0,0.0649861190706596,0,0,0.0680734714359308,0.0870883840151814,0.0627100738499228,0.0711778605342778,0,0,0,0,0,0,0
"4",3,"female","female_3",0,NA,0.0296026858428738,0,0,0.0003590667740633,0,0,0,0,0.000000434623755350954,0.00000545369190816207,0.000000182171551381173,0,0,0.000000181034660879247,0,0.0000014602363042214,0,0.0000135404026976568,0,0,0.000000198823696912386,0.00000220224561260438,0.000000157335835003727,0.00000160908828791844,0,0,0,0.00000070753157015336,0,0,0,0.0299277734623419,0,0,0,0,0.0000360328734557646,0.0000722396893482742,0.00000820981489285205,0,0,0.0000248621142362652,0,0.00000678556987786913,0,0.0000338048028805751,0,0,0.00000634672585628639,0.0000205508738686269,0.00000570403470105339,0.0000127101787629894,0,0,0,0.0000353229933414462,0,0,0,0.0453288737867187,0,0,0,0,0.0755890283545796,0.315793880329788,0.0637861812584059,0,0,0.146307413582279,0,0.050512107646114,0,0.0651224649961308,0,0,0.0669376573819003,0.0857490523787548,0.0622529057769375,0.0697937299171555,0,0,0,0,0,0,0
"5",4,"female","female_4",0,NA,0.0313358051256971,0,0,0.000186761761577615,0,0,0,0,0.000000360936997217217,0.00000364068149378754,0.000000198504041737964,0,0,0.000000111575373058555,0,0.00000126284640494792,0,0.000007612513744314,0,0,0.000000176772110182597,0.00000187573081396636,0.000000158297302732641,0.00000144761167653762,0,0,0,0.000000543924052258169,0,0,0,0.031743770313364,0,0,0,0,0.0000456894042305424,0.0000817724694978145,0.000011991727249167,0,0,0.0000308613513908942,0,0.00000584899810063298,0,0.0000293093843611076,0,0,0.00000815607233745813,0.0000267867173661799,0.00000741201452034753,0.0000170211521007403,0,0,0,0.0000441745715920427,0,0,0,0.0461159271717599,0,0,0,0,0.0752532011857387,0.405193796702689,0.0632024274112381,0,0,0.146308247559815,0,0.0508741398205825,0,0.0652444856636251,0,0,0.0657586864840839,0.084379959232656,0.0617482129183541,0.0683900381785881,0,0,0,0,0,0,0
"6",5,"female","female_5",0,NA,0.0331817072465878,0,0,0.0000995830589818595,0,0,0,0,0.000000302353400739459,0.00000247110428153053,0.000000216942300765506,0,0,0.0000000701031473231397,0,0.00000109428904273425,0,0.00000436688464122765,0,0,0.000000158308751662191,0.00000161169150909739,0.000000159546720513991,0.00000131244616179706,0,0,0,0.000000423809865250435,0,0,0,0.0336913182003884,0,0,0,0,0.0000577137273128221,0.0000925511669740538,0.0000173950911639748,0,0,0.0000381423917462487,0,0.00000504577319617024,0,0.0000254417950214743,0,0,0.0000104451467025104,0.0000347689802956879,0.00000959252704953386,0.000022678725451557,0,0,0,0.0000549978756925393,0,0,0,0.0469908325430324,0,0,0,0,0.0749322090311324,0.510840029359038,0.0626254656247826,0,0,0.146310472910221,0,0.0512859159299741,0,0.0653740539026795,0,0,0.064630980629847,0.0830574992287025,0.0612728291406675,0.0670373447729831,0,0,0,0,0,0,0
"7",6,"female","female_6",0,NA,0.0351843157638976,0,0,0.0000586437861605065,0,0,0,0,0.000000262216718327394,0.00000179252269609083,0.00000023991836488822,0,0,0.0000000475726014264181,0,0.000000955718691730208,0,0.0000027152125443846,0,0,0.000000145941366557249,0.00000143423364055637,0.000000161948247839012,0.00000122726904500249,0,0,0,0.000000348469914818821,0,0,0,0.0358491678591073,0,0,0,0,0.0000718010622063782,0.000104696183912222,0.0000245447174958113,0,0,0.0000463303209503357,0,0.00000436695119514965,0,0.0000221891088662019,0,0,0.000013193396123504,0.0000443810364433986,0.0000122151970675153,0.0000296086033946747,0,0,0,0.0000672596140396059,0,0,0,0.0481859084642788,0,0,0,0,0.0746657540766055,0.60028746486651,0.0620595170133038,0,0,0.146314818646582,0,0.0518915859004908,0,0.0655332215605968,0,0,0.0636426628480584,0.0818533806915312,0.0609013015874452,0.0658007501242565,0,0,0,0,0,0,0
"8",7,"female","female_7",7,"5 to 9",0.0373969676887213,275481.395533666,0,0.0000410914868436149,0,0,0,0,0.000000241637597341875,0.00000146067083743372,0.000000270885263771425,0,0,0.0000000369414690976745,0,0.000000846266215631972,0,0.00000194386360031443,0,0,0.000000141537307190122,0.00000135707675042647,0.000000166434798485808,0.00000121143069800595,0,0,0,0.000000314805287255487,0,0,0,0.0383149197704,0,0,0,0,0.0000869784815185,0.000118327202944,0.0000329963194253,0,0,0.000054592804055,0,0.00000380090132351,0,0.0000195128778174,0,0,0.0000162672327356,0.0000550155837184,0.0000151205156858,0.0000373047369022,0,0,0,0.0000797212094906,0,0,0,0.0499608958970688,0,0,0,0,0.0744930506363181,0.623698950341413,0.0615086491629896,0,0,0.146322013943276,0,0.0528435402113654,0,0.0657442821687786,0,0,0.062876868912432,0.0808353448901504,0.0607067023015962,0.0647407205022038,0,0,0,0,0,0,0
"9",8,"female","female_8",0,NA,0.0397864388431472,0,0,0.0000357498485556839,0,0,0,0,0.000000240983568152724,0.00000136754760852616,0.000000316385931584689,0,0,0.0000000337344316720101,0,0.000000759870038079714,0,0.00000166124848822787,0,0,0.000000143532367319378,0.00000135952314940249,0.000000172156169797652,0.00000128661733683105,0,0,0,0.000000319739445913558,0,0,0,0.0411140138742546,0,0,0,0,0.000101701338217463,0.000132920853644737,0.0000420060176060126,0,0,0.0000620431529590194,0,0.00000331193436254202,0,0.0000171653344416934,0,0,0.0000194934875979164,0.0000658910017843284,0.0000181157985132549,0.0000451501256574011,0,0,0,0.0000910210003597369,0,0,0,0.0524416715342786,0,0,0,0,0.074438542241394,0.547397281045402,0.0609468864501587,0,0,0.146578454746606,0,0.0543775820143248,0,0.0660334391874433,0,0,0.0623717535552812,0.0800379085817836,0.0606454643936261,0.0638595367663352,0,0,0,0,0,0,0
"10",9,"female","female_9",0,NA,0.0423398087227778,0,0,0.000036746800702161,0,0,0,0,0.000000255621931086637,0.00000142299164156775,0.000000380002683200896,0,0,0.0000000348585645296206,0,0.000000689157957999741,0,0.00000162785614772075,0,0,0.000000150011313200555,0.00000141694568908582,0.000000178597190479904,0.00000144769749193869,0,0,0,0.000000355424347690783,0,0,0,0.0442378652870512,0,0,0,0,0.000115659510125488,0.000148446286491099,0.0000513455593866355,0,0,0.0000685975306291898,0,0.00000288444015714433,0,0.0000150697887537037,0,0,0.0000228601938269591,0.0000768868523997019,0.0000211781381413629,0.0000530295661846802,0,0,0,0.000101004355830214,0,0,0,0.05555032681274,0,0,0,0,0.0744754392665424,0.42035482112609,0.0603718227897653,0,0,0.147207840248662,0,0.0564393507498396,0,0.0663868492449905,0,0,0.0620625325557621,0.0794073704214307,0.0606149009533367,0.0631074322934245,0,0,0,0,0,0,0
