"","age","sex","sex_age_cat","age_cat","age_cat_2","pyld_rate","population_number","deaths_rate_adaod","mx","deaths_rate_bldc","deaths_rate_brsc","deaths_rate_carc","deaths_rate_chml","deaths_rate_copd","deaths_rate_crdd","deaths_rate_cyri","deaths_rate_dmt2","deaths_rate_espc","deaths_rate_iscs","deaths_rate_ishd","deaths_rate_kdnc","deaths_rate_lvrc","deaths_rate_lwri","deaths_rate_mlsm","deaths_rate_mltm","deaths_rate_mtri","deaths_rate_mvri","deaths_rate_otri","deaths_rate_pdri","deaths_rate_pr'd","deaths_rate_prsc","deaths_rate_stmc","deaths_rate_strk","deaths_rate_tbalc","deaths_rate_utrc","ylds_rate_adaod","ylds_rate_allc","ylds_rate_bldc","ylds_rate_brsc","ylds_rate_carc","ylds_rate_chml","ylds_rate_copd","ylds_rate_crdd","ylds_rate_cyri","ylds_rate_dmt2","ylds_rate_espc","ylds_rate_iscs","ylds_rate_ishd","ylds_rate_kdnc","ylds_rate_lvrc","ylds_rate_lwri","ylds_rate_mlsm","ylds_rate_mltm","ylds_rate_mtri","ylds_rate_mvri","ylds_rate_otri","ylds_rate_pdri","ylds_rate_pr'd","ylds_rate_prsc","ylds_rate_stmc","ylds_rate_strk","ylds_rate_tbalc","ylds_rate_utrc","dw_adj_adaod","dw_adj_allc","dw_adj_bldc","dw_adj_brsc","dw_adj_carc","dw_adj_chml","dw_adj_copd","dw_adj_crdd","dw_adj_cyri","dw_adj_dmt2","dw_adj_espc","dw_adj_iscs","dw_adj_ishd","dw_adj_kdnc","dw_adj_lvrc","dw_adj_lwri","dw_adj_mlsm","dw_adj_mltm","dw_adj_mtri","dw_adj_mvri","dw_adj_otri","dw_adj_pdri","dw_adj_pr'd","dw_adj_prsc","dw_adj_stmc","dw_adj_strk","dw_adj_tbalc","dw_adj_utrc","med"
"1",0,"female","female_0",0,NA,0.0233839190555646,0,0,0.00167349742840109,0,0,0,0,0.000000613846007158017,0.0000115081689644657,0.000000100817721659019,0,0,0.000000581551710979457,0,0.00000187807652158248,0,0.0000533482912914083,0,0,0.000000201373367149277,0.00000242748494120128,0.000000130148469194687,0.00000170704995054884,0,0,0,0.00000116265298638422,0,0,0,0.0233576499958383,0,0,0,0,0.0000187578269314427,0.0000572658424985619,0.00000249169218267366,0,0,0.0000212871363020255,0,0.00000864528987292335,0,0.0000300383995937147,0,0,0.00000318151860690592,0.0000103184789496413,0.00000313461497430465,0.00000816151259506642,0,0,0,0.0000290718387697638,0,0,0,0.0372351320207698,0,0,0,0,0.0764884669374842,0.350345769146764,0.0594342734179086,0,0,0.14384788980453,0,0.0498943576315173,0,0.0646969224384346,0,0,0.0759590135402761,0.080185905333238,0.0612529341806614,0.0805574596965169,0,0,0,0,0,0,0
"2",1,"female","female_1",0,NA,0.0246737163492988,0,0,0.00105162874137914,0,0,0,0,0.000000575487417697813,0.00000883366543052415,0.000000121491433705195,0,0,0.000000411602973172482,0,0.000001788231460016,0,0.0000342505587459755,0,0,0.000000195375379392264,0.00000231887552063997,0.000000130016748741289,0.00000180725043880625,0,0,0,0.00000100018949351954,0,0,0,0.0247840316092896,0,0,0,0,0.0000234011859072259,0.0000657868521235568,0.00000368289245532613,0,0,0.00002590190425645,0,0.00000820895898546134,0,0.0000261437716988546,0,0,0.00000401138973088413,0.0000133238152615389,0.00000406331729817367,0.0000109494016032808,0,0,0,0.0000354986173131833,0,0,0,0.0381154227314786,0,0,0,0,0.0760888959751623,0.362381264452278,0.0599751616229351,0,0,0.144065585163315,0,0.0503994912124111,0,0.0651203252633683,0,0,0.0749761580681073,0.0798316218641047,0.0607170064298401,0.0799436770769429,0,0,0,0,0,0,0
"3",2,"female","female_2",2,"0 to 4",0.0260346555698832,82853.482091247,0,0.000660845359500382,0,0,0,0,0.000000539525816029692,0.00000678071769535062,0.000000146404503304141,0,0,0.0000002913189047954,0,0.00000170268448481348,0,0.0000219894723151226,0,0,0.000000189556044143488,0.00000221512545307998,0.000000129885161599317,0.00000191333249944753,0,0,0,0.000000860427861676934,0,0,0,0.0262975180688,0,0,0,0,0.0000291939734739,0.0000755757659976,0.00000544356840376,0,0,0.0000315170925103,0,0.00000779464987473,0,0.0000227541016794,0,0,0.00000505772543279,0.0000172044788762,0.0000052671692061,0.0000146896049076,0,0,0,0.0000433461344199,0,0,0,0.0390165247484272,0,0,0,0,0.0756914123465304,0.374830217433055,0.0605209722411336,0,0,0.144283609976147,0,0.0509097387971052,0,0.0655464990076194,0,0,0.0740060200449173,0.0794789037171558,0.0601857677369055,0.0793345709839812,0,0,0,0,0,0,0
"4",3,"female","female_3",0,NA,0.027420773208371,0,0,0.000399559031892736,0,0,0,0,0.000000502534677883412,0.00000507178791378584,0.000000177028000970325,0,0,0.000000200653047094754,0,0.00000163366748331818,0,0.0000132557986688901,0,0,0.000000182163566758111,0.00000209344796132806,0.000000128452190339168,0.0000020269296233953,0,0,0,0.000000723937074819727,0,0,0,0.0278402108462062,0,0,0,0,0.0000367406474179468,0.0000871618380221502,0.00000818051161057625,0,0,0.0000387501232329808,0,0.00000748019806159295,0,0.0000197086355406086,0,0,0.00000641469392107947,0.0000224106765187967,0.0000068918519338433,0.0000199478134762224,0,0,0,0.0000534695416593775,0,0,0,0.039758315741537,0,0,0,0,0.0752704386088622,0.394407718106348,0.0611185406458558,0,0,0.144507830458261,0,0.051341039571235,0,0.0659922297943159,0,0,0.072967269578726,0.0791192649638676,0.0596468389702614,0.0787352213100259,0,0,0,0,0,0,0
"5",4,"female","female_4",0,NA,0.0288282413151601,0,0,0.000232437271882828,0,0,0,0,0.000000465047431446949,0.00000369655531340581,0.000000214787125723734,0,0,0.000000134496126029606,0,0.00000157947293957895,0,0.00000750310347409865,0,0,0.000000173396963316905,0.00000195735213033014,0.000000125760781373069,0.00000214863676884553,0,0,0,0.000000595718859400513,0,0,0,0.0294066280173924,0,0,0,0,0.0000466443079756106,0.000100918450234189,0.0000124991183244244,0,0,0.0000481407130038875,0,0.00000725500208613315,0,0.0000169886486402794,0,0,0.00000818383617136976,0.0000294488904268733,0.00000910241729828649,0.0000274186416597604,0,0,0,0.0000666315170274179,0,0,0,0.0403309939280191,0,0,0,0,0.0748263904931614,0.422180496667846,0.0617692980635617,0,0,0.144738274455437,0,0.0516913078329802,0,0.0664578779554186,0,0,0.0718631618616233,0.0787528138202174,0.059100510903599,0.0781454767563396,0,0,0,0,0,0,0
"6",5,"female","female_5",0,NA,0.0303355102973821,0,0,0.000137850622581172,0,0,0,0,0.000000431757370276073,0.00000272934214840888,0.000000260156781858976,0,0,0.0000000913861389072725,0,0.00000152125211575187,0,0.00000438282368406337,0,0,0.000000165841574682951,0.00000183994262492023,0.000000123747966493134,0.00000227692791144611,0,0,0,0.000000495683875368498,0,0,0,0.0310964248254338,0,0,0,0,0.0000589591721221171,0.000116617729082559,0.00001893988016143,0,0,0.0000594970871517378,0,0.00000699935476510971,0,0.0000146794033643392,0,0,0.0000104101686568265,0.0000385285480564116,0.0000119659305413849,0.0000374596612749062,0,0,0,0.0000826122337114649,0,0,0,0.0410047431356695,0,0,0,0,0.0743975937964907,0.448053580571198,0.0624030836802582,0,0,0.144966143687853,0,0.0520865804125423,0,0.0669183085103779,0,0,0.0708151138659573,0.0783922601556162,0.0585652431108378,0.0775576298924121,0,0,0,0,0,0,0
"7",6,"female","female_6",0,NA,0.032037843667667,0,0,0.0000883129261068835,0,0,0,0,0.000000406094823232811,0.00000212235166801647,0.000000312971329265073,0,0,0.0000000655657496890134,0,0.00000144295279434802,0,0.00000290388340179088,0,0,0.000000161671390740668,0.00000176706976738014,0.000000124247437215032,0.00000240981295296631,0,0,0,0.000000431181262434373,0,0,0,0.0330328308640996,0,0,0,0,0.0000732331293029412,0.000133708139678705,0.0000277632822069103,0,0,0.0000720201319159645,0,0.00000661092991665083,0,0.000012806992358849,0,0,0.0000130869368626581,0.0000495330762427515,0.0000154387431884881,0.0000499517662624053,0,0,0,0.000100363252013253,0,0,0,0.0420693849326222,0,0,0,0,0.0740215133858268,0.459491874038917,0.0629468808787684,0,0,0.145182584738172,0,0.0526569895270768,0,0.0673476911538654,0,0,0.0699376820505183,0.0780500833854855,0.058058834982264,0.0769642031960331,0,0,0,0,0,0,0
"8",7,"female","female_7",7,"5 to 9",0.0340516515096011,89114.9715952182,0,0.0000647570167232933,0,0,0,0,0.000000390745709309949,0.00000180696295234514,0.000000372047445912055,0,0,0.0000000517391745279925,0,0.00000133255890751959,0,0.00000239855975356362,0,0,0.000000162958361378439,0.00000176198734466789,0.000000129229220843343,0.00000254478441326545,0,0,0,0.000000405392162830692,0,0,0,0.0353694903148,0,0,0,0,0.0000882205823867,0.000151216720687,0.0000384022722358,0,0,0.0000840656180506,0,0.00000601643519603,0,0.0000113636266025,0,0,0.0000161159979516,0.0000617598342833,0.0000192779094368,0.000063842335341,0,0,0,0.000117664391587,0,0,0,0.043851837654894,0,0,0,0,0.0737349245526459,0.443791407051887,0.0633254437705155,0,0,0.145378693327946,0,0.0535395173425287,0,0.0677195703792353,0,0,0.0693404061950492,0.0777385518209437,0.0575984867092517,0.0763579507797746,0,0,0,0,0,0,0
"9",8,"female","female_8",0,NA,0.0364610437787368,0,0,0.0000556869956434163,0,0,0,0,0.000000382609663494586,0.00000170538966580847,0.000000435902838731616,0,0,0.0000000451241137638165,0,0.00000116339026328818,0,0.00000230015895639428,0,0,0.000000166767241024687,0.00000179827235618369,0.000000139242369160041,0.00000267108028948254,0,0,0,0.000000418928754459378,0,0,0,0.0382539459756159,0,0,0,0,0.000102178190624281,0.000167272193717804,0.0000497221890784806,0,0,0.0000938080220797954,0,0.00000509145644750213,0,0.0000102312158103663,0,0,0.0000193510385854301,0.0000742003381739404,0.0000231647319958097,0.0000776968532347495,0,0,0,0.00013202616373614,0,0,0,0.0466525459545216,0,0,0,0,0.0735333512935593,0.394814332794123,0.063474661101956,0,0,0.145479620784317,0,0.0549464873904956,0,0.0680457334023421,0,0,0.0690965237132893,0.0774648892271315,0.0572005751180017,0.075657276529538,0,0,0,0,0,0,0
"10",9,"female","female_9",0,NA,0.0392596678158136,0,0,0.0000540342153211893,0,0,0,0,0.00000037878259252119,0.00000173856601694198,0.00000050507679413329,0,0,0.000000042328368228471,0,0.000000967582904170381,0,0.00000223711192795338,0,0,0.00000017162934337383,0.00000185846633096762,0.000000153865485616147,0.00000278847840799077,0,0,0,0.000000465380865233171,0,0,0,0.0416968319804134,0,0,0,0,0.000114781186078733,0.000181689582825656,0.0000612707077444969,0,0,0.000101118613868166,0,0.00000404929001006368,0,0.00000930215205616627,0,0,0.0000227897484740737,0.0000866552965915061,0.000027038096335049,0.000091138168661146,0,0,0,0.000143230902722739,0,0,0,0.0504266792659596,0,0,0,0,0.0733911730635136,0.32912574180731,0.0634414750784151,0,0,0.14549107426464,0,0.0568252750278499,0,0.0683428665715683,0,0,0.0691254330269162,0.0772204283323018,0.056852092965925,0.0748697377956118,0,0,0,0,0,0,0
