"","age","sex","sex_age_cat","age_cat","age_cat_2","pyld_rate","population_number","deaths_rate_adaod","mx","deaths_rate_bldc","deaths_rate_brsc","deaths_rate_carc","deaths_rate_chml","deaths_rate_copd","deaths_rate_crdd","deaths_rate_cyri","deaths_rate_dmt2","deaths_rate_espc","deaths_rate_iscs","deaths_rate_ishd","deaths_rate_kdnc","deaths_rate_lvrc","deaths_rate_lwri","deaths_rate_mlsm","deaths_rate_mltm","deaths_rate_mtri","deaths_rate_mvri","deaths_rate_otri","deaths_rate_pdri","deaths_rate_pr'd","deaths_rate_prsc","deaths_rate_stmc","deaths_rate_strk","deaths_rate_tbalc","deaths_rate_utrc","ylds_rate_adaod","ylds_rate_allc","ylds_rate_bldc","ylds_rate_brsc","ylds_rate_carc","ylds_rate_chml","ylds_rate_copd","ylds_rate_crdd","ylds_rate_cyri","ylds_rate_dmt2","ylds_rate_espc","ylds_rate_iscs","ylds_rate_ishd","ylds_rate_kdnc","ylds_rate_lvrc","ylds_rate_lwri","ylds_rate_mlsm","ylds_rate_mltm","ylds_rate_mtri","ylds_rate_mvri","ylds_rate_otri","ylds_rate_pdri","ylds_rate_pr'd","ylds_rate_prsc","ylds_rate_stmc","ylds_rate_strk","ylds_rate_tbalc","ylds_rate_utrc","dw_adj_adaod","dw_adj_allc","dw_adj_bldc","dw_adj_brsc","dw_adj_carc","dw_adj_chml","dw_adj_copd","dw_adj_crdd","dw_adj_cyri","dw_adj_dmt2","dw_adj_espc","dw_adj_iscs","dw_adj_ishd","dw_adj_kdnc","dw_adj_lvrc","dw_adj_lwri","dw_adj_mlsm","dw_adj_mltm","dw_adj_mtri","dw_adj_mvri","dw_adj_otri","dw_adj_pdri","dw_adj_pr'd","dw_adj_prsc","dw_adj_stmc","dw_adj_strk","dw_adj_tbalc","dw_adj_utrc","med"
"1",0,"female","female_0",0,NA,0.0265264793449746,0,0,0.00260358697207691,0,0,0,0,0.00000144887703697976,0.0000243704762297167,0.000000113056070545087,0,0,0.00000144420224499486,0,0.00000281687369390488,0,0.0000914826989304004,0,0,0.000000252279377989402,0.00000323885706498971,0.000000147421716390205,0.00000315407089281865,0,0,0,0.00000303407786430781,0,0,0,0.0265963165500725,0,0,0,0,0.0000186041158536495,0.0000611708129076455,0.00000271008012151499,0,0,0.0000187620919159984,0,0.0000131900714760299,0,0.0000628752383996896,0,0,0.00000301108152417559,0.0000089764445108221,0.00000250604012331031,0.00000487135750070448,0,0,0,0.0000242441361894998,0,0,0,0.0430122161746653,0,0,0,0,0.0764897380880403,0.165654367320653,0.0659887710356465,0,0,0.147862380556522,0,0.0486461641568823,0,0.0643583643293265,0,0,0.0708167745991854,0.0902627712201563,0.0640253869800205,0.0743090742289422,0,0,0,0,0,0,0
"2",1,"female","female_1",0,NA,0.0278915428420024,0,0,0.00157577234965206,0,0,0,0,0.00000133019641855657,0.0000181313349546429,0.000000132465943774197,0,0,0.000000986691231129868,0,0.00000260534550011522,0,0.0000583161838807219,0,0,0.000000239885263761665,0.00000303967055201674,0.000000146804946554456,0.00000310549393654381,0,0,0,0.00000254450316578206,0,0,0,0.0280568302362795,0,0,0,0,0.0000232787027433659,0.0000686091724066915,0.00000386414110934422,0,0,0.0000225978450237116,0,0.0000121256637583012,0,0.00005453027555667,0,0,0.00000382939448610267,0.0000115779772028339,0.00000321672031808163,0.00000643211302172109,0,0,0,0.0000294897766821308,0,0,0,0.0437843214956454,0,0,0,0,0.0762489604603244,0.188875437277904,0.0653318982613711,0,0,0.147631062757173,0,0.0491463959195479,0,0.0645818279854389,0,0,0.0696130207582296,0.0888713142611301,0.0635419819972561,0.0728410073076713,0,0,0,0,0,0,0
"3",2,"female","female_2",2,"0 to 4",0.0293268530659587,209082.079353571,0,0.000953706760925758,0,0,0,0,0.00000122123718354261,0.0000134894904858933,0.000000155208173921017,0,0,0.000000674115823433053,0,0.00000240970164535884,0,0.0000371739940138568,0,0,0.000000228100054109142,0.00000285273381300855,0.000000146190757105366,0.00000305766513107506,0,0,0,0.00000213392557812685,0,0,0,0.0295975467665,0,0,0,0,0.0000291278556679,0.0000769520350406,0.0000055096476279,0,0,0.0000272177858419,0,0.0000111471512377,0,0.0000472928775774,0,0,0.00000487009800713,0.0000149334801711,0.00000412894011892,0.00000849292582574999,0,0,0,0.0000358704027219,0,0,0,0.044570286754097,0,0,0,0,0.076008940762593,0.215351586462349,0.0646815642032259,0,0,0.147400106834347,0,0.0496517715989173,0,0.0648060675470007,0,0,0.0684297285002508,0.0875013074796539,0.0630622268226129,0.0714019438494053,0,0,0,0,0,0,0
"4",3,"female","female_3",0,NA,0.03078873962053,0,0,0.000553814283590388,0,0,0,0,0.00000111193698841306,0.00000977000160403585,0.000000182486195626694,0,0,0.000000446325062972499,0,0.00000224071941374214,0,0.0000223954305397954,0,0,0.00000021503387923372,0.00000265301186559576,0.000000144662185789029,0.00000298868533740423,0,0,0,0.00000175120842722574,0,0,0,0.0311573530782057,0,0,0,0,0.0000367235598827489,0.0000862205353065014,0.00000796500867110474,0,0,0.0000330554001531793,0,0.0000103262613043889,0,0.0000408965939949852,0,0,0.00000623606127342418,0.0000194236757454637,0.00000534258938373584,0.0000113293564146299,0,0,0,0.0000440091086347124,0,0,0,0.0451805167070569,0,0,0,0,0.0757473283675115,0.252443513065864,0.0640275704384914,0,0,0.14711914116539,0,0.0500612007502318,0,0.0650213662758278,0,0,0.067193305832918,0.0860949333932866,0.0625175004429218,0.0699356649617717,0,0,0,0,0,0,0
"5",4,"female","female_4",0,NA,0.0322739320958985,0,0,0.000308561224326131,0,0,0,0,0.00000100405210014369,0.00000688853782750954,0.000000215303218552781,0,0,0.000000286372643956111,0,0.00000209477765352984,0,0.0000127511592727627,0,0,0.000000200977793626332,0.000002444895740411,0.000000142247948576699,0.00000290002340095464,0,0,0,0.00000140630235412943,0,0,0,0.0327305365996309,0,0,0,0,0.000046651708629556,0.0000965059292497398,0.0000116745530653339,0,0,0.0000404795713363169,0,0.00000963924841635724,0,0.0000352624020488032,0,0,0.00000803985331890281,0.00002547674026895,0.00000696871878472349,0.0000152685358306203,0,0,0,0.0000544616059083072,0,0,0,0.0456074635382955,0,0,0,0,0.0754643516535947,0.304245317002742,0.0633701599001201,0,0,0.146788453222466,0,0.0503722343093525,0,0.065227630005439,0,0,0.0659073810119694,0.084654638295257,0.0619095529417312,0.0684450370903112,0,0,0,0,0,0,0
"6",5,"female","female_5",0,NA,0.0338567362053315,0,0,0.000175511101933814,0,0,0,0,0.000000910404433171908,0.00000492258017552026,0.000000253582038367654,0,0,0.000000186650876240589,0,0.00000195310351399248,0,0.00000746801004431949,0,0,0.000000188651132669946,0.00000226339259635368,0.000000140316602422156,0.00000282427702518678,0,0,0,0.00000114163801326698,0,0,0,0.0344192838887643,0,0,0,0,0.0000590400986923783,0.000108073929039631,0.0000169941122758021,0,0,0.0000493659456754677,0,0.00000896360711049337,0,0.0000304487851140486,0,0,0.0000103300717395074,0.0000332763186580982,0.00000905336681127889,0.0000204723370633329,0,0,0,0.0000671069558553751,0,0,0,0.0461350680225864,0,0,0,0,0.0751935220537572,0.361627805220037,0.0627244623607877,0,0,0.146483578873315,0,0.0507363765370753,0,0.0654394384689288,0,0,0.0646812900082276,0.0832662232193012,0.0613411411061095,0.0670128251044482,0,0,0,0,0,0,0
"7",6,"female","female_6",0,NA,0.0356263437078458,0,0,0.000108445622511197,0,0,0,0,0.000000839306626351521,0.00000371186268372348,0.000000296603520425248,0,0,0.00000012953929690948,0,0.00000180160710183349,0,0.00000489688595500552,0,0,0.000000180157104799243,0.00000213389487395317,0.000000140171701622313,0.00000279094327461746,0,0,0,0.000000967862240022768,0,0,0,0.036347544490438,0,0,0,0,0.0000735958886703123,0.000121278140929045,0.0000240643169504848,0,0,0.0000592122136932574,0,0.00000820882055690185,0,0.0000264460820187704,0,0,0.0000130926751234363,0.0000427407942999196,0.0000115742120283892,0.0000268936014915295,0,0,0,0.0000812758521936152,0,0,0,0.0470617951351234,0,0,0,0,0.0749678814010926,0.406642376398591,0.062104997477204,0,0,0.146279453441352,0,0.0513098567416051,0,0.0656715635680686,0,0,0.0636164723315842,0.0820099883304038,0.060911390891504,0.065715032770283,0,0,0,0,0,0,0
"8",7,"female","female_7",7,"5 to 9",0.0376903428766352,220273.094745174,0,0.0000774500657122983,0,0,0,0,0.000000796565041687044,0.00000307485309579014,0.000000342741225878275,0,0,0.000000100346166403099,0,0.00000163099648306026,0,0.00000391281995382111,0,0,0.000000177310510496814,0.00000207699245112995,0.000000143158139390935,0.00000282934623122247,0,0,0,0.000000885239199508433,0,0,0,0.0386670705543,0,0,0,0,0.0000893423168405001,0.000136587121737,0.0000324696837114,0,0,0.0000689892821335001,0,0.00000731906753494001,0,0.0000232052353594,0,0,0.0000162022626786,0.0000533092689901,0.0000143868261437,0.0000340859695534,0,0,0,0.0000955124744806001,0,0,0,0.0487168780286169,0,0,0,0,0.0748201279815274,0.414964590064441,0.0615257191017526,0,0,0.1462507355847,0,0.0522576792349602,0,0.0659389985574836,0,0,0.0628082224665192,0.0809616296289508,0.060717240832042,0.0646220150831231,0,0,0,0,0,0,0
"9",8,"female","female_8",0,NA,0.0400851011596237,0,0,0.000065816041708833,0,0,0,0,0.000000780921886678636,0.00000283391066608389,0.000000389798497901128,0,0,0.0000000878480733190322,0,0.00000142848246900548,0,0.00000361058727009909,0,0,0.000000178123867342529,0.00000207171028543555,0.000000148839825141246,0.00000295623728815906,0,0,0,0.00000088752197307585,0,0,0,0.0414724300302139,0,0,0,0,0.000104681793273007,0.000153734555686932,0.000041494981336091,0,0,0.0000776112185507846,0,0.00000623460514951643,0,0.0000204268146342224,0,0,0.0000194921287077648,0.0000642309676499186,0.0000173130887733453,0.0000414893420096834,0,0,0,0.000108234688901134,0,0,0,0.0513258372115878,0,0,0,0,0.0747773476788807,0.370456997089461,0.06097027614894,0,0,0.146430216247886,0,0.053831564305141,0,0.0662687819971219,0,0,0.0623064937936821,0.0801634277087641,0.0606840153066924,0.063743708531903,0,0,0,0,0,0,0
"10",9,"female","female_9",0,NA,0.0427920865037366,0,0,0.0000638513138818192,0,0,0,0,0.000000784288092175658,0.00000282885428505439,0.000000437827286721382,0,0,0.0000000842285652234644,0,0.00000121689192368437,0,0.00000343253084718696,0,0,0.000000181146175671085,0.00000209411995602037,0.000000156540077551012,0.00000316039692659657,0,0,0,0.00000095444580681154,0,0,0,0.0447525145911612,0,0,0,0,0.000119283920434905,0.000172750947737132,0.0000509234322137289,0,0,0.0000850048658508674,0,0.00000511282826366775,0,0.0000179861704105475,0,0,0.0000229532546665264,0.0000753893244617973,0.0000203333082936757,0.000048997722790348,0,0,0,0.000119294992023448,0,0,0,0.0548046273317462,0,0,0,0,0.0748172867158652,0.297465409351647,0.0604285552781809,0,0,0.146768411369509,0,0.0559738121386593,0,0.0666518743502189,0,0,0.0620364399643222,0.0795550907150549,0.0606671291226228,0.063021654547666,0,0,0,0,0,0,0
