"","age","sex","sex_age_cat","age_cat","age_cat_2","pyld_rate","population_number","deaths_rate_adaod","mx","deaths_rate_bldc","deaths_rate_brsc","deaths_rate_carc","deaths_rate_chml","deaths_rate_copd","deaths_rate_crdd","deaths_rate_cyri","deaths_rate_dmt2","deaths_rate_espc","deaths_rate_iscs","deaths_rate_ishd","deaths_rate_kdnc","deaths_rate_lvrc","deaths_rate_lwri","deaths_rate_mlsm","deaths_rate_mltm","deaths_rate_mtri","deaths_rate_mvri","deaths_rate_otri","deaths_rate_pdri","deaths_rate_pr'd","deaths_rate_prsc","deaths_rate_stmc","deaths_rate_strk","deaths_rate_tbalc","deaths_rate_utrc","ylds_rate_adaod","ylds_rate_allc","ylds_rate_bldc","ylds_rate_brsc","ylds_rate_carc","ylds_rate_chml","ylds_rate_copd","ylds_rate_crdd","ylds_rate_cyri","ylds_rate_dmt2","ylds_rate_espc","ylds_rate_iscs","ylds_rate_ishd","ylds_rate_kdnc","ylds_rate_lvrc","ylds_rate_lwri","ylds_rate_mlsm","ylds_rate_mltm","ylds_rate_mtri","ylds_rate_mvri","ylds_rate_otri","ylds_rate_pdri","ylds_rate_pr'd","ylds_rate_prsc","ylds_rate_stmc","ylds_rate_strk","ylds_rate_tbalc","ylds_rate_utrc","dw_adj_adaod","dw_adj_allc","dw_adj_bldc","dw_adj_brsc","dw_adj_carc","dw_adj_chml","dw_adj_copd","dw_adj_crdd","dw_adj_cyri","dw_adj_dmt2","dw_adj_espc","dw_adj_iscs","dw_adj_ishd","dw_adj_kdnc","dw_adj_lvrc","dw_adj_lwri","dw_adj_mlsm","dw_adj_mltm","dw_adj_mtri","dw_adj_mvri","dw_adj_otri","dw_adj_pdri","dw_adj_pr'd","dw_adj_prsc","dw_adj_stmc","dw_adj_strk","dw_adj_tbalc","dw_adj_utrc","med"
"1",0,"female","female_0",0,NA,0.0246642861792017,0,0,0.00228424791928846,0,0,0,0,0.000000900600010105705,0.0000183639808635208,0.000000132483569725811,0,0,0.000000942747155109167,0,0.00000235284196968895,0,0.0000730764180225171,0,0,0.00000025181061175601,0.00000315168789362363,0.000000150818814228543,0.00000240319236252805,0,0,0,0.00000193229135167406,0,0,0,0.0247131090019086,0,0,0,0,0.0000185437106732094,0.0000558670104896943,0.00000280658187680931,0,0,0.0000177376261706592,0,0.000011028328370409,0,0.0000500000181289431,0,0,0.00000303956696184929,0.00000966153081087788,0.00000265034326186792,0.00000547784301926004,0,0,0,0.0000235218592172386,0,0,0,0.0411307466170147,0,0,0,0,0.0764003966254324,0.194602019233684,0.0653680049888179,0,0,0.146339802031955,0,0.0490113742361809,0,0.0644453272012234,0,0,0.0707062243571179,0.0894411900551767,0.0635301992026087,0.074519964243348,0,0,0,4.06662060562786,0,0,0
"2",1,"female","female_1",0,NA,0.0260915288960897,0,0,0.00135770574708344,0,0,0,0,0.000000806557684771782,0.0000134973095282955,0.000000152354122794213,0,0,0.000000639246256221984,0,0.00000213729138653328,0,0.0000457854308339365,0,0,0.000000237824006627952,0.00000290426962077735,0.000000150953440003207,0.00000235376069240156,0,0,0,0.00000160953669165624,0,0,0,0.0262375201178722,0,0,0,0,0.0000231924947454842,0.0000633555258212147,0.00000401234742538327,0,0,0.0000215051997245976,0,0.00000995629931429175,0,0.000043493571492944,0,0,0.00000385040887992569,0.0000124041607416871,0.00000339936141194054,0.00000722482920743031,0,0,0,0.000028747661823479,0,0,0,0.0420458977695705,0,0,0,0,0.076130176542954,0.219618195289147,0.0648204316175266,0,0,0.146289412914436,0,0.0495065061121421,0,0.0646671855528319,0,0,0.0695437565905816,0.0881134551649576,0.0630828120821945,0.0731343223833983,0,0,0,2.86637674046692,0,0,0
"3",2,"female","female_2",2,"0 to 4",0.0276013615471891,1906640.29496754,0,0.000806989854340153,0,0,0,0,0.000000722335433671673,0.000009920363447149,0.000000175204961493968,0,0,0.000000433452144489902,0,0.00000194148800888366,0,0.0000286864864668551,0,0,0.00000022461427552297,0.00000267627452808228,0.000000151088185949212,0.00000230534579065765,0,0,0,0.00000134069241656715,0,0,0,0.0278559634841,0,0,0,0,0.0000290066978502,0.0000718478153189,0.00000573613476058,0,0,0.0000260730275148,0,0.00000898847882529,0,0.0000378338015065,0,0,0.00000487755286483,0.0000159253442045,0.00000436006089296,0.00000952896183644,0,0,0,0.0000351344701405,0,0,0,0.0429814108581695,0,0,0,0,0.0758609122001864,0.247850211893965,0.0642774451476865,0,0,0.146239041147379,0,0.0500066400019912,0,0.0648898076701054,0,0,0.0684004007384562,0.0868054302085802,0.0626385755143997,0.0717744454762843,0,0,0,2.02037918337387,0,0,0
"4",3,"female","female_3",0,NA,0.0291647263068285,0,0,0.0004582738349021,0,0,0,0,0.000000638545100762248,0.00000707557900418803,0.0000002011817474554,0,0,0.000000283888041859166,0,0.00000176527604746559,0,0.0000166871229059863,0,0,0.000000209597688450841,0.00000243406711716749,0.00000015119909669899,0.00000223671004010867,0,0,0,0.00000108996964845229,0,0,0,0.0295236835539816,0,0,0,0,0.0000365602523331711,0.0000815351839935743,0.00000831842946141057,0,0,0.0000318935292173276,0,0.00000814186424757454,0,0.0000328205425829116,0,0,0.00000622010101678264,0.0000206175216511811,0.00000563840324911791,0.0000127007649919295,0,0,0,0.0000433326902720418,0,0,0,0.0437705980958527,0,0,0,0,0.075568674916239,0.287218317831576,0.0637376865062984,0,0,0.146147838860532,0,0.0504139893829022,0,0.065110366110339,0,0,0.0672043822493899,0.0854620444909985,0.0621485810873275,0.0703921586980509,0,0,0,1.36635196562222,0,0,0
"5",4,"female","female_4",0,NA,0.0307809292212024,0,0,0.00024864321810586,0,0,0,0,0.000000557177289886739,0.00000489722897936995,0.000000230664488065144,0,0,0.0000001795916014327,0,0.00000160656197294984,0,0.00000901238264159542,0,0,0.000000193242698491199,0.00000218495550924008,0.000000151378195766127,0.00000214972614060804,0,0,0,0.000000864881558303553,0,0,0,0.0312377580251117,0,0,0,0,0.0000464387099845658,0.0000925931726674661,0.0000122367055132284,0,0,0.0000393619703002902,0,0.00000739964553238681,0,0.0000283937266973484,0,0,0.00000798533625105874,0.0000269159851505549,0.00000735170503631087,0.0000171072602635061,0,0,0,0.0000539323395635067,0,0,0,0.0444047134560966,0,0,0,0,0.0752537378210194,0.341772281662952,0.0632011508615369,0,0,0.146015882469304,0,0.0507262140125792,0,0.0653288346539249,0,0,0.0659591405640391,0.084085552953098,0.0616139539879257,0.06898974753832,0,0,0,0.886589070500342,0,0,0
"6",5,"female","female_5",0,NA,0.0325055363530914,0,0,0.000138016461852777,0,0,0,0,0.000000489351191622416,0.00000344081897399681,0.000000264665849379001,0,0,0.000000115600165723226,0,0.00000146143286061516,0,0.00000505150461588946,0,0,0.000000179240424104344,0.00000197423372686181,0.000000151800239521729,0.00000207590114245751,0,0,0,0.000000694656939852735,0,0,0,0.0330796337443815,0,0,0,0,0.0000587585506648366,0.000105114266571327,0.0000178725734217435,0,0,0.0000483636993237617,0,0.00000671387535655439,0,0.0000245976493462985,0,0,0.0000102173629253932,0.0000349921805189353,0.00000954631660525281,0.0000229217567888746,0,0,0,0.0000668201099847273,0,0,0,0.0451339428169828,0,0,0,0,0.0749519754545471,0.401338302433393,0.0626697809559426,0,0,0.145904430864116,0,0.0510898746406182,0,0.0655494607699077,0,0,0.0647713813680161,0.0827577414586978,0.061107945625894,0.0676381796052216,0,0,0,0.587309623587398,0,0,0
"7",6,"female","female_6",0,NA,0.0344064688497716,0,0,0.0000839259031852425,0,0,0,0,0.000000441112688441911,0.00000256723241565218,0.000000304589622740511,0,0,0.0000000797562872974831,0,0.00000132692499838194,0,0.00000328468541360999,0,0,0.000000170307545853101,0.00000183121027037831,0.000000152642741903447,0.00000204282196474107,0,0,0,0.000000585693170552668,0,0,0,0.0351501848774586,0,0,0,0,0.0000732051887343106,0.000119162476707953,0.0000253692317389792,0,0,0.0000583762143993471,0,0.00000605113481455743,0,0.0000214260977926142,0,0,0.0000128998243260649,0.0000447382872699661,0.0000121940189759431,0.0000300734157202097,0,0,0,0.0000812947286044424,0,0,0,0.0462261711451655,0,0,0,0,0.0746987004085021,0.446972345307964,0.0621454538318858,0,0,0.145874573129115,0,0.0516560552439749,0,0.0657765496598542,0,0,0.0637403487045342,0.0815553453677954,0.0607014761887935,0.0664029842485871,0,0,0,0.422621598227169,0,0,0
"8",7,"female","female_7",7,"5 to 9",0.0365666684055088,1998917.9556736,0,0.0000598659896842989,0,0,0,0,0.000000416156180750486,0.00000212779342861201,0.0000003523768328317,0,0,0.000000062130660351867,0,0.00000120085231014847,0,0.00000276966745357806,0,0,0.000000168789595020528,0.0000017782765580857,0.000000154089836984957,0.0000020778056867834,0,0,0,0.000000537613925828019,0,0,0,0.0375746707577,0,0,0,0,0.0000887671777824001,0.00013475934883,0.0000342549563965,0,0,0.000068301678439,0,0.00000539048046844,0,0.0000188431944162,0,0,0.0000159102740243,0.0000555515318557,0.0000151345191526,0.0000380308122236,0,0,0,0.0000958049202105999,0,0,0,0.0479806196155372,0,0,0,0,0.0745288086873389,0.453726531401455,0.0616299827078741,0,0,0.145987442359997,0,0.0525841262654292,0,0.0660144670853287,0,0,0.0629594816896908,0.0805508644691216,0.0604638798804312,0.0653450757733454,0,0,0,0.351504553926777,0,0,0
"9",8,"female","female_8",0,NA,0.0389997196415708,0,0,0.0000520184579801262,0,0,0,0,0.000000415875280165653,0.00000199756686999821,0.000000412798074724281,0,0,0.0000000557690340514159,0,0.00000107704242502403,0,0.00000276165644155108,0,0,0.00000017287314661082,0.0000017903423914016,0.000000159818326928993,0.00000220991060669797,0,0,0,0.000000548679466097839,0,0,0,0.0404253213203783,0,0,0,0,0.000103823138679269,0.000151149116638756,0.0000437142735350716,0,0,0.0000769646193653287,0,0.0000046968091372365,0,0.0000166095799290532,0,0,0.0000190857743493415,0.0000666278724134393,0.0000181694016890196,0.0000461237315478378,0,0,0,0.000108644217221513,0,0,0,0.0505940804433244,0,0,0,0,0.0744585153318284,0.405837504442861,0.0610980474943,0,0,0.146282362609541,0,0.0541170518077636,0,0.0662680850573437,0,0,0.0624762060224798,0.0797828567219552,0.0603667031020367,0.0644648818933841,0,0,0,0.327151506110645,0,0,0
"10",9,"female","female_9",0,NA,0.0416931587555411,0,0,0.0000526044537145188,0,0,0,0,0.000000434529227948714,0.00000206126962114614,0.000000488940525587046,0,0,0.0000000557133622100846,0,0.000000958259101811936,0,0.00000275656086099648,0,0,0.000000180778575145211,0.00000184440694932016,0.000000172930697812606,0.00000243466765406697,0,0,0,0.00000060767550880739,0,0,0,0.0436977887917903,0,0,0,0,0.000118039444875354,0.000168260459718583,0.0000534820484010049,0,0,0.0000842710317747077,0,0.0000040161741551815,0,0.000014634109767756,0,0,0.0000224171547355732,0.0000778368516960617,0.0000212731218300327,0.000054214511988737,0,0,0,0.000119638278103537,0,0,0,0.0539926028634667,0,0,0,0,0.0744639633729477,0.328440366633417,0.0605488951669653,0,0,0.146719429401481,0,0.0561975822977099,0,0.0665346857473624,0,0,0.0622176202177987,0.0791940009436571,0.0603184283711018,0.0637124649758149,0,0,0,0.314203150205446,0,0,0
