"","age","sex","sex_age_cat","age_cat","age_cat_2","pyld_rate","population_number","deaths_rate_adaod","mx","deaths_rate_bldc","deaths_rate_brsc","deaths_rate_carc","deaths_rate_chml","deaths_rate_copd","deaths_rate_crdd","deaths_rate_cyri","deaths_rate_dmt2","deaths_rate_espc","deaths_rate_iscs","deaths_rate_ishd","deaths_rate_kdnc","deaths_rate_lvrc","deaths_rate_lwri","deaths_rate_mlsm","deaths_rate_mltm","deaths_rate_mtri","deaths_rate_mvri","deaths_rate_otri","deaths_rate_pdri","deaths_rate_pr'd","deaths_rate_prsc","deaths_rate_stmc","deaths_rate_strk","deaths_rate_tbalc","deaths_rate_utrc","ylds_rate_adaod","ylds_rate_allc","ylds_rate_bldc","ylds_rate_brsc","ylds_rate_carc","ylds_rate_chml","ylds_rate_copd","ylds_rate_crdd","ylds_rate_cyri","ylds_rate_dmt2","ylds_rate_espc","ylds_rate_iscs","ylds_rate_ishd","ylds_rate_kdnc","ylds_rate_lvrc","ylds_rate_lwri","ylds_rate_mlsm","ylds_rate_mltm","ylds_rate_mtri","ylds_rate_mvri","ylds_rate_otri","ylds_rate_pdri","ylds_rate_pr'd","ylds_rate_prsc","ylds_rate_stmc","ylds_rate_strk","ylds_rate_tbalc","ylds_rate_utrc","dw_adj_adaod","dw_adj_allc","dw_adj_bldc","dw_adj_brsc","dw_adj_carc","dw_adj_chml","dw_adj_copd","dw_adj_crdd","dw_adj_cyri","dw_adj_dmt2","dw_adj_espc","dw_adj_iscs","dw_adj_ishd","dw_adj_kdnc","dw_adj_lvrc","dw_adj_lwri","dw_adj_mlsm","dw_adj_mltm","dw_adj_mtri","dw_adj_mvri","dw_adj_otri","dw_adj_pdri","dw_adj_pr'd","dw_adj_prsc","dw_adj_stmc","dw_adj_strk","dw_adj_tbalc","dw_adj_utrc","incidence_adaod","case_fatality_adaod","prevalence_adaod","incidence_brsc","case_fatality_brsc","prevalence_brsc","incidence_carc","case_fatality_carc","prevalence_carc","incidence_copd","case_fatality_copd","prevalence_copd","incidence_crdd","case_fatality_crdd","prevalence_crdd","incidence_dmt2","case_fatality_dmt2","prevalence_dmt2","incidence_iscs","case_fatality_iscs","prevalence_iscs","incidence_ishd","case_fatality_ishd","prevalence_ishd","incidence_lvrc","case_fatality_lvrc","prevalence_lvrc","incidence_stmc","case_fatality_stmc","prevalence_stmc","incidence_strk","case_fatality_strk","prevalence_strk","incidence_tbalc","case_fatality_tbalc","prevalence_tbalc","incidence_utrc","case_fatality_utrc","prevalence_utrc"
"1",0,"female","female_0",0,NA,0.0260262143721089,0,0,0.00279732952323837,0,0,0,0,0.00000155159196841861,0.0000257508027075975,0.000000102734368929584,0,0,0.00000158161978441983,0,0.0000029879179358267,0,0.0000938515103819357,0,0,0.000000196591059707302,0.0000030148371145176,0.000000125914786190715,0.00000342041694770694,0,0,0,0.00000320841827736576,0,0,0,0.026105483605233,0,0,0,0,0.0000186116360113259,0.0000641206695350531,0.00000271502549619935,0,0,0.0000192528023195859,0,0.0000139555669745282,0,0.0000632993675750857,0,0,0.00000300117826946675,0.00000893139124637655,0.00000250602331223323,0.00000480901474873057,0,0,0,0.0000247369234208791,0,0,0,0.0421563468164275,0,0,0,0,0.0764655203427947,0.151451740981837,0.0659132736657208,0,0,0.148021525216508,0,0.0489595721802844,0,0.0643651482302273,0,0,0.0707914797049723,0.0901651412266501,0.0639585715514753,0.074170553989879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2",1,"female","female_1",0,NA,0.0274439640673523,0,0,0.00165203733534427,0,0,0,0,0.0000013994532261716,0.000018928048343296,0.000000118950893178343,0,0,0.00000106388589708068,0,0.00000269721717812891,0,0.0000588389407759077,0,0,0.000000187593854489773,0.00000278046197760366,0.0000001261446003175,0.00000332587929050541,0,0,0,0.00000268505183071964,0,0,0,0.0276162464926999,0,0,0,0,0.0000232931773466858,0.0000716316366681487,0.00000387266803606665,0,0,0.0000231602648130782,0,0.0000125287087547178,0,0.0000549372579887298,0,0,0.00000381978847947751,0.0000115307053723705,0.00000321931914073749,0.00000635734044379819,0,0,0,0.0000300590044093798,0,0,0,0.0429852044917075,0,0,0,0,0.0762228942684724,0.172554396741524,0.0652780149467783,0,0,0.1477606930535,0,0.0494123189808309,0,0.0646278985417504,0,0,0.0696021253097945,0.0887876150386561,0.0634988733538929,0.0727316616079794,0,0,0,0,0,0,0.0000320791291072463,0.00266011835720965,0,0.0000274638153596383,0.0156403099759741,0,0.0000243476553379309,0.017367257536278,0,0.000143147893107661,0.000483284747097233,0,0.000332172618826881,0.00326789848050078,0,0.0000371489182150902,0.0000451325730808707,0,0.0000825048733330547,0.000347577154763905,0,0.0000272287371536135,0.014245801785079,0,0.0000311970311860499,8.67625465099778,0,0.0000262244410221296,0.0131357701467223,0,0.000114763567174054,0.00740006310707779,0,0.0000222668833463841,0.379588402021586,0,0.0000304611803330557,0.00369842839747026,0
"3",2,"female","female_2",2,"0 to 4",0.0289389441338524,89600.5714535457,0,0.000975654578661107,0,0,0,0,0.00000126223219255136,0.0000139130037286351,0.00000013772718064413,0,0,0.000000715629137392428,0,0.00000243479930247175,0,0.0000368882816860573,0,0,0.000000179008416225669,0.00000256430729596371,0.000000126374833890916,0.00000323395458042868,0,0,0,0.0000022470584289185,0,0,0,0.0292144394594812,0,0,0,0,0.0000291523061472932,0.0000800224234862774,0.00000552391045261518,0,0,0.0000278607683862328,0,0.0000112477367166123,0,0.0000476798178392569,0,0,0.00000486168521756676,0.0000148865011862911,0.0000041356421862983,0.00000840417000780061,0,0,0,0.0000365261164741484,0,0,0,0.0438303587651928,0,0,0,0,0.075981038049788,0.196597408797052,0.0646488787221006,0,0,0.147500320508895,0,0.0498692524941339,0,0.0648917214481186,0,0,0.0684327530351095,0.0874311344384891,0.063042479208101,0.0713206834208014,0,0,0,0,0,0,0.0000311100086413183,0.00266011835720965,0.0000320383416664411,0.0000287034592572874,0.0156403099759741,0.0000272525451347379,0.0000243777515737691,0.017367257536278,0.0000241452078931519,0.000141673408447361,0.000483284747097233,0.000143102861234523,0.000333908033866554,0.00326789848050078,0.000331611091150469,0.0000363071251950167,0.0000451325730808707,0.0000371471691728979,0.0000829346700323092,0.000347577154763905,0.0000824835381996193,0.000026748309445813,0.014245801785079,0.0000269906289403749,0.0000357255392995588,8.67625465099778,0.00000352272148514176,0.0000258113077205754,0.0131357701467223,0.000025653832286315,0.000115860306487845,0.00740006310707779,0.0001143037184633,0.0000197628074731731,0.379588402021586,0.0000182114749681075,0.0000292225052589726,0.00369842839747026,0.0000304173625855448
"4",3,"female","female_3",0,NA,0.0304775779395998,0,0,0.000550611255004705,0,0,0,0,0.00000112463028588803,0.00000992840152609591,0.000000159617007583007,0,0,0.00000046509675417646,0,0.00000220016242760301,0,0.0000215497018887024,0,0,0.000000169431374609251,0.00000233849448024632,0.000000126547713184212,0.00000311209429867573,0,0,0,0.00000183787524800335,0,0,0,0.0308495950807248,0,0,0,0,0.000036758066150592,0.0000892452866798278,0.00000798954899422896,0,0,0.0000337915396209477,0,0.0000101319263888211,0,0.0000412675884361692,0,0,0.00000623111660399691,0.0000193850233571795,0.00000535629084828956,0.0000112259011080685,0,0,0,0.0000447654647664526,0,0,0,0.0445088133285996,0,0,0,0,0.0757103309252298,0.230092649818976,0.0640191464975789,0,0,0.147188897832479,0,0.0502261418750958,0,0.0651513899841858,0,0,0.0672133107206639,0.0860413030366449,0.0625366471544363,0.0698852330827205,0,0,0,0,0,0,0.0000313870699390705,0.00266011835720965,0.0000758310081626801,0.0000271540082452275,0.0156403099759741,0.0000663768937712302,0.0000259128431401374,0.017367257536278,0.0000578541136976493,0.00014320267451665,0.000483284747097233,0.000299859192401775,0.000337067781428441,0.00326789848050078,0.000683667371601671,0.0000385115068376925,0.0000451325730808707,0.0000908305949539817,0.0000815920803054783,0.000347577154763905,0.000180046659513574,0.0000279864144438845,0.014245801785079,0.0000656090287224275,0.0000355662874145256,8.67625465099778,0.00000391980955705216,0.0000263043272735717,0.0131357701467223,0.0000608638357216684,0.000114062317255534,0.00740006310707779,0.000246794855265451,0.0000240090630520932,0.379588402021586,0.0000335566566771244,0.0000283012746014706,0.00369842839747026,0.0000705914838514278
"5",4,"female","female_4",0,NA,0.0320582749595449,0,0,0.000296938732622238,0,0,0,0,0.000000989851292604038,0.00000687830025453603,0.000000185159598050356,0,0,0.000000292052503374687,0,0.00000199017214171774,0,0.000011730684896045,0,0,0.000000159066878775694,0.00000210870488402638,0.000000126730981922504,0.00000296389612092484,0,0,0,0.00000146912132990312,0,0,0,0.0325177419928475,0,0,0,0,0.0000466947387442606,0.0000993632164379482,0.0000117175597005906,0,0,0.0000413226524158245,0,0.00000915771166269209,0,0.000035619718969134,0,0,0.00000804222912235739,0.0000254610876618012,0.00000699403200531919,0.000015151464683436,0,0,0,0.0000553341682897773,0,0,0,0.0450123790183306,0,0,0,0,0.0754110870299113,0.276631032842316,0.0633889544408063,0,0,0.146826750467457,0,0.0504807871303047,0,0.065406845745612,0,0,0.065947195168731,0.0846203829641213,0.0619826225594075,0.0684279099380664,0,0,0,0,0,0,0.0000316844392571758,0.00266011835720965,0.000119276392365525,0.0000277366962226723,0.0156403099759741,0.000105660464201358,0.0000245475943638907,0.017367257536278,0.0000932601650053343,0.000144240894687076,0.000483284747097233,0.000458546605132375,0.000335420926352981,0.00326789848050078,0.00103356442636469,0.0000383923109422397,0.0000451325730808707,0.000148714519082246,0.0000829952360821243,0.000347577154763905,0.000278243946132777,0.0000279127853836914,0.014245801785079,0.000105248719273961,0.0000363849247707226,8.67625465099778,0.0000039227023853379,0.000025733287546993,0.0131357701467223,0.0000963556486084316,0.000118954213625704,0.00740006310707779,0.000368014686042388,0.0000233368002737519,0.379588402021586,0.0000470582008218373,0.000028992841705036,0.00369842839747026,0.000112776569511717
"6",5,"female","female_5",0,NA,0.0337418494617295,0,0,0.000163814459171097,0,0,0,0,0.000000876567381076158,0.00000483627785510067,0.00000021468886269292,0,0,0.00000018657239750946,0,0.00000179930331359874,0,0.00000661516743388957,0,0,0.00000014994531952611,0.00000191222359148714,0.000000127113878835363,0.0000028374453749872,0,0,0,0.00000118789844467038,0,0,0,0.034306924945167,0,0,0,0,0.0000590970043327111,0.000110721666068405,0.0000170660277523072,0,0,0.0000503252267512961,0,0.00000826319262878498,0,0.0000307870756781206,0,0,0.0000103435887464088,0.0000332980736883011,0.00000909536107338104,0.0000203439140443627,0,0,0,0.0000681064635609209,0,0,0,0.0456152897550977,0,0,0,0,0.0751277167795305,0.328142477448696,0.0627682302988112,0,0,0.146491119789566,0,0.0507893608904299,0,0.0656659393089526,0,0,0.0647384784087594,0.0832490762090952,0.0614593948572645,0.0670258244343345,0,0,0,0,0,0,0.0000322402337835579,0.00266011835720965,0.000163994524785725,0.0000304452084990346,0.0156403099759741,0.000142624541945688,0.0000230954503429545,0.017367257536278,0.000126894215952543,0.000141761059375735,0.000483284747097233,0.000619058876780485,0.00033914759136982,0.00326789848050078,0.00138024114417193,0.0000360100130511627,0.0000451325730808707,0.000202880622117101,0.0000830343847483233,0.000347577154763905,0.000377540482009738,0.000028678018447813,0.014245801785079,0.000142111520962319,0.0000352898171563032,8.67625465099778,0.00000408047732002602,0.0000257792197591144,0.0131357701467223,0.000131660666359743,0.00011798400916587,0.00740006310707779,0.000497826703311656,0.0000234122733974436,0.379588402021586,0.0000541818905956878,0.0000299383147381051,0.00369842839747026,0.000153714296180913
"7",6,"female","female_6",0,NA,0.0356019477102789,0,0,0.000098967380900363,0,0,0,0,0.000000795465487069746,0.00000360790111613746,0.000000248460689755049,0,0,0.000000127675977039835,0,0.0000016234146831688,0,0.00000429635134702465,0,0,0.000000143666326378716,0.00000177351633343107,0.000000127888559142528,0.00000277337913198755,0,0,0,0.00000100559017060726,0,0,0,0.0363249644981262,0,0,0,0,0.0000736871689980223,0.000123795841459218,0.0000241740362067689,0,0,0.0000602910224741251,0,0.00000740581190551703,0,0.0000267567031272618,0,0,0.0000131190686831757,0.0000428043006116409,0.0000116366436457597,0.0000267547169578709,0,0,0,0.0000824065803118889,0,0,0,0.0466078409744345,0,0,0,0,0.0749039827109718,0.368873633884818,0.0621665160005699,0,0,0.146258569359881,0,0.0513122077382525,0,0.0659366467262582,0,0,0.063683821439407,0.0820029686631742,0.061043372771379,0.0657499131693223,0,0,0,0,0,0,0.0000315758769869197,0.00266011835720965,0.000208520786877287,0.0000281360441105889,0.0156403099759741,0.000182755551549428,0.0000246561089593327,0.017367257536278,0.000159693487348407,0.000189103186440759,0.000483284747097233,0.000776433200561026,0.000277156857830025,0.00326789848050078,0.00173310943117099,0.0000361089645907319,0.0000451325730808707,0.000255444788383601,0.0000792630174688019,0.000347577154763905,0.000476729683562476,0.0000274379831645769,0.014245801785079,0.000181078540883811,0.0000351109096377743,8.67625465099778,0.00000398742799918922,0.0000243870789918116,0.0131357701467223,0.000166919829855653,0.0000738958370472296,0.00740006310707779,0.000625027019591282,0.0000219855251338305,0.379588402021586,0.000060273109916924,0.0000259776118240786,0.00369842839747026,0.000195019550944913
"8",7,"female","female_7",7,"5 to 9",0.037727834498733,93237.0632814537,0,0.00007009341702039,0,0,0,0,0.00000075343115783474,0.00000298535668049901,0.00000028660212544831,0,0,0.000000098549137985452,0,0.00000145948429871518,0,0.00000357278040556102,0,0,0.000000141627525185813,0.0000017109432525779,0.000000129254552336562,0.00000281106625871593,0,0,0,0.000000922407497102503,0,0,0,0.0387045564798941,0,0,0,0,0.000089514590731321,0.000139234169376646,0.0000326158291187244,0,0,0.0000701844555694617,0,0.00000655932702137508,0,0.0000234786233493124,0,0,0.0000162376973559818,0.0000533920309824367,0.0000144689688600664,0.0000339306070407438,0,0,0,0.000096771625767985,0,0,0,0.0483120167728382,0,0,0,0,0.0747832195650381,0.377430148450285,0.0615929895450972,0,0,0.146205323765192,0,0.052218088413916,0,0.0662270787782555,0,0,0.0628740688454092,0.0809533320473638,0.0608092440360374,0.0646659153249377,0,0,0,0,0,0,0.0000291702607199014,0.00266011835720965,0.00025293335399442,0.0000276790158063842,0.0156403099759741,0.000219432025661441,0.0000259926597484265,0.017367257536278,0.000193563452939347,0.000187893594935039,0.000483284747097233,0.000984667982455051,0.000280457901289353,0.00326789848050078,0.0020167573959943,0.0000368406731917365,0.0000451325730808707,0.000305021374646218,0.0000800277544272569,0.000347577154763905,0.00057205685963401,0.0000280771400413826,0.014245801785079,0.000216668362884666,0.000032226264106118,8.67625465099778,0.00000384757176299201,0.0000253765159862789,0.0131357701467223,0.000199670224369493,0.0000724766595848425,0.00740006310707779,0.00071076223487824,0.0000232839890255623,0.379588402021586,0.0000632336436478137,0.0000277287887970914,0.00369842839747026,0.000234362661721471
"9",8,"female","female_8",0,NA,0.0401358969246219,0,0,0.0000604378482564125,0,0,0,0,0.000000754404831989599,0.00000279700638712014,0.000000330388021353164,0,0,0.000000087588519879774,0,0.00000130127443928076,0,0.00000349875032876661,0,0,0.000000142317834138479,0.00000170297626444111,0.000000131904476879417,0.00000298976994811934,0,0,0,0.000000937282282266449,0,0,0,0.0415190574694317,0,0,0,0,0.0001050224212965,0.000156934213553821,0.0000416578662104328,0,0,0.0000789199592105599,0,0.0000056877703041335,0,0.0000206496546496355,0,0,0.0000195244915795276,0.0000642749003340481,0.0000174081210335475,0.0000412985823919062,0,0,0,0.000109619491789392,0,0,0,0.0509511306536842,0,0,0,0,0.0748071998574857,0.339316620649318,0.0610262012662039,0,0,0.146372015052338,0,0.0537575549765726,0,0.0665539092129914,0,0,0.0623538894768218,0.0801358618467446,0.0607204190770768,0.0637795698783797,0,0,0,0,0,0,0.0000298656786193908,0.00266011835720965,0.000295044212721557,0.0000282273131749552,0.0156403099759741,0.000256062510992398,0.0000243314592769652,0.017367257536278,0.000228786790628857,0.000189111942537095,0.000483284747097233,0.00118887876592256,0.000280186330122836,0.00326789848050078,0.00230405120901574,0.0000363531397030429,0.0000451325730808707,0.000358598244465954,0.0000821292656664052,0.000347577154763905,0.000666471753683956,0.0000277222602254939,0.014245801785079,0.000254065552688457,0.0000329847573097265,8.67625465099778,0.00000362270568202307,0.0000248189388967824,0.0131357701467223,0.000234926677742127,0.0000713848908559962,0.00740006310707779,0.000790967826819775,0.0000190118133855432,0.379588402021586,0.0000665925975731653,0.0000276002800760151,0.00369842839747026,0.000270757073359209
"10",9,"female","female_9",0,NA,0.0428103689726181,0,0,0.0000606261697258934,0,0,0,0,0.000000788848591527957,0.00000288064464109614,0.000000380978004385998,0,0,0.0000000866073187484091,0,0.0000011518136182558,0,0.00000345372485324107,0,0,0.00000014465905413281,0.00000172644029127224,0.000000136856384229156,0.00000330217976404877,0,0,0,0.00000103110701484918,0,0,0,0.0447589998487697,0,0,0,0,0.0001198925001447,0.000176965350515983,0.0000510733373549766,0,0,0.0000864282501100999,0,0.0000048449470012897,0,0.0000181534840057313,0,0,0.0000229667953145998,0.0000753215499731351,0.0000204320974465551,0.0000487458814919139,0,0,0,0.000120806923312143,0,0,0,0.0544464944101657,0,0,0,0,0.0749467432712532,0.275331845767935,0.0604597731735954,0,0,0.146708055238711,0,0.0558696119286412,0,0.0669122908777047,0,0,0.0620518635473395,0.0794938015253452,0.0606758286988213,0.0630364270985109,0,0,0,0,0,0,0.0000311235524463822,0.00266011835720965,0.000337750123764804,0.0000295973091802647,0.0156403099759741,0.000293257657684386,0.0000249659690798478,0.017367257536278,0.000261029488058613,0.000189461614622439,0.000483284747097233,0.00139324050070015,0.000277841880881475,0.00326789848050078,0.00259139795528933,0.0000361600015110867,0.0000451325730808707,0.000411627351317038,0.0000806592705647345,0.000347577154763905,0.00076158724694807,0.0000280404534590192,0.014245801785079,0.000290051513033361,0.0000317784793572265,8.67625465099778,0.00000373431413412304,0.0000263614742406715,0.0131357701467223,0.000267869599006601,0.0000741140626100965,0.00740006310707779,0.000873231437312528,0.0000215487694624712,0.379588402021586,0.000068727920380759,0.0000294023955067642,0.00369842839747026,0.000310697128112749
