"","age","sex","sex_age_cat","age_cat","age_cat_2","pyld_rate","population_number","deaths_rate_adaod","mx","deaths_rate_bldc","deaths_rate_brsc","deaths_rate_carc","deaths_rate_chml","deaths_rate_copd","deaths_rate_crdd","deaths_rate_cyri","deaths_rate_dmt2","deaths_rate_espc","deaths_rate_iscs","deaths_rate_ishd","deaths_rate_kdnc","deaths_rate_lvrc","deaths_rate_lwri","deaths_rate_mlsm","deaths_rate_mltm","deaths_rate_mtri","deaths_rate_mvri","deaths_rate_otri","deaths_rate_pdri","deaths_rate_pr'd","deaths_rate_prsc","deaths_rate_stmc","deaths_rate_strk","deaths_rate_tbalc","deaths_rate_utrc","ylds_rate_adaod","ylds_rate_allc","ylds_rate_bldc","ylds_rate_brsc","ylds_rate_carc","ylds_rate_chml","ylds_rate_copd","ylds_rate_crdd","ylds_rate_cyri","ylds_rate_dmt2","ylds_rate_espc","ylds_rate_iscs","ylds_rate_ishd","ylds_rate_kdnc","ylds_rate_lvrc","ylds_rate_lwri","ylds_rate_mlsm","ylds_rate_mltm","ylds_rate_mtri","ylds_rate_mvri","ylds_rate_otri","ylds_rate_pdri","ylds_rate_pr'd","ylds_rate_prsc","ylds_rate_stmc","ylds_rate_strk","ylds_rate_tbalc","ylds_rate_utrc","dw_adj_adaod","dw_adj_allc","dw_adj_bldc","dw_adj_brsc","dw_adj_carc","dw_adj_chml","dw_adj_copd","dw_adj_crdd","dw_adj_cyri","dw_adj_dmt2","dw_adj_espc","dw_adj_iscs","dw_adj_ishd","dw_adj_kdnc","dw_adj_lvrc","dw_adj_lwri","dw_adj_mlsm","dw_adj_mltm","dw_adj_mtri","dw_adj_mvri","dw_adj_otri","dw_adj_pdri","dw_adj_pr'd","dw_adj_prsc","dw_adj_stmc","dw_adj_strk","dw_adj_tbalc","dw_adj_utrc","incidence_adaod","case_fatality_adaod","prevalence_adaod","incidence_brsc","case_fatality_brsc","prevalence_brsc","incidence_carc","case_fatality_carc","prevalence_carc","incidence_copd","case_fatality_copd","prevalence_copd","incidence_crdd","case_fatality_crdd","prevalence_crdd","incidence_dmt2","case_fatality_dmt2","prevalence_dmt2","incidence_iscs","case_fatality_iscs","prevalence_iscs","incidence_ishd","case_fatality_ishd","prevalence_ishd","incidence_lvrc","case_fatality_lvrc","prevalence_lvrc","incidence_stmc","case_fatality_stmc","prevalence_stmc","incidence_strk","case_fatality_strk","prevalence_strk","incidence_tbalc","case_fatality_tbalc","prevalence_tbalc","incidence_utrc","case_fatality_utrc","prevalence_utrc"
"1",0,"female","female_0",0,NA,0.0269999346445049,0,0,0.00247944344078036,0,0,0,0,0.00000171624797372345,0.0000216684830551688,0.0000000989428827051664,0,0,0.0000010227338516385,0,0.00000267314631229981,0,0.0000952804596753751,0,0,0.000000218791569208267,0.00000285947699183007,0.000000116818455674964,0.00000303027029890183,0,0,0,0.00000230187200370988,0,0,0,0.027049854197187,0,0,0,0,0.0000185900192507974,0.0000519703102717101,0.00000271818482721914,0,0,0.0000163476480401515,0,0.0000125321021564892,0,0.0000655276854085213,0,0,0.0000030259857376732,0.00000909594640437062,0.00000250416737546898,0.00000493391240981943,0,0,0,0.0000218012396143841,0,0,0,0.0435400334721226,0,0,0,0,0.0764474248318346,0.296212408127253,0.0660370822263436,0,0,0.147299801640514,0,0.0479489856591165,0,0.0642338672004892,0,0,0.0707194448216578,0.090245033368681,0.0640269803116495,0.0743461630486577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2",1,"female","female_1",0,NA,0.0283393065744978,0,0,0.00154079251002729,0,0,0,0,0.00000161418978399649,0.0000165989819728736,0.000000122604311117707,0,0,0.000000725127705270327,0,0.00000253132302003214,0,0.0000627907963290437,0,0,0.000000212717541358139,0.00000274757220226135,0.000000118519288503398,0.00000304860671553025,0,0,0,0.00000200200512198842,0,0,0,0.0284873437060556,0,0,0,0,0.000023281433616441,0.0000590968540603189,0.00000387069449970811,0,0,0.0000198422111325502,0,0.0000118059351910507,0,0.0000563377617426052,0,0,0.00000384446504441133,0.0000117098733366152,0.00000321198449868166,0.00000650555796902725,0,0,0,0.0000266884007792504,0,0,0,0.0443443597386136,0,0,0,0,0.076246041819828,0.319132511789468,0.0653709241009996,0,0,0.147162119072975,0,0.0485751039020439,0,0.0644624695248658,0,0,0.0695407985455743,0.0888487813633148,0.0635459753419158,0.0728832590093904,0,0,0,0,0,0,0.0000518853117311202,0.00284127502367543,0,0.0000502364377777511,0.0136594482236164,0,0.0000496445423011584,0.0122699523605511,0,0.000180452656861772,0.000660087298722814,0,0.000347444227605038,0.00372074217382927,0,0.000081156877191296,0.0000293827995203567,0,0.000141942103284995,0.000468162168802832,0,0.0000563196378845282,0.0102902790108131,0,0.0000810284598128098,16.6947942906074,0,0.0000667129426405786,3.73574500031339,0,0.000139300980634049,0.006611481595964,0,0.0000602018320304557,0.459920527150045,0,0.000052458912888964,0.00537039799752309,0
"3",2,"female","female_2",2,"0 to 4",0.0297451200418675,42314.8172589137,0,0.00095748970107946,0,0,0,0,0.00000151820057395651,0.0000127155279783214,0.000000151924187911928,0,0,0.000000514122210884309,0,0.00000239702413678656,0,0.0000413797762633424,0,0,0.000000206812138900926,0.00000264004677366115,0.000000120244884818847,0.00000306705408733481,0,0,0,0.00000174120216154861,0,0,0,0.0300012246096077,0,0,0,0,0.0000291567826759243,0.0000672006409345554,0.00000551186797896976,0,0,0.0000240837912378405,0,0.0000111218456404871,0,0.0000484366779992172,0,0,0.00000488432952399356,0.0000150749715822518,0.00000411987014958982,0.00000857783458095941,0,0,0,0.0000326711117694403,0,0,0,0.0451635445316462,0,0,0,0,0.0760451893046643,0.343826110205693,0.0647114859371227,0,0,0.147024565198681,0,0.0492093980020564,0,0.0646918854235293,0,0,0.068381796188467,0.0874741318726767,0.0630685839391468,0.0714491404264312,0,0,0,0,0,0,0.000063720624314041,0.00284127502367543,0.0000518119307704628,0.0000540495394002952,0.0136594482236164,0.0000498965120291329,0.0000490962460381701,0.0122699523605511,0.0000492929467037448,0.000182102358208524,0.000660087298722814,0.000180370816856374,0.000346981632971036,0.00372074217382927,0.000346824255646685,0.0000795749397604184,0.0000293827995203567,0.0000811526818425673,0.000144301989169093,0.000468162168802832,0.000141871633256376,0.0000584446853073481,0.0102902790108131,0.000056047496123688,0.0000820397144385006,16.6947942906074,0.0000045507822592738,0.000059100097664011,3.73574500031339,0.0000207393952047967,0.000141511115259862,0.006611481595964,0.000138790963990068,0.000043853686657814,0.459920527150045,0.0000442458099360112,0.000047877902292804,0.00537039799752309,0.0000523279961700662
"4",3,"female","female_3",0,NA,0.0311674692790812,0,0,0.000556396845516087,0,0,0,0,0.0000014212442524759,0.00000954142327912271,0.000000192844725849346,0,0,0.000000354944275643211,0,0.00000229293218280634,0,0.0000265435181725036,0,0,0.000000200185100064084,0.00000252152870250362,0.000000121920319741971,0.00000307677321341156,0,0,0,0.0000014923884248801,0,0,0,0.0315229014277492,0,0,0,0,0.0000367995043671315,0.0000764870979102681,0.00000795692856428221,0,0,0.0000294840403893937,0,0.0000106095303458416,0,0.0000414626219195131,0,0,0.00000624746906069147,0.0000195678601511122,0.00000532657688143982,0.0000114254127396895,0,0,0,0.0000403513571592586,0,0,0,0.0458113382603069,0,0,0,0,0.075838214995987,0.37899053937395,0.064047477581229,0,0,0.146832710719409,0,0.0497649349517265,0,0.0649134754019261,0,0,0.0671706656495272,0.0860617590218574,0.0625264534315622,0.0699879105241823,0,0,0,0,0,0,0.0000510215026501452,0.00284127502367543,0.000137737981058788,0.0000524217129966846,0.0136594482236164,0.000125311765518726,0.0000492038775957132,0.0122699523605511,0.000117549944719459,0.000179408273530758,0.000660087298722814,0.000396535977541465,0.000352830683493485,0.00372074217382927,0.000723580855960836,0.0000776841018013731,0.0000293827995203567,0.000192931040353265,0.000162963141440509,0.000468162168802832,0.000322966233678002,0.0000566054694974906,0.0102902790108131,0.000137586073674425,0.0000682525652008458,16.6947942906074,0.00000460976054338056,0.0000605839709194568,3.73574500031339,0.0000228772406689624,0.00014157073025545,0.006611481595964,0.000305792184143855,0.0000729772638356173,0.459920527150045,0.0000744211201407191,0.0000487342192059269,0.00537039799752309,0.00011862372893089
"5",4,"female","female_4",0,NA,0.0326021815740056,0,0,0.000302340134518595,0,0,0,0,0.00000132426013307366,0.00000701322460086927,0.000000250754230072271,0,0,0.000000238614004227918,0,0.00000221566438586776,0,0.0000165732252254534,0,0,0.000000192916988763932,0.00000239389996379864,0.000000123542812066412,0.000003077680658749,0,0,0,0.00000126055908634816,0,0,0,0.0330455937962365,0,0,0,0,0.0000468076490163082,0.0000871382163877825,0.0000116447146919444,0,0,0.0000364062960839471,0,0.0000102484522768003,0,0.0000353383952976844,0,0,0.00000804513599980006,0.0000256101839932544,0.00000694172581327583,0.0000153733050151462,0,0,0,0.0000502811554514548,0,0,0,0.0462799912511928,0,0,0,0,0.0756251718057164,0.427404996871533,0.0633791773883074,0,0,0.146586768583776,0,0.0502388747969568,0,0.0651271535569604,0,0,0.065910881046355,0.0846141911939244,0.0619213187510086,0.0685024087432926,0,0,0,0,0,0,0.0000558340136279348,0.00284127502367543,0.000207826867157446,0.0000525888301900439,0.0136594482236164,0.000195483277546623,0.0000513713932783968,0.0122699523605511,0.000186025874015944,0.000180188617390811,0.000660087298722814,0.000612255317715933,0.000350077517415235,0.00372074217382927,0.00109839543912992,0.0000767459616989362,0.0000293827995203567,0.000303980028764063,0.000162224037501716,0.000468162168802832,0.000500258215919791,0.0000565187266738594,0.0102902790108131,0.00021833404460617,0.0000784795597736336,16.6947942906074,0.00000390443158326274,0.0000600965941878378,3.73574500031339,0.0000244176900996856,0.000140924241237555,0.006611481595964,0.000469243209497282,0.0000644531441214042,0.459920527150045,0.000094773161450547,0.0000513935670198911,0.00537039799752309,0.000188797707777529
"6",5,"female","female_5",0,NA,0.0341320308735277,0,0,0.000169893454578747,0,0,0,0,0.00000123678833807524,0.00000520846106988911,0.000000322150596829357,0,0,0.000000162558884311162,0,0.00000213019696654085,0,0.0000104885747922785,0,0,0.000000186323527838434,0.00000227957133179987,0.00000012522554150756,0.00000308300774339302,0,0,0,0.00000107255658116054,0,0,0,0.0346817376723457,0,0,0,0,0.0000593069299264542,0.0000992261844481616,0.0000169255922856899,0,0,0.000044761261549423,0,0.0000098378227392001,0,0.0000301844357547558,0,0,0.0000103251794179877,0.0000333803431458166,0.00000901071844364963,0.0000205807895820471,0,0,0,0.0000623772058662699,0,0,0,0.0468485218585787,0,0,0,0,0.0754160338087307,0.476529691699799,0.0627233449937651,0,0,0.146368359381078,0,0.05076166162544,0,0.0653458846300357,0,0,0.0647091095131121,0.0832194786465382,0.0613555361551034,0.0670749349322756,0,0,0,0,0,0,0.0000578260275397717,0.00284127502367543,0.000287692093228866,0.0000540185447559559,0.0136594482236164,0.000270011673960325,0.0000512016180577752,0.0122699523605511,0.00025303142832312,0.000180717662124463,0.000660087298722814,0.000818846369189306,0.00035315850804675,0.00372074217382927,0.00147891731210044,0.0000798703325348694,0.0000293827995203567,0.000413428156597856,0.000162795244183118,0.000468162168802832,0.000695682622955459,0.0000581817959490398,0.0102902790108131,0.000296216380777733,0.0000784417046290882,16.6947942906074,0.00000437341491747303,0.0000617857047715128,3.73574500031339,0.0000248038185939205,0.000141414153981424,0.006611481595964,0.000631888533572355,0.0000256143218517366,0.459920527150045,0.000105371295630685,0.000047710557972614,0.00537039799752309,0.00026138714719735
"7",6,"female","female_6",0,NA,0.0358557641474985,0,0,0.000109178293653619,0,0,0,0,0.00000116597014897104,0.0000040313402700121,0.000000394412156579274,0,0,0.000000116799667525364,0,0.00000200700113594729,0,0.00000700599021938725,0,0,0.00000018155111446474,0.00000219695317366823,0.000000127087998410717,0.00000310611577480133,0,0,0,0.000000939679808348818,0,0,0,0.0365668700672421,0,0,0,0,0.0000739859199724877,0.000112780103011502,0.000023937865145967,0,0,0.0000540970306684446,0,0.00000920988161200854,0,0.000026007822784378,0,0,0.0000130737924957521,0.0000427960648606905,0.0000115117729395847,0.0000269994296888032,0,0,0,0.0000760222719519146,0,0,0,0.0478110033923047,0,0,0,0,0.075220665907655,0.507571132089242,0.0620960541512719,0,0,0.14625864809735,0,0.0514694593625623,0,0.0655828098361395,0,0,0.0636644652639272,0.0819600001330757,0.0609278625825422,0.0657810932027451,0,0,0,0,0,0,0.0000622966486675744,0.00284127502367543,0.000368714830746108,0.0000532791567157949,0.0136594482236164,0.000341086256570853,0.0000493642806395834,0.0122699523605511,0.000321170268782214,0.00017784160357212,0.000660087298722814,0.00103948518607556,0.000246227796954638,0.00372074217382927,0.00185151764295206,0.000074877724855054,0.0000293827995203567,0.000522883520358686,0.0000569471317396132,0.000468162168802832,0.000901342391802199,0.0000579281225063591,0.0102902790108131,0.000373790014135499,0.0000763721108823791,16.6947942906074,0.00000439901901503975,0.0000645281971477331,3.73574500031339,0.0000244685076732139,0.000139559237633786,0.006611481595964,0.000794117511760389,0.000031436807114659,0.459920527150045,0.00011250475714685,0.0000488229346635057,0.00537039799752309,0.000334163736711865
"8",7,"female","female_7",7,"5 to 9",0.037892063680423,43801.2208769293,0,0.0000887327363977137,0,0,0,0,0.00000111738268109595,0.00000335427851514575,0.000000443846535193889,0,0,0.0000000921140134714997,0,0.00000182514175047964,0,0.00000514338310826318,0,0,0.000000179655134581734,0.00000216234087811341,0.000000129257123191577,0.00000316097891567491,0,0,0,0.000000866501391469497,0,0,0,0.0388663821981244,0,0,0,0,0.0000898232987606425,0.000127766994574619,0.0000322736707256536,0,0,0.0000634452030705488,0,0.00000825199973363532,0,0.0000227534970457631,0,0,0.0000161677712071892,0.0000533062369777022,0.0000143032248325342,0.0000341856030627924,0,0,0,0.0000898195192757596,0,0,0,0.0494921328352929,0,0,0,0,0.0750488353986507,0.499088854949294,0.0615127457306256,0,0,0.146338722019634,0,0.0525072921493644,0,0.0658512702328013,0,0,0.0628701734228688,0.080913403425079,0.0607348873889229,0.0646908905363341,0,0,0,0,0,0,0.0000499706232045821,0.00284127502367543,0.000447150528195962,0.0000528474763578984,0.0136594482236164,0.000413731584160249,0.0000495788126580375,0.0122699523605511,0.000390490502055224,0.000177864778584431,0.000660087298722814,0.0012466389255451,0.000252908160022219,0.00372074217382927,0.00212268974322977,0.0000766220027432282,0.0000293827995203567,0.000637172445915288,0.0000567614115184055,0.000468162168802832,0.00096958896443791,0.0000566438075753205,0.0102902790108131,0.000451676543047053,0.0000695303336038406,16.6947942906074,0.00000441349119174536,0.0000592539336495729,3.73574500031339,0.0000253015340152404,0.000140684034935456,0.006611481595964,0.000952680908112155,0.0000254472860443651,0.459920527150045,0.00011197379502691,0.0000514116522406236,0.00537039799752309,0.000402928375674006
"9",8,"female","female_8",0,NA,0.0402885950931569,0,0,0.0000844240087098459,0,0,0,0,0.00000108393671391257,0.00000299648817846811,0.000000465040241050344,0,0,0.0000000800542137464542,0,0.00000156273360281375,0,0.000004197789340388,0,0,0.000000179767355206915,0.00000216013853268684,0.00000013099895781191,0.00000322662496913633,0,0,0,0.000000841063755844734,0,0,0,0.0416896169890535,0,0,0,0,0.000105129840834306,0.000143437322083396,0.000041233320655826,0,0,0.0000717762339622906,0,0.00000676404741710719,0,0.0000201060924520755,0,0,0.0000194432106576783,0.0000641794461278391,0.0000172108521878621,0.0000415856844561921,0,0,0,0.000102237314557575,0,0,0,0.0521066123131357,0,0,0,0,0.0748904958463038,0.439910585067905,0.060956586774181,0,0,0.14667320893219,0,0.054111132910908,0,0.0661803057360485,0,0,0.0623741528787341,0.0801229351022852,0.0607021290840255,0.0638141199974652,0,0,0,0,0,0,0.0000503650978807102,0.00284127502367543,0.000521082793337936,0.0000544953379271377,0.0136594482236164,0.00048136329538883,0.0000501132137825109,0.0122699523605511,0.000452723858870299,0.000175389526180816,0.000660087298722814,0.00145524428411642,0.000253682918425797,0.00372074217382927,0.00240481309919566,0.00007577459350889,0.0000293827995203567,0.000747729385774634,0.0000574466004738717,0.000468162168802832,0.00105133419288676,0.0000580135398250659,0.0102902790108131,0.000528213024815421,0.0000710047975396462,16.6947942906074,0.00000393184267897108,0.0000598208031325592,3.73574500031339,0.0000233849019043044,0.000138505232885102,0.006611481595964,0.00111138275971512,0.0000235742947673184,0.459920527150045,0.0000867426862476195,0.0000502441734419967,0.00537039799752309,0.000470864778385714
"10",9,"female","female_9",0,NA,0.0430249014891286,0,0,0.000081447756826723,0,0,0,0,0.00000105939621595355,0.00000281524127877501,0.0000004755248393637,0,0,0.0000000746550210882687,0,0.00000127264312381413,0,0.00000370734519097722,0,0,0.000000181005183835441,0.00000216700960855906,0.00000013255994164075,0.00000329421796430739,0,0,0,0.000000846851999299984,0,0,0,0.0450245444740493,0,0,0,0,0.000119545322268937,0.000159723445568336,0.0000506083292242751,0,0,0.0000790035144024371,0,0.00000513616763302848,0,0.0000178669413530478,0,0,0.0000228920763750788,0.0000753078386551794,0.0000202163164619947,0.0000490972910638014,0,0,0,0.000113112300708908,0,0,0,0.0555690783812736,0,0,0,0,0.0747390089540912,0.355613505112899,0.0604163519113073,0,0,0.147209285094771,0,0.0562330572436795,0,0.066561950573714,0,0,0.0621034059481557,0.0795267996012622,0.0606854898517485,0.0630926613249993,0,0,0,0,0,0,0.0000654143924251788,0.00284127502367543,0.000601790509705793,0.0000543514769273208,0.0136594482236164,0.000549056548099091,0.0000481142463596837,0.0122699523605511,0.000518897453271876,0.000176901001660312,0.000660087298722814,0.00166762060966343,0.000256063897212118,0.00372074217382927,0.00267845507681167,0.0000793301333364346,0.0000293827995203567,0.000858939793261129,0.0000556544879563793,0.000468162168802832,0.0011350460974629,0.000057340311109885,0.0102902790108131,0.000604080988909582,0.0000717435248130304,16.6947942906074,0.00000398407838996844,0.0000610793115667443,3.73574500031339,0.0000228604247590293,0.000140703319477872,0.006611481595964,0.00127190686218255,0.0000307555215387506,0.459920527150045,0.0000765653487451185,0.0000518623531106902,0.00537039799752309,0.000542663157837196
