"","age","sex","sex_age_cat","age_cat","age_cat_2","pyld_rate","population_number","deaths_rate_adaod","mx","deaths_rate_bldc","deaths_rate_brsc","deaths_rate_carc","deaths_rate_chml","deaths_rate_copd","deaths_rate_crdd","deaths_rate_cyri","deaths_rate_dmt2","deaths_rate_espc","deaths_rate_iscs","deaths_rate_ishd","deaths_rate_kdnc","deaths_rate_lvrc","deaths_rate_lwri","deaths_rate_mlsm","deaths_rate_mltm","deaths_rate_mtri","deaths_rate_mvri","deaths_rate_otri","deaths_rate_pdri","deaths_rate_pr'd","deaths_rate_prsc","deaths_rate_stmc","deaths_rate_strk","deaths_rate_tbalc","deaths_rate_utrc","ylds_rate_adaod","ylds_rate_allc","ylds_rate_bldc","ylds_rate_brsc","ylds_rate_carc","ylds_rate_chml","ylds_rate_copd","ylds_rate_crdd","ylds_rate_cyri","ylds_rate_dmt2","ylds_rate_espc","ylds_rate_iscs","ylds_rate_ishd","ylds_rate_kdnc","ylds_rate_lvrc","ylds_rate_lwri","ylds_rate_mlsm","ylds_rate_mltm","ylds_rate_mtri","ylds_rate_mvri","ylds_rate_otri","ylds_rate_pdri","ylds_rate_pr'd","ylds_rate_prsc","ylds_rate_stmc","ylds_rate_strk","ylds_rate_tbalc","ylds_rate_utrc","dw_adj_adaod","dw_adj_allc","dw_adj_bldc","dw_adj_brsc","dw_adj_carc","dw_adj_chml","dw_adj_copd","dw_adj_crdd","dw_adj_cyri","dw_adj_dmt2","dw_adj_espc","dw_adj_iscs","dw_adj_ishd","dw_adj_kdnc","dw_adj_lvrc","dw_adj_lwri","dw_adj_mlsm","dw_adj_mltm","dw_adj_mtri","dw_adj_mvri","dw_adj_otri","dw_adj_pdri","dw_adj_pr'd","dw_adj_prsc","dw_adj_stmc","dw_adj_strk","dw_adj_tbalc","dw_adj_utrc","incidence_adaod","case_fatality_adaod","prevalence_adaod","incidence_brsc","case_fatality_brsc","prevalence_brsc","incidence_carc","case_fatality_carc","prevalence_carc","incidence_copd","case_fatality_copd","prevalence_copd","incidence_crdd","case_fatality_crdd","prevalence_crdd","incidence_dmt2","case_fatality_dmt2","prevalence_dmt2","incidence_iscs","case_fatality_iscs","prevalence_iscs","incidence_ishd","case_fatality_ishd","prevalence_ishd","incidence_lvrc","case_fatality_lvrc","prevalence_lvrc","incidence_stmc","case_fatality_stmc","prevalence_stmc","incidence_strk","case_fatality_strk","prevalence_strk","incidence_tbalc","case_fatality_tbalc","prevalence_tbalc","incidence_utrc","case_fatality_utrc","prevalence_utrc"
"1",0,"female","female_0",0,NA,0.0255253934392525,0,0,0.00239953257851338,0,0,0,0,0.000000973045168392891,0.0000230157769627908,0.000000100169842077632,0,0,0.00000149356950583673,0,0.00000281201199529135,0,0.0000829016937269654,0,0,0.000000240868925627509,0.00000265644394398214,0.000000135565406789238,0.00000259361848272314,0,0,0,0.000003123470066214,0,0,0,0.0256060464769433,0,0,0,0,0.0000186182296230832,0.0000636835187109275,0.0000026602003428105,0,0,0.0000190766577754186,0,0.0000129055138770492,0,0.000064591419266843,0,0,0.00000288275408803705,0.00000867303457737099,0.0000025095334626024,0.00000484038922757827,0,0,0,0.0000245014300512872,0,0,0,0.0422593274859575,0,0,0,0,0.0764290902905748,0.148162509538596,0.0658071686445629,0,0,0.14724142545161,0,0.0495569618826374,0,0.0641254253748252,0,0,0.0708402976611292,0.0904921308759446,0.0640999516490286,0.0744724058810083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2",1,"female","female_1",0,NA,0.0269186239046536,0,0,0.00146876989976946,0,0,0,0,0.000000918911580512164,0.0000171545604038684,0.000000120348094517301,0,0,0.00000101722903471661,0,0.00000263631029132328,0,0.0000534214028293495,0,0,0.00000023451222890046,0.00000255533720255012,0.000000139163945338671,0.00000259686837700026,0,0,0,0.00000259713695188878,0,0,0,0.0270921958869315,0,0,0,0,0.0000232947578017883,0.000071133173165583,0.00000379377211746447,0,0,0.0000230025555259991,0,0.0000120675216769261,0,0.0000573631175156037,0,0,0.00000367229660697222,0.0000111887357992541,0.00000322602018864819,0.00000639650737368289,0,0,0,0.0000298279873927916,0,0,0,0.0430446660865619,0,0,0,0,0.0761806298813607,0.1687128335639,0.0651941786201881,0,0,0.147088106430083,0,0.0499868601174282,0,0.0642803883221341,0,0,0.0696548372987902,0.0890567184242308,0.0636335525309251,0.0730054183536378,0,0,0,0,0,0,0.0000545723439901662,0.00158501917995083,0,0.0000568187171711031,0.0129851711794961,0,0.0000500698859845016,0.0153131894717441,0,0.00018657655003854,0.000460563074459662,0,0.00038829705029511,0.00302079639525735,0,0.0000820688803883615,0.0000182455148457439,0,0.000159823981476293,0.000199821642269433,0,0.0000584144993683756,0.0106843673674234,0,0.0000823846757757551,24.848035429349,0,0.0000756575109921854,8.66459521348338,0,0.000150296345184393,0.00343414347951646,0,0.0000491535923423023,0.561720731570428,0,0.0000534468043709241,0.00340842396586959,0
"3",2,"female","female_2",2,"0 to 4",0.0283878998631181,40225.6305371671,0,0.000899043854534922,0,0,0,0,0.000000867789615762641,0.0000127859660408478,0.000000144591062075553,0,0,0.000000692806665526285,0,0.00000247158687935004,0,0.0000344244629024674,0,0,0.00000022832328977508,0.00000245807867827554,0.000000142858005894775,0.00000260012234350807,0,0,0,0.00000215949575436207,0,0,0,0.0286645999270828,0,0,0,0,0.0000291459366454046,0.0000794542831022397,0.00000541038456676725,0,0,0.0000277363868952178,0,0.0000112839427248269,0,0.0000509437211391034,0,0,0.00000467808281862934,0.000014434141553193,0.00000414706813543476,0.00000845289596722168,0,0,0,0.0000363125266583283,0,0,0,0.0438445992572718,0,0,0,0,0.0759329771825971,0.192113513045926,0.0645868985629448,0,0,0.146934947056035,0,0.0504204876464545,0,0.0644357257467256,0,0,0.0684892147451149,0.0876440749015564,0.0631705469900674,0.071567328139037,0,0,0,0,0,0,0.0000548688889634382,0.00158501917995083,0.0000545241242600518,0.000055326916072677,0.0129851711794961,0.0000564491977100131,0.0000501930040451899,0.0153131894717441,0.0000496722056166951,0.000188163499383765,0.000460563074459662,0.000186499724894335,0.000386416223647071,0.00302079639525735,0.000387642858085867,0.0000814572964685259,0.0000182455148457439,0.0000820634340477958,0.000159404634872266,0.000199821642269433,0.000159794822179375,0.0000587339250563102,0.0106843673674234,0.0000581132203281373,0.0000810095507492799,24.848035429349,0.00000308515898941378,0.0000798044219286519,8.66459521348338,0.00000842611420842938,0.000149093062882412,0.00343414347951646,0.000149999178949226,0.0000520195199837755,0.561720731570428,0.0000340067461515268,0.0000535102168486041,0.00340842396586959,0.000053346466955269
"4",3,"female","female_3",0,NA,0.0298984604412488,0,0,0.000525454570631699,0,0,0,0,0.000000811876014076088,0.00000921329435541081,0.000000173586253223927,0,0,0.000000454587770717245,0,0.00000231872911324533,0,0.0000213481952321057,0,0,0.000000219735526881228,0.00000233977523431289,0.000000145288944096589,0.00000260283766895443,0,0,0,0.00000174274566300856,0,0,0,0.0302717783059895,0,0,0,0,0.000036743080003219,0.0000885816322100361,0.00000782577371082031,0,0,0.0000337274863708517,0,0.0000105881670492334,0,0.0000451952669205271,0,0,0.00000600247805980466,0.0000187862433970427,0.00000537653552139517,0.0000112894540166309,0,0,0,0.0000445939038720114,0,0,0,0.0444794386522476,0,0,0,0,0.0756623726031131,0.224748212977996,0.0639824840257793,0,0,0.146744590228351,0,0.0507593879740874,0,0.0645856109946154,0,0,0.0672750241841769,0.0861964828208549,0.0626805508229757,0.0701084925319018,0,0,0,0,0,0,0.0000571589148572167,0.00158501917995083,0.000136870535643209,0.0000554267966417671,0.0129851711794961,0.000133272428031271,0.0000499184629232605,0.0153131894717441,0.000118280114523088,0.000188286474918475,0.000460563074459662,0.000411688045432485,0.000391816842584769,0.00302079639525735,0.0008119603009784,0.0000792097393478644,0.0000182455148457439,0.000195015787465843,0.000162845986916312,0.000199821642269433,0.000346987310339417,0.0000598933863649664,0.0106843673674234,0.000142082217692874,0.0000800200787948735,24.848035429349,0.0000029684206323925,0.0000742699390709282,8.66459521348338,0.00000889235874744656,0.000148230205645982,0.00343414347951646,0.000328796169797147,0.0000495164666512,0.561720731570428,0.0000622481743668663,0.0000516319902420265,0.00340842396586959,0.000127786436721871
"5",4,"female","female_4",0,NA,0.0314484712257771,0,0,0.000293235573968595,0,0,0,0,0.000000752487882165967,0.00000641835587561108,0.000000208238421344082,0,0,0.000000287366289330568,0,0.00000217680199394875,0,0.0000127408166718807,0,0,0.000000209033403924781,0.00000220385642558263,0.00000014638975505724,0.00000260742485597836,0,0,0,0.00000136502253020794,0,0,0,0.0319095261890242,0,0,0,0,0.000046671399612437,0.0000985714799627354,0.0000114807085165606,0,0,0.0000413597927707211,0,0.00000997006114870005,0,0.0000400534213736884,0,0,0.00000775757132036219,0.0000246676611046928,0.00000702993204314254,0.0000152386028231672,0,0,0,0.0000552434795573903,0,0,0,0.0449416404885822,0,0,0,0,0.0753690675135414,0.270123967661281,0.0633809606792582,0,0,0.146517180968263,0,0.0510016073867968,0,0.0647300043060809,0,0,0.0660155596121093,0.0847164287324561,0.0621642459807395,0.0686313544465946,0,0,0,0,0,0,0.000064716902602608,0.00158501917995083,0.000219935005836783,0.0000602265255412586,0.0129851711794961,0.000209942616014601,0.0000489282588270459,0.0153131894717441,0.000185989951114114,0.000193069783953678,0.000460563074459662,0.000638574289484612,0.000390802964692081,0.00302079639525735,0.00123663264092458,0.0000827795574943868,0.0000182455148457439,0.000310566228092634,0.000161926025044991,0.000199821642269433,0.000543892072698664,0.0000591721725899096,0.0106843673674234,0.000225768631884058,0.0000799400822293047,24.848035429349,0.00000281343245679157,0.0000774478044116743,8.66459521348338,0.00000832187125742024,0.000147250480138762,0.00343414347951646,0.000506474948717038,0.0000486061875419957,0.561720731570428,0.0000785013305356483,0.0000533374923142783,0.00340842396586959,0.000203328509424959
"6",5,"female","female_5",0,NA,0.0331003568015471,0,0,0.00016746904557858,0,0,0,0,0.000000700716011632328,0.00000454746030752458,0.000000249902482395857,0,0,0.000000185074975884052,0,0.00000204286867626151,0,0.00000775108168069549,0,0,0.000000200008490622118,0.000002086781881967,0.000000148188238054186,0.0000026183439771242,0,0,0,0.00000108525938998123,0,0,0,0.033667245901801,0,0,0,0,0.0000590591550391165,0.000109791383816303,0.0000167239541564132,0,0,0.0000505059550426815,0,0.00000937165508414488,0,0.0000355151862950422,0,0,0.00000998975213071959,0.0000322475318136534,0.00000915284493694189,0.0000204604397069197,0,0,0,0.0000681386152697049,0,0,0,0.0455004120288847,0,0,0,0,0.0750886850630726,0.320306478933152,0.0627864619757461,0,0,0.146308743558566,0,0.0512946740820496,0,0.0648776471926381,0,0,0.0648124397874364,0.083289485371327,0.0616671228882228,0.0672088482241073,0,0,0,0,0,0,0.0000544338512799389,0.00158501917995083,0.000325660035589783,0.0000513136002390788,0.0129851711794961,0.000286250676527953,0.0000493632933093396,0.0153131894717441,0.000253738061332094,0.000192232116262962,0.000460563074459662,0.000870378316736444,0.000391788934392856,0.00302079639525735,0.00165779303792262,0.0000793204739392676,0.0000182455148457439,0.000428260228411372,0.000159957724188732,0.000199821642269433,0.000737432554436877,0.0000613495272967926,0.0106843673674234,0.000307352448188314,0.0000815414294084545,24.848035429349,0.00000300114048761349,0.0000764866173664895,8.66459521348338,0.00000855881736633057,0.000151922004173155,0.00343414347951646,0.000680421833716826,0.0000480894071539215,0.561720731570428,0.0000891120436933826,0.000054819571143359,0.00340842396586959,0.000279098965033517
"7",6,"female","female_6",0,NA,0.0349297525836415,0,0,0.000104905453630138,0,0,0,0,0.000000664837483137341,0.0000034471417843182,0.000000300356457519052,0,0,0.000000128420637228924,0,0.00000191457514456917,0,0.00000509146947332397,0,0,0.000000195862132062565,0.00000201794451214249,0.000000152832782133798,0.00000264016179979388,0,0,0,0.000000915965210343948,0,0,0,0.0356544780155403,0,0,0,0,0.0000736153165623526,0.000122750359584446,0.0000236823467801062,0,0,0.0000606437769663922,0,0.00000874783371098932,0,0.0000315572993321324,0,0,0.0000126799811211971,0.0000414177878415375,0.0000117161942990779,0.0000268952251282711,0,0,0,0.0000825909701682738,0,0,0,0.0464396433468285,0,0,0,0,0.0748563312989097,0.359841499499236,0.0622029664308621,0,0,0.14617499813162,0,0.0517898177754496,0,0.0650373618908705,0,0,0.0637600853245229,0.0819955902607625,0.0612332491993758,0.0659079957239041,0,0,0,0,0,0,0.0000522054060559317,0.00158501917995083,0.00040261456921252,0.0000535526846101237,0.0129851711794961,0.000356020776106219,0.0000510244503096244,0.0153131894717441,0.000320322785491958,0.000182750360410666,0.000460563074459662,0.0010967588645779,0.000271047412756802,0.00302079639525735,0.00207962596679588,0.0000773636025642361,0.0000182455148457439,0.000542952092828217,0.0000659019051513112,0.000199821642269433,0.000930691897534885,0.0000568999537049801,0.0106843673674234,0.000390338823679962,0.0000739911640732815,24.848035429349,0.00000290775324900453,0.0000714245922585366,8.66459521348338,0.00000841611926057409,0.000144855261510091,0.00343414347951646,0.000861382538692973,0.0000492792338358705,0.561720731570428,0.0000944057090332619,0.0000501531145323758,0.00340842396586959,0.00035559482193505
"8",7,"female","female_7",7,"5 to 9",0.0370284313245343,42923.7215275482,0,0.0000772531935647602,0,0,0,0,0.000000651805573775546,0.00000294105612529937,0.000000361953345016276,0,0,0.000000101526310895326,0,0.00000179008091092146,0,0.00000382495734895607,0,0,0.00000019974402996426,0.00000202457369185251,0.000000162852278355027,0.0000026777010755448,0,0,0,0.00000085830149763404,0,0,0,0.0380061845466682,0,0,0,0,0.0000893669841728409,0.000138147480378513,0.0000319163053805439,0,0,0.0000706999133317484,0,0.00000806630799242664,0,0.0000281436393645658,0,0,0.0000156934590900961,0.0000515751696924603,0.0000145583320347938,0.0000340658021405722,0,0,0,0.0000970999613641887,0,0,0,0.0480728548401598,0,0,0,0,0.0747067377422861,0.367795900801633,0.0616343034469634,0,0,0.146171539085733,0,0.052645706863582,0,0.0652180617787134,0,0,0.0629472426099656,0.0809099489807448,0.060905564982307,0.064790801519656,0,0,0,0,0,0,0.0000611291933273364,0.00158501917995083,0.000475775428409953,0.0000503131943362605,0.0129851711794961,0.000436038899406387,0.0000514314935273349,0.0153131894717441,0.000387709793305798,0.000179954052605264,0.000460563074459662,0.00131290387318231,0.000270989365960985,0.00302079639525735,0.00237442169948023,0.0000782333958573934,0.0000182455148457439,0.000658913678732952,0.0000638386504769019,0.000199821642269433,0.00101932558817646,0.0000598266071561524,0.0106843673674234,0.000469477588181877,0.0000755890232235033,24.848035429349,0.00000268949609540365,0.0000733272776717253,8.66459521348338,0.00000812910614865561,0.000146942460376038,0.00343414347951646,0.00103149985372216,0.0000471120593151209,0.561720731570428,0.0000999437951847621,0.0000535513732064721,0.00340842396586959,0.000430526766354927
"9",8,"female","female_8",0,NA,0.0394170452859836,0,0,0.0000709317875180723,0,0,0,0,0.0000006728366454945,0.00000294004581753323,0.000000446056558403831,0,0,0.000000094942046939326,0,0.00000168390646176488,0,0.00000345144633973186,0,0,0.000000212815147898567,0.00000210266247310737,0.000000182260213240008,0.00000291924909646324,0,0,0,0.000000934879040861127,0,0,0,0.0408000149946771,0,0,0,0,0.00010472406444586,0.000155952057266105,0.000040667661396535,0,0,0.0000795437132695261,0,0.00000737036425807784,0,0.0000249879876680312,0,0,0.0000188476235340513,0.0000618990208899485,0.0000174739104293018,0.0000413611868519229,0,0,0,0.000110035880472399,0,0,0,0.0506046959455863,0,0,0,0,0.0746640102968567,0.329879933221526,0.0610521985604375,0,0,0.146330755878461,0,0.0540922662025255,0,0.0654093117150794,0,0,0.0624147254033134,0.0800646289385242,0.0607207024037391,0.0638541122729217,0,0,0,0,0,0,0.0000630847025290324,0.00158501917995083,0.00055458589329966,0.0000583801266861988,0.0129851711794961,0.000506329078079911,0.0000498916530820407,0.0153131894717441,0.00045080276250943,0.000180837270762049,0.000460563074459662,0.00152312255941796,0.000273459104766026,0.00302079639525735,0.00266035623107903,0.0000787283403662984,0.0000182455148457439,0.000771512882169344,0.0000620928899282231,0.000199821642269433,0.00111397631115531,0.0000580258575214817,0.0106843673674234,0.000548033841171726,0.0000753653761817072,24.848035429349,0.00000271502725555424,0.000071017962653527,8.66459521348338,0.00000816206522487319,0.000147597431531346,0.00343414347951646,0.00119816272869616,0.0000469953330731331,0.561720731570428,0.000103644883065987,0.0000543231497311596,0.00340842396586959,0.000501972771237319
"10",9,"female","female_9",0,NA,0.0420801149832068,0,0,0.0000775351512643181,0,0,0,0,0.000000724477221919358,0.00000332919283965392,0.000000561720960261451,0,0,0.000000101178248463165,0,0.00000159478851984025,0,0.00000360005253979475,0,0,0.000000234154232953694,0.00000223690707075987,0.000000212256382059909,0.0000035072063403535,0,0,0,0.00000114881418936499,0,0,0,0.044027355890575,0,0,0,0,0.000119358697193072,0.000176257832982688,0.0000496908873715627,0,0,0.0000870978571300925,0,0.00000669668852650268,0,0.000022064662029966,0,0,0.0000221240628819366,0.0000722362653300399,0.0000204319246867491,0.0000486522688156321,0,0,0,0.000121245288730211,0,0,0,0.0539520591393979,0,0,0,0,0.0747045095244896,0.26673918960522,0.0604544950477033,0,0,0.146615856130244,0,0.0560685313662803,0,0.0656052819275631,0,0,0.0620927251674832,0.0793995262124395,0.0606479932810122,0.0630464702813666,0,0,0,0,0,0,0.0000644337252631544,0.00158501917995083,0.000637532777648407,0.0000593571196194441,0.0129851711794961,0.000580592367640585,0.0000511338056477643,0.0153131894717441,0.000515513113872204,0.000183042623493628,0.000460563074459662,0.00173876082900033,0.000273450435122326,0.00302079639525735,0.0029606559453888,0.0000793978433366873,0.0000182455148457439,0.000880516727751649,0.000067459822055791,0.000199821642269433,0.00120153741443656,0.0000590979782094516,0.0106843673674234,0.000623333473177588,0.0000810036973679085,24.848035429349,0.00000270035955009037,0.0000723506504980209,8.66459521348338,0.00000785759513148401,0.000143822267044095,0.00343414347951646,0.00137123084967816,0.0000474267933757136,0.561720731570428,0.000105973628604089,0.0000539000395725396,0.00340842396586959,0.000574590847031514
