"","age","sex","sex_age_cat","age_cat","age_cat_2","pyld_rate","population_number","deaths_rate_adaod","mx","deaths_rate_bldc","deaths_rate_brsc","deaths_rate_carc","deaths_rate_chml","deaths_rate_copd","deaths_rate_crdd","deaths_rate_cyri","deaths_rate_dmt2","deaths_rate_espc","deaths_rate_iscs","deaths_rate_ishd","deaths_rate_kdnc","deaths_rate_lvrc","deaths_rate_lwri","deaths_rate_mlsm","deaths_rate_mltm","deaths_rate_mtri","deaths_rate_mvri","deaths_rate_otri","deaths_rate_pdri","deaths_rate_pr'd","deaths_rate_prsc","deaths_rate_stmc","deaths_rate_strk","deaths_rate_tbalc","deaths_rate_utrc","ylds_rate_adaod","ylds_rate_allc","ylds_rate_bldc","ylds_rate_brsc","ylds_rate_carc","ylds_rate_chml","ylds_rate_copd","ylds_rate_crdd","ylds_rate_cyri","ylds_rate_dmt2","ylds_rate_espc","ylds_rate_iscs","ylds_rate_ishd","ylds_rate_kdnc","ylds_rate_lvrc","ylds_rate_lwri","ylds_rate_mlsm","ylds_rate_mltm","ylds_rate_mtri","ylds_rate_mvri","ylds_rate_otri","ylds_rate_pdri","ylds_rate_pr'd","ylds_rate_prsc","ylds_rate_stmc","ylds_rate_strk","ylds_rate_tbalc","ylds_rate_utrc","dw_adj_adaod","dw_adj_allc","dw_adj_bldc","dw_adj_brsc","dw_adj_carc","dw_adj_chml","dw_adj_copd","dw_adj_crdd","dw_adj_cyri","dw_adj_dmt2","dw_adj_espc","dw_adj_iscs","dw_adj_ishd","dw_adj_kdnc","dw_adj_lvrc","dw_adj_lwri","dw_adj_mlsm","dw_adj_mltm","dw_adj_mtri","dw_adj_mvri","dw_adj_otri","dw_adj_pdri","dw_adj_pr'd","dw_adj_prsc","dw_adj_stmc","dw_adj_strk","dw_adj_tbalc","dw_adj_utrc","incidence_adaod","case_fatality_adaod","prevalence_adaod","incidence_brsc","case_fatality_brsc","prevalence_brsc","incidence_carc","case_fatality_carc","prevalence_carc","incidence_copd","case_fatality_copd","prevalence_copd","incidence_crdd","case_fatality_crdd","prevalence_crdd","incidence_dmt2","case_fatality_dmt2","prevalence_dmt2","incidence_iscs","case_fatality_iscs","prevalence_iscs","incidence_ishd","case_fatality_ishd","prevalence_ishd","incidence_lvrc","case_fatality_lvrc","prevalence_lvrc","incidence_stmc","case_fatality_stmc","prevalence_stmc","incidence_strk","case_fatality_strk","prevalence_strk","incidence_tbalc","case_fatality_tbalc","prevalence_tbalc","incidence_utrc","case_fatality_utrc","prevalence_utrc"
"1",0,"female","female_0",0,NA,0.0246249914092879,0,0,0.00410059795568061,0,0,0,0,0.000000896646034534909,0.0000275734159443731,0.0000000888794116639496,0,0,0.00000184031344551317,0,0.00000256921181787466,0,0.000111904072599424,0,0,0.000000213499749796126,0.00000310701911616037,0.000000129945025558491,0.00000270814394627049,0,0,0,0.00000311460274014629,0,0,0,0.0247120775329544,0,0,0,0,0.0000185639614327606,0.0000618388535665534,0.00000268087521090936,0,0,0.0000231954322008281,0,0.0000111964196519148,0,0.0000612585676071622,0,0,0.00000292743374938709,0.00000869962796951692,0.00000251274978702944,0.00000473279886323557,0,0,0,0.0000285616615295873,0,0,0,0.0415303399249671,0,0,0,0,0.0764062636867881,0.20045364358578,0.0660155693508533,0,0,0.149881999839178,0,0.0491835839345169,0,0.0640382468119641,0,0,0.0709220771635354,0.0904006542726518,0.0640081150420601,0.0743748874714982,0,0,0,2.0898806644251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2",1,"female","female_1",0,NA,0.0260993512531558,0,0,0.00233201027251378,0,0,0,0,0.000000831558064493436,0.0000201393218045627,0.000000106205113271413,0,0,0.00000118562174115752,0,0.0000023756525315492,0,0.0000688117854172683,0,0,0.000000203038678490791,0.00000289007053395586,0.00000012868682328872,0.00000270904564203498,0,0,0,0.00000257843959861173,0,0,0,0.0262770615251372,0,0,0,0,0.0000232083663421059,0.0000696229760841332,0.00000382018077381449,0,0,0.0000275149835253356,0,0.0000103982774624033,0,0.0000528475212651959,0,0,0.00000372686314105625,0.0000112280401333068,0.00000322892079475848,0.00000626320174457032,0,0,0,0.0000342930282268585,0,0,0,0.0424783534591553,0,0,0,0,0.0761393485006166,0.225472291536394,0.0653651271132742,0,0,0.149323912838227,0,0.0496142927599307,0,0.0643625802095482,0,0,0.0697148589047842,0.0889859679493994,0.0635359107049989,0.0729010678481432,0,0,0,1.60606297481969,0,0,0.000029370668534964,0.0029293500430705,0,0.000025454018331027,0.0145957367974045,0,0.0000241739552251017,0.0173586099135372,0,0.000186927952273963,0.000254622022968113,0,0.000363232282530636,0.00288812295185628,0,0.0000367756288449991,0.0000346966173593257,0,0.0001171319681422,0.000363279450903428,0,0.0000260882428012955,0.0109547611760857,0,0.0000316961603799833,8.4507818244703,0,0.0000259800398813957,0.00652159075078606,0,0.000156371533436888,0.00527661507603423,0,0.0000205976467913342,0.517025342480656,0,0.0000247335312824882,0.00394140496203727,0
"3",2,"female","female_2",2,"0 to 4",0.0276619847095129,94677.6195673485,0,0.00132621436431633,0,0,0,0,0.000000771194861730187,0.0000147095406519809,0.000000126908199253628,0,0,0.000000763836680394089,0,0.00000219667561521836,0,0.0000423135789638505,0,0,0.00000019309017927493,0.00000268827045440323,0.000000127440803654989,0.00000270994763802548,0,0,0,0.00000213457423574242,0,0,0,0.0279411539347536,0,0,0,0,0.0000290147267446297,0.0000783869447643442,0.00000544366298186316,0,0,0.000032638939936306,0,0.00000965703122485524,0,0.0000455913452267663,0,0,0.00000474460229034105,0.0000144912961424198,0.00000414921117599585,0.00000828847733165037,0,0,0,0.0000411744878269729,0,0,0,0.0434480073088967,0,0,0,0,0.0758733657473789,0.25361352051911,0.0647210935927384,0,0,0.148767903879342,0,0.0500487733741701,0,0.0646885562528639,0,0,0.0685281896200979,0.0875934201538966,0.0630671899408534,0.0714564535702486,0,0,0,1.23425146851447,0,0,0.0000284659451535113,0.0029293500430705,0.0000293160074998896,0.0000262052534510454,0.0145957367974045,0.0000252570527810727,0.0000233884459990974,0.0173586099135372,0.0000239605575646754,0.000186578967055422,0.000254622022968113,0.000186884619030356,0.000366109869006698,0.00288812295185628,0.000362638273589631,0.0000348654184924364,0.0000346966173593257,0.0000367744886657397,0.000125593243000555,0.000363279450903428,0.000117086325485771,0.0000270163447838242,0.0109547611760857,0.0000259492807855941,0.0000330836417579363,8.4507818244703,0.00000363529837447911,0.000025873432261964,0.00652159075078606,0.0000258716124345592,0.000155142986788022,0.00527661507603423,0.000155922593243613,0.0000203790332037384,0.517025342480656,0.0000152119239781076,0.0000289375442252319,0.00394140496203727,0.000024678075501377
"4",3,"female","female_3",0,NA,0.02929447182354,0,0,0.000720881765435318,0,0,0,0,0.000000710757240652629,0.0000104724964104949,0.000000152437157524385,0,0,0.000000474976420974811,0,0.00000204323773530479,0,0.0000247173317326117,0,0,0.000000182169095707339,0.00000247534632429585,0.000000125457732926545,0.00000271073311141425,0,0,0,0.00000173337912493453,0,0,0,0.0296692783237028,0,0,0,0,0.0000365440261680764,0.0000882571643507799,0.00000786508627799997,0,0,0.0000390107884753759,0,0.00000905018640048689,0,0.0000391933493621557,0,0,0.00000608223109097373,0.0000188617093128903,0.00000537578680114757,0.0000110835939884325,0,0,0,0.0000498320393714236,0,0,0,0.0442822122976831,0,0,0,0,0.0755754784637468,0.29326818003715,0.0640763346960462,0,0,0.148140087275247,0,0.0503783349614719,0,0.0650260895111912,0,0,0.06728995504905,0.0861655139128531,0.0625484397457392,0.0699853340185989,0,0,0,0.932916151896151,0,0,0.0000301231481383106,0.0029293500430705,0.0000688675337752182,0.0000273384320878067,0.0145957367974045,0.0000619515412264963,0.0000236182424371891,0.0173586099135372,0.0000558379747772909,0.000187203254051888,0.000254622022968113,0.000389492781002836,0.000364190261755065,0.00288812295185628,0.000741757294544107,0.0000362056532728766,0.0000346966173593257,0.0000867967290167958,0.000128269714995553,0.000363279450903428,0.000254462710824886,0.0000262120143877647,0.0109547611760857,0.0000638969080932427,0.0000321703927354653,8.4507818244703,0.00000380221306194701,0.0000258003647078405,0.00652159075078606,0.0000627673781689199,0.00015966974825368,0.00527661507603423,0.000324984418451101,0.000020764796065645,0.517025342480656,0.0000272813891117922,0.0000262615065823556,0.00394140496203727,0.000066471325656844
"5",4,"female","female_4",0,NA,0.0309982172655159,0,0,0.000374525504362631,0,0,0,0,0.000000650974648423427,0.00000726771970608167,0.000000184055545443744,0,0,0.000000285076079059769,0,0.00000191179726075052,0,0.0000137160261437678,0,0,0.000000170499193189857,0.0000022563032739171,0.000000122772438492759,0.00000271224071592783,0,0,0,0.00000138071441444939,0,0,0,0.0314604356309886,0,0,0,0,0.0000463701281740713,0.0000993736587495686,0.0000115218096873932,0,0,0.0000469802481722743,0,0.0000085586066589632,0,0.0000335748853336703,0,0,0.00000785114056561508,0.0000247585612344557,0.00000702242136642584,0.000014976625294916,0,0,0,0.0000607921079906139,0,0,0,0.0449723948333457,0,0,0,0,0.0752460701239569,0.348634854084402,0.0634309992258593,0,0,0.14744139061761,0,0.0506008625555319,0,0.0653753434134683,0,0,0.0660037014189929,0.0847047030977332,0.0619809544279109,0.0684905469978407,0,0,0,0.693552671765482,0,0,0.0000288875623947811,0.0029293500430705,0.000112267360409445,0.0000279991023748189,0.0145957367974045,0.0000997936654702584,0.000023475877487152,0.0173586099135372,0.0000880918675767889,0.000185953397345202,0.000254622022968113,0.000595254612161902,0.000364382253991482,0.00288812295185628,0.00111629501526691,0.000035968024596948,0.0000346966173593257,0.000137857341957406,0.00013269806558068,0.000363279450903428,0.000391558918006223,0.0000268499833105653,0.0109547611760857,0.000100564238355984,0.00003288390788345,8.4507818244703,0.00000365181554864329,0.0000253983665770372,0.00652159075078606,0.0000981760011779772,0.000159026008597068,0.00527661507603423,0.000495151200594074,0.0000191843896410696,0.517025342480656,0.0000362407972047898,0.0000249247356726057,0.00394140496203727,0.000105363537401577
"6",5,"female","female_5",0,NA,0.0328143199573588,0,0,0.00019902848289001,0,0,0,0,0.000000598086569255524,0.00000510855059387434,0.000000221655503798698,0,0,0.000000174156990114066,0,0.00000178352740933904,0,0.0000078091286248098,0,0,0.000000160215083130617,0.00000206709164155659,0.000000120502781609214,0.00000271590687016213,0,0,0,0.00000111045293591336,0,0,0,0.0333829666811808,0,0,0,0,0.0000586203223300159,0.000111888396840636,0.0000167623703241663,0,0,0.0000563644063685708,0,0.00000805717475136256,0,0.0000288124775141632,0,0,0.0000100994848575989,0.0000323619355978249,0.00000913582049646012,0.0000201318445936145,0,0,0,0.0000738680614235436,0,0,0,0.0457545291942137,0,0,0,0,0.0749343698519268,0.408761517396653,0.062795627681349,0,0,0.146782576127454,0,0.050879186755446,0,0.065721466487122,0,0,0.0647765490112219,0.0832962681975178,0.0614448727190649,0.0670540822792085,0,0,0,0.519897043024421,0,0,0.0000304733402296315,0.0029293500430705,0.000152469344210172,0.0000284346652873081,0.0145957367974045,0.000140339979635551,0.0000244536595313064,0.0173586099135372,0.000120838977392294,0.000187426088717134,0.000254622022968113,0.000795208493762161,0.000368123290846319,0.00288812295185628,0.00149472578646973,0.0000360018856073193,0.0000346966173593257,0.00018915432182248,0.000117402242657222,0.000363279450903428,0.000555666514272088,0.0000270839891795859,0.0109547611760857,0.000137972593003846,0.0000333844084263865,8.4507818244703,0.00000378615789775424,0.0000259776023961957,0.00652159075078606,0.000135183516455619,0.000156964319655459,0.00527661507603423,0.000665989645303848,0.0000214364604068779,0.517025342480656,0.0000401184006308658,0.0000253274417055615,0.00394140496203727,0.000142654389303074
"7",6,"female","female_6",0,NA,0.034793064143877,0,0,0.000115775050379368,0,0,0,0,0.000000556407260784737,0.00000377923195592316,0.000000264176585381005,0,0,0.00000011420540888964,0,0.0000016442877287574,0,0.0000049268241797953,0,0,0.000000152974221823631,0.00000193252446608719,0.000000119691755577865,0.00000272317938286257,0,0,0,0.000000928197637358411,0,0,0,0.0355217960740328,0,0,0,0,0.0000730146686083617,0.00012597044575918,0.0000237213976603411,0,0,0.0000666086724086784,0,0.00000744902084716665,0,0.0000249001689989099,0,0,0.0000128130412737011,0.0000415912999477465,0.0000116915348790872,0.0000265031913157901,0,0,0,0.0000883385013076062,0,0,0,0.0468821640523409,0,0,0,0,0.0746888154958226,0.453463742520871,0.0621803416592059,0,0,0.146272489509028,0,0.0513800975758492,0,0.066049293219578,0,0,0.0637078833885464,0.082019945857105,0.0610176504971789,0.0657512153147769,0,0,0,0.402864955997997,0,0,0.0000283779491147525,0.0029293500430705,0.000194580726292068,0.000026705773073485,0.0145957367974045,0.000177963612264561,0.0000229136860679503,0.0173586099135372,0.00015190720884932,0.000177167268108139,0.000254622022968113,0.000998776082395493,0.000256575038107556,0.00288812295185628,0.00187060801878039,0.000033821599599581,0.0000346966173593257,0.000240443636297752,0.0000804995177976265,0.000363279450903428,0.000669463312137676,0.0000257682865257733,0.0109547611760857,0.000175682916321473,0.0000315237967428784,8.4507818244703,0.00000378297476643348,0.0000270109406544502,0.00652159075078606,0.000173203539267791,0.0000703126194844349,0.00527661507603423,0.000833353332421657,0.0000199609434496675,0.517025342480656,0.0000436599916579269,0.0000278161153325181,0.00394140496203727,0.000178218989908084
"8",7,"female","female_7",7,"5 to 9",0.0369957179753685,100526.739179672,0,0.0000788914737448734,0,0,0,0,0.000000529080633967868,0.00000305752810251417,0.000000309179690735824,0,0,0.0000000847758761443421,0,0.00000148484449830307,0,0.00000372018408284165,0,0,0.000000150199063274795,0.00000187195559707581,0.000000121389356196238,0.00000273553278325203,0,0,0,0.000000830008935531443,0,0,0,0.0379823680868176,0,0,0,0,0.0000886110847584624,0.000141807600199955,0.0000319836340725459,0,0,0.0000766602065232251,0,0.00000667198106551955,0,0.0000217856905091737,0,0,0.0000158665191842723,0.0000518947720812921,0.0000145380538906976,0.0000336408158102427,0,0,0,0.000102740115396323,0,0,0,0.0486385708339973,0,0,0,0,0.0745573248660365,0.456634292057495,0.0615948683457211,0,0,0.146018759905742,0,0.052278919511253,0,0.0663433688164267,0,0,0.0628910417901955,0.0809508214162082,0.0607749468477142,0.0646516032580224,0,0,0,0.33083318379101,0,0,0.0000274631406200271,0.0029293500430705,0.000237209786452761,0.0000267634752302716,0.0145957367974045,0.000212164751397645,0.0000239595917947569,0.0173586099135372,0.000182785147785138,0.000179173537739896,0.000254622022968113,0.00119092299054834,0.0002586236414085,0.00288812295185628,0.00213625511588614,0.0000344574500425017,0.0000346966173593257,0.000289633511910289,0.0000800813194765398,0.000363279450903428,0.000792609858327609,0.000025722618079063,0.0109547611760857,0.000210728708752197,0.0000309364370618456,8.4507818244703,0.00000359300154983256,0.0000251140192578249,0.00652159075078606,0.000211590541428677,0.0000699550280386276,0.00527661507603423,0.000914588899416937,0.0000192223909706929,0.517025342480656,0.0000455291649789606,0.0000257307529331149,0.00394140496203727,0.00021509407902569
"9",8,"female","female_8",0,NA,0.0394022111415611,0,0,0.000065057650584885,0,0,0,0,0.000000514410789098375,0.00000272934273613991,0.000000353282631012403,0,0,0.0000000724725953502392,0,0.00000129297058785046,0,0.00000325041713824606,0,0,0.000000150461636658594,0.00000186374017733113,0.00000012493402313681,0.00000279509394485739,0,0,0,0.000000801999063483374,0,0,0,0.0408024992538169,0,0,0,0,0.000103864675262369,0.000158726587586384,0.0000408334406295612,0,0,0.0000854523664264453,0,0.00000566884573568292,0,0.0000191615695310415,0,0,0.0000190907255178787,0.0000625291382116995,0.0000174846570549391,0.0000409724871108839,0,0,0,0.000115538204367538,0,0,0,0.0511871034600912,0,0,0,0,0.0745704303068694,0.401987704261036,0.0610164885466955,0,0,0.146069493984127,0,0.0538351068407173,0,0.0665938955665087,0,0,0.0623716416423382,0.0801280655830382,0.0606803066371108,0.0637646277773163,0,0,0,0.291407897111572,0,0,0.0000278896932290002,0.0029293500430705,0.000275204407418958,0.0000248342820645597,0.0145957367974045,0.000247414305864587,0.0000228205084691936,0.0173586099135372,0.000213302068780695,0.000178276239931686,0.000254622022968113,0.00138754181028395,0.000256983195053379,0.00288812295185628,0.00240144250392098,0.0000351930155227502,0.0000346966173593257,0.000339333347997909,0.0000695804564742645,0.000363279450903428,0.000881524775613556,0.0000264816909138212,0.0109547611760857,0.000246403205334395,0.0000301768683779436,8.4507818244703,0.00000354856702285068,0.0000252805848207747,0.00652159075078606,0.000248613355263932,0.0000695488980046077,0.00527661507603423,0.000995095356436195,0.0000211229335771848,0.517025342480656,0.0000473926826336128,0.0000245612319737299,0.00394140496203727,0.000250260399129602
"10",9,"female","female_9",0,NA,0.0419999515816846,0,0,0.0000620564521679772,0,0,0,0,0.000000508209778297665,0.00000262037376265025,0.00000039617330646249,0,0,0.0000000688665681057623,0,0.00000109212108835602,0,0.00000299298731221323,0,0,0.000000152544954152336,0.00000187994555002745,0.00000012971168514815,0.00000293446340550175,0,0,0,0.00000082137548472465,0,0,0,0.0439748334495065,0,0,0,0,0.00011846049868643,0.000176658386871199,0.0000500506498721452,0,0,0.0000929554805806303,0,0.00000461052461964013,0,0.0000168831598063393,0,0,0.0000224740465168923,0.0000733752405016281,0.0000205065410795679,0.000048384147931465,0,0,0,0.000126638222811238,0,0,0,0.0544507864055672,0,0,0,0,0.074695756569252,0.318045038603802,0.060438436323618,0,0,0.14635202296295,0,0.055985503959204,0,0.0668105491959993,0,0,0.0620762406599762,0.0794916875387215,0.0606321169225033,0.0630323337457965,0,0,0,0.270790937510665,0,0,0.0000276235375101692,0.0029293500430705,0.000312096444338068,0.0000249403003206081,0.0145957367974045,0.000282214445697773,0.0000228157063989366,0.0173586099135372,0.000242119327439685,0.000175829861905457,0.000254622022968113,0.00158108682581961,0.000259278638188038,0.00288812295185628,0.00266835490654711,0.0000341056911575047,0.0000346966173593257,0.000388225166983149,0.0000742722235930782,0.000363279450903428,0.000969447549440575,0.0000259216757427695,0.0109547611760857,0.000282022959481291,0.0000318521380252822,8.4507818244703,0.0000034618390207977,0.000026832302972418,0.00652159075078606,0.000278092167831588,0.0000708870562575594,0.00527661507603423,0.001071827089749,0.0000200979992783076,0.517025342480656,0.000048642327995931,0.0000265228543297005,0.00394140496203727,0.000285237901281073
