"","age","sex","sex_age_cat","age_cat","age_cat_2","pyld_rate","population_number","deaths_rate_adaod","mx","deaths_rate_brsc","deaths_rate_carc","deaths_rate_copd","deaths_rate_cram","deaths_rate_cyri","deaths_rate_dmt2","deaths_rate_dprd","deaths_rate_hanc","deaths_rate_hyhd","deaths_rate_ishd","deaths_rate_lvrc","deaths_rate_lwri","deaths_rate_mltm","deaths_rate_mtri","deaths_rate_mvri","deaths_rate_nvhd","deaths_rate_otri","deaths_rate_pdri","deaths_rate_pr'd","deaths_rate_rdin","deaths_rate_rhhd","deaths_rate_stmc","deaths_rate_strk","deaths_rate_tbalc","deaths_rate_utrc","ylds_rate_adaod","ylds_rate_allc","ylds_rate_brsc","ylds_rate_carc","ylds_rate_copd","ylds_rate_cram","ylds_rate_cyri","ylds_rate_dmt2","ylds_rate_dprd","ylds_rate_hanc","ylds_rate_hyhd","ylds_rate_ishd","ylds_rate_lvrc","ylds_rate_lwri","ylds_rate_mltm","ylds_rate_mtri","ylds_rate_mvri","ylds_rate_nvhd","ylds_rate_otri","ylds_rate_pdri","ylds_rate_pr'd","ylds_rate_rdin","ylds_rate_rhhd","ylds_rate_stmc","ylds_rate_strk","ylds_rate_tbalc","ylds_rate_utrc","dw_adj_adaod","dw_adj_allc","dw_adj_brsc","dw_adj_carc","dw_adj_copd","dw_adj_cram","dw_adj_cyri","dw_adj_dmt2","dw_adj_dprd","dw_adj_hanc","dw_adj_hyhd","dw_adj_ishd","dw_adj_lvrc","dw_adj_lwri","dw_adj_mltm","dw_adj_mtri","dw_adj_mvri","dw_adj_nvhd","dw_adj_otri","dw_adj_pdri","dw_adj_pr'd","dw_adj_rdin","dw_adj_rhhd","dw_adj_stmc","dw_adj_strk","dw_adj_tbalc","dw_adj_utrc","incidence_dprd","case_fatality_stmc","remission_stmc","incidence_stmc","case_fatality_lvrc","remission_lvrc","incidence_lvrc","case_fatality_cram","remission_cram","incidence_cram","case_fatality_mltm","remission_mltm","incidence_mltm","case_fatality_utrc","remission_utrc","incidence_utrc","case_fatality_hanc","remission_hanc","incidence_hanc","case_fatality_rhhd","remission_rhhd","incidence_rhhd","remission_dprd","case_fatality_dprd","area"
"1",0,"female","female_0",0,NA,0.0272400320709166,0,0,0.00176407265263639,0,0,0.000000776350695562245,0.0000107166272970037,0.000000162536679953208,0,0,0,0,0,0.00000124486115214773,0.0000638552501237587,0,0.000000283673249445066,0.00000334398229983509,0,0.000000278794118787437,0.00000309144895995526,0,0.00000706003392182329,0.000000322609397159139,0,0.00000257422387770472,0,0,0,0.0272616255096804,0,0,0.0000183825525144708,0.0000103579021913332,0.0000037972786183021,0,0.000000380230278696003,0,0,0,0.000000427061216251773,0.0000795752954069304,0,0.0000010043654740433,0.00000353873581659125,0,0.000000497057358356819,0.00000115572646671645,0,0.00000996990402455737,0.000000683367181695492,0,0.0000300866501462321,0,0,0,0.0420523469226523,0,0,0.0704036045136048,0,0.0563921022179183,0,0,0,0,0,0.0917062130835737,0.0644153465269594,0,0.064094117379042,0.0923355606157377,0,0.061491771980037,0.0767174906821346,0,0.069172502832199,0.0582838819260583,0,0.769179455286224,0,0,0.00000587276292169112,0.133697427023416,0.0298309437790303,0.00000720310319779604,0.0208780100413755,0.0223481545352557,0.000000055114043378716,0.0903225401322829,0,0.00000502807855870277,0.000584689235487824,0.0890046429559455,0.00000194567013970368,0.00649223398061828,0.157450044348596,0.000197782110723285,0.0000271507438409392,0.0000183309613127318,0.00000325257840110801,0.00222772233269134,0,0.00000810459753010904,0,0,"northeast"
"2",1,"female","female_1",0,NA,0.0285376792031519,0,0,0.00104093758637889,0,0,0.0000006272727521815,0.00000670126214440529,0.000000174536171560035,0,0,0,0,0,0.000001112589289372,0.0000378597552735758,0,0.000000237228371922336,0.00000289896459272418,0,0.0000002371953967863,0.00000268363151820512,0,0.00000619183131968611,0.000000262387603959765,0,0.00000193686554278677,0,0,0,0.0286328412583048,0,0,0.0000228856381827941,0.0000108608367981715,0.0000048669758716467,0,0.00000100165907447748,0,0,0,0.000000454795175520244,0.0000648802918435652,0,0.00000125427850571042,0.00000445764799677845,0,0.000000625830673852714,0.00000153590157218812,0,0.0000127278275123354,0.000000809664995134581,0,0.0000374137588134282,0,0,0,0.0430910338967397,0,0,0.0703225701566154,0,0.0559711235960048,0,0,0,0,0,0.0957054634651215,0.0645614276753185,0,0.0630359633268393,0.0908087286315264,0,0.0606789068387262,0.0751521632926219,0,0.0682469430716341,0.0583898928806194,0,0.656940001166272,0,0,0.0000143963628383482,0.133697427023416,0.0298309437790303,0.00000720310319779604,0.0208780100413755,0.0223481545352557,0.000000055114043378716,0.0903225401322829,0,0.00000502807855870277,0.000584689235487824,0.0890046429559455,0.00000194567013970368,0.00649223398061828,0.157450044348596,0.000197782110723285,0.0000271507438409392,0.0000183309613127318,0.00000325257840110801,0.00222772233269134,0,0.00000810459753010904,0,0,"northeast"
"3",2,"female","female_2",2,"0 to 4",0.0298971430056252,50751.1029228185,0,0.000614232671832965,0,0,0.000000506821347463848,0.00000419039620241296,0.000000187421541965811,0,0,0,0,0,0.000000994371882108828,0.0000224470355467567,0,0.000000198387759702454,0.00000251316991429139,0,0.000000201803597942847,0.00000232961249523853,0,0.00000543039530914103,0.000000213407468344094,0,0.00000145731230423502,0,0,0,0.0300730269452261,0,0,0.0000284918231361756,0.0000113881917185137,0.00000623800793047487,0,0.00000263871910707364,0,0,0,0.00000048433021732076,0.000052898983889158,0,0.00000156637659352609,0.00000561517634914146,0,0.000000787965464649214,0.00000204113491157824,0,0.0000162486612493699,0.000000959304780659483,0,0.000046525264253278,0,0,0,0.0441553762910138,0,0,0.0702416290699502,0,0.0555532876659423,0,0,0,0,0,0.0998791186451722,0.0647078401065638,0,0.0619952787405406,0.0893071438640153,0,0.0598767870332006,0.0736187745107797,0,0.0673337677244603,0.0584960966555987,0,0.56107864317794,0,0,0.0000352909296249425,0.133697427023416,0.0298309437790303,0.00000720310319779604,0.0208780100413755,0.0223481545352557,0.000000055114043378716,0.0903225401322829,0,0.00000502807855870277,0.000584689235487824,0.0890046429559455,0.00000194567013970368,0.00649223398061828,0.157450044348596,0.000197782110723285,0.0000271507438409392,0.0000183309613127318,0.00000325257840110801,0.00222772233269134,0,0.00000810459753010904,0,0,"northeast"
"4",3,"female","female_3",0,NA,0.0312332188937205,0,0,0.000344982334499264,0,0,0.000000399332745453664,0.00000249850390033229,0.000000199472640878488,0,0,0,0,0,0.000000877288567102944,0.0000126999726868569,0,0.000000161359591696601,0.00000213703427911472,0,0.000000167829245394111,0.00000197516098999636,0,0.00000466257833649868,0.000000170030997484841,0,0.00000105563675761931,0,0,0,0.0314777509212781,0,0,0.0000358105488963913,0.0000120297004746445,0.00000806940098013343,0,0.00000723701665677875,0,0,0,0.000000516674233589041,0.000042862920072141,0,0.00000196799321834486,0.00000711608742116463,0,0.000000998433059716423,0.00000273584095511578,0,0.0000209010185511915,0.00000114777812860568,0,0.0000584082786469601,0,0,0,0.0450806384032967,0,0,0.07015210011785,0,0.0550964871442751,0,0,0,0,0,0.104592566654133,0.0648253658167573,0,0.0608868975210775,0.0877531303680965,0,0.0590447658103025,0.0720703664420428,0,0.0663738442756093,0.0586247774872195,0,0.474084753516239,0,0,0.0000897439620281005,0.133697427023416,0.0298309437790303,0.00000720310319779604,0.0208780100413755,0.0223481545352557,0.000000055114043378716,0.0903225401322829,0,0.00000502807855870277,0.000584689235487824,0.0890046429559455,0.00000194567013970368,0.00649223398061828,0.157450044348596,0.000197782110723285,0.0000271507438409392,0.0000183309613127318,0.00000325257840110801,0.00222772233269134,0,0.00000810459753010904,0,0,"northeast"
"5",4,"female","female_4",0,NA,0.0325371732661284,0,0,0.000184423610649272,0,0,0.000000306829065363376,0.00000142046795271778,0.000000210415117072142,0,0,0,0,0,0.000000764039440605737,0.00000685660577685887,0,0.000000127645752410141,0.00000178242728023377,0,0.000000136433954485694,0.00000163560835902796,0,0.00000391925214475779,0.000000132708512153702,0,0.000000736181823102104,0,0,0,0.0328355351620088,0,0,0.0000454396776377034,0.0000128015754576084,0.000010535261399261,0,0.0000206642268572062,0,0,0,0.000000552130278650155,0.0000345156509189584,0,0.00000248757519787062,0.0000090727594139189,0,0.00000127318687644502,0.00000369845885740863,0,0.0000270896802777323,0.00000138678575411792,0,0.0000740266367731176,0,0,0,0.0458570715156224,0,0,0.0700540163870869,0,0.0546017368546043,0,0,0,0,0,0.109904402138605,0.0649138463471201,0,0.0597150883097825,0.0861503105796588,0,0.0581843914917283,0.0705092225427347,0,0.0653695311145707,0.0587760827916155,0,0.396298527605161,0,0,0.000236744121934623,0.133697427023416,0.0298309437790303,0.00000720310319779604,0.0208780100413755,0.0223481545352557,0.000000055114043378716,0.0903225401322829,0,0.00000502807855870277,0.000584689235487824,0.0890046429559455,0.00000194567013970368,0.00649223398061828,0.157450044348596,0.000197782110723285,0.0000271507438409392,0.0000183309613127318,0.00000325257840110801,0.00222772233269134,0,0.00000810459753010904,0,0,"northeast"
"6",5,"female","female_5",0,NA,0.0339433643288748,0,0,0.000101055120411623,0,0,0.000000238735660887708,0.00000082702686300208,0.000000222949064204717,0,0,0,0,0,0.000000669729222863137,0.00000378952060856372,0,0.000000102388720259964,0.00000150109025199869,0,0.000000112180984813399,0.00000137049400017934,0,0.00000332957716410362,0.000000104650995352526,0,0.00000052324046074321,0,0,0,0.0343105418472142,0,0,0.0000573842543318087,0.0000135727467498033,0.0000136913102649774,0,0.0000578271995139144,0,0,0,0.000000589510525678178,0.0000278804922349835,0,0.00000313484617194817,0.0000115326043234529,0,0.00000161839541138842,0.00000497846355628146,0,0.0000349781653733339,0.00000166738447371674,0,0.00009337650266123,0,0,0,0.0467323563883837,0,0,0.0699603980442321,0,0.054132091040308,0,0,0,0,0,0.115288312262778,0.0650170952804235,0,0.0586066381724458,0.0846139892516214,0,0.0573562172353103,0.0690040525425851,0,0.0644090059435601,0.0589165780073096,0,0.333059494919905,0,0,0.000613178978953941,0.133697427023416,0.0298309437790303,0.00000720310319779604,0.0208780100413755,0.0223481545352557,0.000000055114043378716,0.0903225401322829,0,0.00000502807855870277,0.000584689235487824,0.0890046429559455,0.00000194567013970368,0.00649223398061828,0.157450044348596,0.000197782110723285,0.0000271507438409392,0.0000183309613127318,0.00000325257840110801,0.00222772233269134,0,0.00000810459753010904,0,0,"northeast"
"7",6,"female","female_6",0,NA,0.035610487018568,0,0,0.0000611207516868459,0,0,0.000000195332720304557,0.000000529608399684141,0.000000240477711341911,0,0,0,0,0,0.000000602453279446434,0.00000230003351742291,0,0.0000000868229475412356,0.00000131395471591785,0,0.0000000965347891978606,0.00000120381274543411,0,0.00000295127874160987,0.0000000859970530455516,0,0.000000401236211595578,0,0,0,0.0360980172338572,0,0,0.0000711022251109698,0.0000141793050775347,0.0000174673659584827,0,0.000149299654718416,0,0,0,0.000000627252670911796,0.0000228026345834627,0,0.0000039030654653206,0.0000144835458491341,0,0.00000203120735647892,0.0000065879190412535,0,0.0000444853538030732,0.00000196590240062671,0,0.000115566266664169,0,0,0,0.047974389850653,0,0,0.0698841973537014,0,0.0537484992150405,0,0,0,0,0,0.120110003024581,0.0651792252362714,0,0.0576792400796349,0.0832514621609204,0,0.0566174301487495,0.0676178207460507,0,0.0635754054802711,0.0590125209216225,0,0.285991246453249,0,0,0.00147581411554048,0.133697427023416,0.0298309437790303,0.00000720310319779604,0.0208780100413755,0.0223481545352557,0.000000055114043378716,0.0903225401322829,0,0.00000502807855870277,0.000584689235487824,0.0890046429559455,0.00000194567013970368,0.00649223398061828,0.157450044348596,0.000197782110723285,0.0000271507438409392,0.0000183309613127318,0.00000325257840110801,0.00222772233269134,0,0.00000810459753010904,0,0,"northeast"
"8",7,"female","female_7",7,"5 to 9",0.0377298322560391,53138.3555410785,0,0.0000439414140343527,0,0,0.000000174520834561212,0.000000400633709798858,0.00000026760228169906,0,0,0,0,0,0.00000056704645223068,0.00000164461767771619,0,0.000000081143941121817,0.00000123059899808202,0,0.0000000899584880218008,0.00000114838550722376,0,0.00000281768921614846,0.0000000759523322562332,0,0.000000351413486724238,0,0,0,0.0384362166655817,0,0,0.0000852130874409257,0.0000144348468376361,0.0000215764290362072,0,0.000334779858680028,0,0,0,0.000000663391874448345,0.000019059873155621,0,0.00000475781125407781,0.0000178094925984287,0,0.00000249321007662607,0.00000846083724521522,0,0.000055097780210555,0.00000223981853964572,0,0.000138349113222823,0,0,0,0.0498846545513303,0,0,0.0698383189384215,0,0.0535104333665103,0,0,0,0,0,0.123641582417054,0.0654448978607153,0,0.0570439684563913,0.0821635557061038,0,0.0560224617185546,0.0664085610358142,0,0.0629479343541809,0.0590300201341711,0,0.25498456610569,0,0,0.00312402623459551,0.133697427023416,0.0298309437790303,0.00000720310319779604,0.0208780100413755,0.0223481545352557,0.000000055114043378716,0.0903225401322829,0,0.00000502807855870277,0.000584689235487824,0.0890046429559455,0.00000194567013970368,0.00649223398061828,0.157450044348596,0.000197782110723285,0.0000271507438409392,0.0000183309613127318,0.00000325257840110801,0.00222772233269134,0,0.00000810459753010904,0,0,"northeast"
"9",8,"female","female_8",0,NA,0.0405027510726789,0,0,0.0000391754113540778,0,0,0.000000172792835106453,0.000000374857106349325,0.000000312100834777379,0,0,0,0,0,0.000000565704727894588,0.00000144556226191282,0,0.0000000842415235041731,0.00000122724138684674,0,0.0000000920160983372284,0.00000121724082873782,0,0.00000292276902833978,0.000000073320062458815,0,0.000000363478772798762,0,0,0,0.0415817658858976,0,0,0.0000980286621545978,0.0000141257079421716,0.0000256653768575708,0,0.000640311561855788,0,0,0,0.000000698585660026915,0.0000162846255138073,0,0.00000565632647989597,0.0000213779942919499,0,0.0000029854957471366,0.0000105127848229719,0,0.0000661956311557859,0.00000244353182019512,0,0.000159266420836912,0,0,0,0.0526978831841884,0,0,0.0698344932792686,0,0.0533938316232583,0,0,0,0,0,0.125780448041935,0.0658501875659106,0,0.056757362245366,0.0814011781402126,0,0.0555905893988063,0.0653839975566307,0,0.0625601553440206,0.0588945725164834,0,0.238966834460369,0,0,0.00573505665679476,0.133697427023416,0.0298309437790303,0.00000720310319779604,0.0208780100413755,0.0223481545352557,0.000000055114043378716,0.0903225401322829,0,0.00000502807855870277,0.000584689235487824,0.0890046429559455,0.00000194567013970368,0.00649223398061828,0.157450044348596,0.000197782110723285,0.0000271507438409392,0.0000183309613127318,0.00000325257840110801,0.00222772233269134,0,0.00000810459753010904,0,0,"northeast"
"10",9,"female","female_9",0,NA,0.0439291578544281,0,0,0.0000412252234240964,0,0,0.00000018488083525895,0.000000413652932999534,0.000000378111559172411,0,0,0,0,0,0.000000590495454827978,0.00000149043248942254,0,0.0000000944879744569321,0.00000127829591263876,0,0.000000100986876983296,0.00000140017839007534,0,0.00000322475568460975,0.000000075784587994153,0,0.000000427455312594006,0,0,0,0.0455495498557719,0,0,0.000109284115568917,0.0000133862100874718,0.0000296715540507285,0,0.00108754703320164,0,0,0,0.000000733737300659791,0.0000141337767201967,0,0.00000659800775937457,0.0000252023695250494,0,0.00000350984907673546,0.0000127459545718463,0,0.0000777301108229504,0.00000257767129407552,0,0.000177992891402882,0,0,0,0.0563505106071363,0,0,0.0698640680801985,0,0.0533255020062323,0,0,0,0,0,0.126885815257219,0.0663677591851188,0,0.05673511682369,0.080884271342288,0,0.0552801992256808,0.0644947581350502,0,0.0623523012379497,0.0586295156004194,0,0.232893930290268,0,0,0.00947180190552339,0.133697427023416,0.0298309437790303,0.00000720310319779604,0.0208780100413755,0.0223481545352557,0.000000055114043378716,0.0903225401322829,0,0.00000502807855870277,0.000584689235487824,0.0890046429559455,0.00000194567013970368,0.00649223398061828,0.157450044348596,0.000197782110723285,0.0000271507438409392,0.0000183309613127318,0.00000325257840110801,0.00222772233269134,0,0.00000810459753010904,0,0,"northeast"
