"","age","sex","sex_age_cat","age_cat","age_cat_2","pyld_rate","population_number","deaths_rate_adaod","mx","deaths_rate_brsc","deaths_rate_carc","deaths_rate_copd","deaths_rate_cram","deaths_rate_cyri","deaths_rate_dmt2","deaths_rate_dprd","deaths_rate_hanc","deaths_rate_hyhd","deaths_rate_ishd","deaths_rate_lvrc","deaths_rate_lwri","deaths_rate_mltm","deaths_rate_mtri","deaths_rate_mvri","deaths_rate_nvhd","deaths_rate_otri","deaths_rate_pdri","deaths_rate_pr'd","deaths_rate_rdin","deaths_rate_rhhd","deaths_rate_stmc","deaths_rate_strk","deaths_rate_tbalc","deaths_rate_utrc","ylds_rate_adaod","ylds_rate_allc","ylds_rate_brsc","ylds_rate_carc","ylds_rate_copd","ylds_rate_cram","ylds_rate_cyri","ylds_rate_dmt2","ylds_rate_dprd","ylds_rate_hanc","ylds_rate_hyhd","ylds_rate_ishd","ylds_rate_lvrc","ylds_rate_lwri","ylds_rate_mltm","ylds_rate_mtri","ylds_rate_mvri","ylds_rate_nvhd","ylds_rate_otri","ylds_rate_pdri","ylds_rate_pr'd","ylds_rate_rdin","ylds_rate_rhhd","ylds_rate_stmc","ylds_rate_strk","ylds_rate_tbalc","ylds_rate_utrc","dw_adj_adaod","dw_adj_allc","dw_adj_brsc","dw_adj_carc","dw_adj_copd","dw_adj_cram","dw_adj_cyri","dw_adj_dmt2","dw_adj_dprd","dw_adj_hanc","dw_adj_hyhd","dw_adj_ishd","dw_adj_lvrc","dw_adj_lwri","dw_adj_mltm","dw_adj_mtri","dw_adj_mvri","dw_adj_nvhd","dw_adj_otri","dw_adj_pdri","dw_adj_pr'd","dw_adj_rdin","dw_adj_rhhd","dw_adj_stmc","dw_adj_strk","dw_adj_tbalc","dw_adj_utrc","incidence_dprd","case_fatality_stmc","remission_stmc","incidence_stmc","case_fatality_lvrc","remission_lvrc","incidence_lvrc","case_fatality_cram","remission_cram","incidence_cram","case_fatality_mltm","remission_mltm","incidence_mltm","case_fatality_utrc","remission_utrc","incidence_utrc","case_fatality_hanc","remission_hanc","incidence_hanc","case_fatality_rhhd","remission_rhhd","incidence_rhhd","area"
"1",0,"female","female_0",0,NA,0.0276100749486421,0,0,0.00351205263929616,0,0,0.000000350873602783472,0.0000149115943800409,0.000000105658501776404,0,0,0,0,0,0.00000101836642186011,0.0000917656752160672,0,0.000000228147937092855,0.00000242240149921696,0,0.00000022895081461057,0.00000220257004560424,0,0.00000507063028645715,0.000000172836262524191,0,0.00000212784619689959,0,0,0,0.0276317779417163,0,0,0.0000180498911463022,0.0000118396552556197,0.00000356659807549293,0,0.000000379547857462608,0,0,0,0.00000035673905771923,0.000093694088273554,0,0.000000968333482429605,0.00000329271933153322,0,0.000000471720428200363,0.0000010338003072439,0,0.0000093109729779248,0.000000658214564397993,0,0.0000288959133570875,0,0,0,0.0439424338321366,0,0,0.0704128738226389,0,0.0562408410990388,0,0,0,0,0,0.0891938686790416,0.0639502590588704,0,0.063807374578928,0.0920952517571544,0,0.0614624234358864,0.0764612732746,0,0.068866465357781,0.0575727727277173,0,0.761038096458843,0,0,0.00000585662117669547,0.133697427023416,0.0298309437790303,0.00000720310319779604,0.0208780100413755,0.0223481545352557,0.000000055114043378716,0.0903225401322829,0,0.00000502807855870277,0.000584689235487824,0.0890046429559455,0.00000194567013970368,0.00649223398061828,0.157450044348596,0.000197782110723285,0.0000271507438409392,0.0000183309613127318,0.00000325257840110801,0.00222772233269134,0,0.00000810459753010904,"westmidlands"
"2",1,"female","female_1",0,NA,0.028713096862526,0,0,0.0020598291700843,0,0,0.000000336127308495195,0.0000103007515255772,0.000000125896610409969,0,0,0,0,0,0.000000966198483503706,0.0000573173842404439,0,0.00000020872376343884,0.00000233390952527391,0,0.000000209494337870722,0.00000231422350884718,0,0.00000514124493596672,0.000000159340852628577,0,0.000001844464832791,0,0,0,0.0288108265323497,0,0,0.000022517597004466,0.0000124662421407946,0.00000457984054419181,0,0.00000100045713984736,0,0,0,0.000000389567357030621,0.0000747296819142299,0,0.00000121105615399232,0.00000415509630634655,0,0.000000593878019883565,0.00000137765430979141,0,0.0000119052808353177,0.000000780654845803041,0,0.0000359581559274672,0,0,0,0.0445723219127556,0,0,0.0704058534923698,0,0.0558615331720324,0,0,0,0,0,0.0953147879736293,0.0641977829541401,0,0.0628203456318953,0.0906019097456527,0,0.0606417487811186,0.074904412470707,0,0.0679834355897259,0.057701473051485,0,0.651161751845776,0,0,0.0000143680564330353,0.133697427023416,0.0298309437790303,0.00000720310319779604,0.0208780100413755,0.0223481545352557,0.000000055114043378716,0.0903225401322829,0,0.00000502807855870277,0.000584689235487824,0.0890046429559455,0.00000194567013970368,0.00649223398061828,0.157450044348596,0.000197782110723285,0.0000271507438409392,0.0000183309613127318,0.00000325257840110801,0.00222772233269134,0,0.00000810459753010904,"westmidlands"
"3",2,"female","female_2",2,"0 to 4",0.0298601844786859,95610.7402796667,0,0.00120809584755554,0,0,0.000000322000762154645,0.00000711563628190581,0.000000150011179850547,0,0,0,0,0,0.000000916702956308879,0.0000358007776702053,0,0.000000190953334837043,0.00000224865022331148,0,0.00000019169129262345,0.00000243153694911516,0,0.00000521284297973769,0.000000146899192019083,0,0.00000159882350724397,0,0,0,0.0300401851530509,0,0,0.0000280911486249828,0.0000131259897148745,0.00000588093723101231,0,0.00000263712327442176,0,0,0,0.000000425416624224161,0.0000596038177211044,0,0.00000151461974075578,0.0000052433334203968,0,0.000000747669766701345,0.00000183587815169712,0,0.0000152224383105634,0.000000925871321053416,0,0.0000447464304632164,0,0,0,0.0452112390561621,0,0,0.0703988338620442,0,0.0554847834305133,0,0,0,0,0,0.101855754672436,0.064446264907745,0,0.0618485849222522,0.0891327825587025,0,0.0598320321532447,0.0733792515778788,0,0.0671117283364423,0.0578304610767574,0,0.557149016638999,0,0,0.0000352491717381949,0.133697427023416,0.0298309437790303,0.00000720310319779604,0.0208780100413755,0.0223481545352557,0.000000055114043378716,0.0903225401322829,0,0.00000502807855870277,0.000584689235487824,0.0890046429559455,0.00000194567013970368,0.00649223398061828,0.157450044348596,0.000197782110723285,0.0000271507438409392,0.0000183309613127318,0.00000325257840110801,0.00222772233269134,0,0.00000810459753010904,"westmidlands"
"4",3,"female","female_3",0,NA,0.0309288653728823,0,0,0.000653144547321881,0,0,0.000000308027523785636,0.00000463592618370582,0.000000179908380681809,0,0,0,0,0,0.000000864969884097944,0.000021306158576176,0,0.000000172110829041129,0.00000215446965312972,0,0.000000173153524169748,0.00000257464224794252,0,0.00000529156049783789,0.00000013471099189658,0,0.00000136694114316394,0,0,0,0.031178525644431,0,0,0.0000353931509036359,0.0000139288816079257,0.00000762133134467412,0,0.00000723789601666935,0,0,0,0.000000467055887878607,0.0000471619876198076,0,0.00000190562172923878,0.00000665658861999044,0,0.000000947105174675745,0.00000246720510541409,0,0.0000196105064253664,0.00000110900673601517,0,0.0000562145021685468,0,0,0,0.0456369449154293,0,0,0.0703936795960056,0,0.055069244857316,0,0,0,0,0,0.109445371259109,0.0646709416069671,0,0.0608109428758556,0.0876118252172821,0,0.0589888846658941,0.0718355446483573,0,0.0661938836942543,0.0579799877409876,0,0.471689559573175,0,0,0.0000897199503938109,0.133697427023416,0.0298309437790303,0.00000720310319779604,0.0208780100413755,0.0223481545352557,0.000000055114043378716,0.0903225401322829,0,0.00000502807855870277,0.000584689235487824,0.0890046429559455,0.00000194567013970368,0.00649223398061828,0.157450044348596,0.000197782110723285,0.0000271507438409392,0.0000183309613127318,0.00000325257840110801,0.00222772233269134,0,0.00000810459753010904,"westmidlands"
"5",4,"female","female_4",0,NA,0.0319076295377468,0,0,0.00032550296283168,0,0,0.000000294239973517011,0.00000284863775042217,0.000000217168754567964,0,0,0,0,0,0.000000811677329404607,0.0000120815998065289,0,0.000000152832157645288,0.00000205276597709808,0,0.00000015440420975826,0.00000274734598282112,0,0.00000537768874095961,0.000000122879098718484,0,0.00000115270519508528,0,0,0,0.0322117727190968,0,0,0.000045037184532325,0.0000148966330677711,0.00000996789043075422,0,0.0000206844611399627,0,0,0,0.000000515520264762157,0.0000370209193791984,0,0.000002411923511774,0.00000850185754008836,0,0.00000120715328768481,0.00000334367809470512,0,0.0000254538454957599,0.00000134155881106868,0,0.000071296355346606,0,0,0,0.0458432840139337,0,0,0.070388948619954,0,0.0546158288773389,0,0,0,0,0,0.118248535247519,0.0648715577376193,0,0.0597112593075471,0.0860425241676467,0,0.058114032318257,0.0702757897385738,0,0.0652321098727345,0.058150210768948,0,0.395133242911957,0,0,0.000236929069828382,0.133697427023416,0.0298309437790303,0.00000720310319779604,0.0208780100413755,0.0223481545352557,0.000000055114043378716,0.0903225401322829,0,0.00000502807855870277,0.000584689235487824,0.0890046429559455,0.00000194567013970368,0.00649223398061828,0.157450044348596,0.000197782110723285,0.0000271507438409392,0.0000183309613127318,0.00000325257840110801,0.00222772233269134,0,0.00000810459753010904,"westmidlands"
"6",5,"female","female_5",0,NA,0.0329834111410344,0,0,0.00016895915280628,0,0,0.000000281270418511707,0.00000180239082315395,0.000000261296864116354,0,0,0,0,0,0.000000763766856124127,0.00000701843752991963,0,0.000000136728324831066,0.00000196131887731069,0,0.000000138575837670223,0.00000292031430560404,0,0.00000546205628323743,0.000000112384734098883,0,0.00000097876203040343,0,0,0,0.0333557443522155,0,0,0.0000570258937876355,0.0000158696062295035,0.0000129772183262867,0,0.000057929676228903,0,0,0,0.000000567494143702218,0.0000291765381525197,0,0.00000304364145195442,0.000010825974447917,0,0.00000153387059710757,0.00000451247452699855,0,0.0000329145554698068,0.00000161487628920134,0,0.0000899957075906659,0,0,0,0.0461626122656569,0,0,0.070379682006256,0,0.0541864683048849,0,0,0,0,0,0.127409223606322,0.0650852554676246,0,0.0586704557776945,0.0845378077496415,0,0.0572736207043755,0.0687736324382211,0,0.064312134912779,0.0583107479769047,0,0.332758891612449,0,0,0.000614261174461807,0.133697427023416,0.0298309437790303,0.00000720310319779604,0.0208780100413755,0.0223481545352557,0.000000055114043378716,0.0903225401322829,0,0.00000502807855870277,0.000584689235487824,0.0890046429559455,0.00000194567013970368,0.00649223398061828,0.157450044348596,0.000197782110723285,0.0000271507438409392,0.0000183309613127318,0.00000325257840110801,0.00222772233269134,0,0.00000810459753010904,"westmidlands"
"7",6,"female","female_6",0,NA,0.0343699177788362,0,0,0.000103212678215412,0,0,0.000000269641912901853,0.00000128204959631185,0.000000310337814829001,0,0,0,0,0,0.000000726637908801208,0.0000044910018965968,0,0.000000126023357010724,0.00000189494149397927,0,0.000000127619836115982,0.00000305650383813187,0,0.00000553491725559633,0.0000001038852560323,0,0.000000854274979434867,0,0,0,0.0348589645856659,0,0,0.000070789430511228,0.0000166444254823746,0.0000165876071551286,0,0.000149643570852751,0,0,0,0.000000618061987567862,0.0000233639445092189,0,0.00000379521117839726,0.000013620230189055,0,0.0000019251447049973,0.00000598810572977977,0,0.000041927847612304,0.00000190583298910444,0,0.000111459807069243,0,0,0,0.0469382643197582,0,0,0.0703609240256501,0,0.0538412084800646,0,0,0,0,0,0.135779086500105,0.0653496823309227,0,0.0578013053298621,0.0832029105102979,0,0.0565300641685827,0.0673965586932295,0,0.0635149820921843,0.0584308914351481,0,0.286227231242545,0,0,0.0014794808533031,0.133697427023416,0.0298309437790303,0.00000720310319779604,0.0208780100413755,0.0223481545352557,0.000000055114043378716,0.0903225401322829,0,0.00000502807855870277,0.000584689235487824,0.0890046429559455,0.00000194567013970368,0.00649223398061828,0.157450044348596,0.000197782110723285,0.0000271507438409392,0.0000183309613127318,0.00000325257840110801,0.00222772233269134,0,0.00000810459753010904,"westmidlands"
"8",7,"female","female_7",7,"5 to 9",0.0363207442334095,98130.8898895565,0,0.0000838402045296747,0,0,0.000000259789986979656,0.0000011192777974025,0.000000360306065744553,0,0,0,0,0,0.000000704758031801208,0.00000340347802347642,0,0.000000122378182824201,0.00000186685830312428,0,0.000000122956889508878,0.00000311357072584175,0,0.00000558607016704365,0.000000097831960978879,0,0.000000782440377288113,0,0,0,0.0370200535532199,0,0,0.0000848802741257366,0.0000169869170659498,0.0000205318213625999,0,0.00033557542625435,0,0,0,0.000000660653815522834,0.000019238836282428,0,0.00000463447210985627,0.0000167779686806744,0,0.00000236468152475029,0.00000771546036856995,0,0.0000520244040464509,0.0000021727436662985,0,0.000133525225729284,0,0,0,0.0485458561241721,0,0,0.0703277270861776,0,0.0536388076960061,0,0,0,0,0,0.141942351203684,0.065703175842403,0,0.05721066523467,0.0821368469966456,0,0.0559427661687518,0.0662068092397133,0,0.0629180131044482,0.0584797392859285,0,0.255495817751016,0,0,0.00313258868290907,0.133697427023416,0.0298309437790303,0.00000720310319779604,0.0208780100413755,0.0223481545352557,0.000000055114043378716,0.0903225401322829,0,0.00000502807855870277,0.000584689235487824,0.0890046429559455,0.00000194567013970368,0.00649223398061828,0.157450044348596,0.000197782110723285,0.0000271507438409392,0.0000183309613127318,0.00000325257840110801,0.00222772233269134,0,0.00000810459753010904,"westmidlands"
"9",8,"female","female_8",0,NA,0.0391259121569862,0,0,0.0000820717940414835,0,0,0.000000247143699054519,0.00000111525654847184,0.000000406140324965561,0,0,0,0,0,0.000000698834653045075,0.00000296107702175403,0,0.00000012406184985239,0.00000186562455004117,0,0.000000124166514271604,0.00000311597099939917,0,0.00000561444756039479,0.000000093256529066064,0,0.000000750069080272285,0,0,0,0.0401860870121542,0,0,0.0000974876225095539,0.0000166245663954861,0.0000244745789682707,0,0.000641417329961988,0,0,0,0.00000068959206567859,0.0000163216861172425,0,0.00000552041357246871,0.0000201700767561274,0,0.00000283544495411577,0.000009621618161652,0,0.0000626199907761282,0.00000237043973893763,0,0.000153820060726215,0,0,0,0.0513118607151662,0,0,0.0702177771799949,0,0.0535482548976773,0,0,0,0,0,0.145512775191088,0.066201408938366,0,0.0569547099586198,0.0813873401830176,0,0.0555354193224698,0.0652141995715767,0,0.0625589995042178,0.0583873794527574,0,0.239570756107479,0,0,0.00574828654605351,0.133697427023416,0.0298309437790303,0.00000720310319779604,0.0208780100413755,0.0223481545352557,0.000000055114043378716,0.0903225401322829,0,0.00000502807855870277,0.000584689235487824,0.0890046429559455,0.00000194567013970368,0.00649223398061828,0.157450044348596,0.000197782110723285,0.0000271507438409392,0.0000183309613127318,0.00000325257840110801,0.00222772233269134,0,0.00000810459753010904,"westmidlands"
"10",9,"female","female_9",0,NA,0.042792410828894,0,0,0.0000808713566390632,0,0,0.000000231818625220977,0.0000011123555526487,0.000000447369623007441,0,0,0,0,0,0.000000704581636792581,0.00000271288643859838,0,0.000000129353862122851,0.0000018766292990541,0,0.000000129739404143775,0.000003117405302186,0,0.00000564912992627801,0.0000000895036479884241,0,0.000000742278461980325,0,0,0,0.0443850381899924,0,0,0.000108317545562933,0.0000157240268281306,0.0000283553564724888,0,0.00108807703544187,0,0,0,0.000000706658285689899,0.0000141527850978855,0,0.00000645273342627813,0.000023807117985884,0,0.00000333952645488002,0.0000117113263176167,0,0.0000736682295094493,0.00000249941343452659,0,0.000172026854223799,0,0,0,0.0551585482561126,0,0,0.0700175176928858,0,0.0534934236540125,0,0,0,0,0,0.147091240914824,0.0668220510224979,0,0.056953197364513,0.0808760912601612,0,0.0552627163959269,0.0643659949859854,0,0.0623799020992079,0.0581747987226346,0,0.233487364757919,0,0,0.00948426476055456,0.133697427023416,0.0298309437790303,0.00000720310319779604,0.0208780100413755,0.0223481545352557,0.000000055114043378716,0.0903225401322829,0,0.00000502807855870277,0.000584689235487824,0.0890046429559455,0.00000194567013970368,0.00649223398061828,0.157450044348596,0.000197782110723285,0.0000271507438409392,0.0000183309613127318,0.00000325257840110801,0.00222772233269134,0,0.00000810459753010904,"westmidlands"
