latravel,motorway,other
E06000001,0,1
E06000002,0,1
E06000003,0,1
E06000004,0,1
E06000005,0,1
E06000006,1,0
E06000007,0.7881876994759595,0.21181230052404051
E06000008,0,1
E06000009,0.09049238378445414,0.9095076162155458
E06000010,0,1
E06000011,0.1422095162364517,0.8577904837635483
E06000012,0,1
E06000013,0.5364827212840404,0.4635172787159595
E06000014,0,1
E06000015,0,1
E06000016,0,1
E06000017,0,1
E06000018,0.1400617846740765,0.8599382153259236
E06000019,0,1
E06000020,0,1
E06000021,0,1
E06000022,0,1
E06000023,0.6864454625528243,0.31355453744717565
E06000024,0.4720074665878705,0.5279925334121295
E06000025,0.48299796757776614,0.5170020324222337
E06000026,0,1
E06000027,0,1
E06000029,0,1
E06000030,0.2760328968096205,0.7239671031903795
E06000031,0,1
E06000032,0.6382167428211234,0.36178325717887666
E06000033,0,1
E06000034,0.1832764860277836,0.8167235139722163
E06000035,0.575077833892189,0.42492216610781086
E06000036,0.0851432363209869,0.9148567636790131
E06000037,0.30530643658553847,0.6946935634144615
E06000038,0.48465901311723164,0.5153409868827683
E06000039,0.819826395111802,0.18017360488819792
E06000040,0.7701608437728699,0.22983915622713005
E06000041,0.5020942656600248,0.4979057343399752
E06000042,0,1
E06000043,0.13721554121964213,0.8627844587803578
E06000045,0.7711584082191634,0.2288415917808365
E06000046,0,1
E06000047,0,1
E06000049,0.40946895085538765,0.5905310491446123
E06000050,0.29905037484370756,0.7009496251562924
E06000051,0.00944631157911578,0.9905536884208842
E06000052,0,1
E06000054,0.15311210745766232,0.8468878925423378
E06000055,0,1
E06000056,0.1307784765480558,0.8692215234519443
E06000057,0,1
E07000004,0.023550302518007896,0.9764496974819921
E07000005,0.23564322298722654,0.7643567770127734
E07000006,0.7250078973956525,0.27499210260434753
E07000007,0.4393408346765823,0.5606591653234175
E07000008,0,1
E07000009,0,1
E07000010,0,1
E07000011,0,1
E07000012,0.08830599437643968,0.9116940056235603
E07000026,0,1
E07000027,0,1
E07000028,0,1
E07000029,0,1
E07000030,0,1
E07000031,0.08172732978386331,0.9182726702161367
E07000032,0,1
E07000033,0.2287830898419512,0.771216910158049
E07000034,0.8286760629314122,0.1713239370685878
E07000035,0,1
E07000036,0.904653405198952,0.0953465948010481
E07000037,0,1
E07000038,0.13968368258561026,0.8603163174143896
E07000039,0,1
E07000040,0.09751297629031072,0.9024870237096893
E07000041,0.1092937997752498,0.8907062002247501
E07000042,0.13805089528274198,0.861949104717258
E07000043,0,1
