latravel,motorway,other
E06000001,0,1
E06000002,0,1
E06000003,0,1
E06000004,0,1
E06000005,0.049429645258709215,0.9505703547412908
E06000006,0.07772514799713853,0.9222748520028614
E06000007,0.6244453153858679,0.3755546846141321
E06000008,0,1
E06000009,0.009786605828594312,0.9902133941714056
E06000010,0,1
E06000011,0.0231091731058995,0.9768908268941005
E06000012,0,1
E06000013,0.15407640453963287,0.8459235954603671
E06000014,0,1
E06000015,0,1
E06000016,0,1
E06000017,0,1
E06000018,0.0021218972999441613,0.9978781027000558
E06000019,0.003615506010282371,0.9963844939897176
E06000020,0.11706965158390897,0.8829303484160911
E06000021,0,1
E06000022,0,1
E06000023,0.07390153974176907,0.926098460258231
E06000024,0.1101060575599362,0.8898939424400638
E06000025,0.3115267359501862,0.6884732640498138
E06000026,0,1
E06000027,0,1
E06000028,0,1
E06000029,0,1
E06000030,0.09382570402143989,0.9061742959785601
E06000031,0.012379763644046372,0.9876202363559536
E06000032,0.3294601726669417,0.6705398273330583
E06000033,0,1
E06000034,0.01802613486401265,0.9819738651359874
E06000035,0.09926014212622099,0.900739857873779
E06000036,0.0678160376625279,0.9321839623374721
E06000037,0.17929228544829454,0.8207077145517054
E06000038,0.07273586418818774,0.9272641358118122
E06000039,0.6044570951637482,0.39554290483625176
E06000040,0.3750179869330778,0.6249820130669221
E06000041,0.18860048774282104,0.811399512257179
E06000042,0.09563759701807611,0.9043624029819239
E06000043,0.020082672437702436,0.9799173275622975
E06000044,0.21276918463632002,0.78723081536368
E06000045,0.1602377283977738,0.8397622716022262
E06000046,0,1
E06000047,0.014844420179776177,0.9851555798202238
E06000049,0.07929560243149886,0.9207043975685012
E06000050,0.10544510985179131,0.8945548901482087
E06000051,0.010326190604595038,0.989673809395405
E06000052,0,1
E06000054,0.010927762467922479,0.9890722375320775
E06000055,0,1
E06000056,0.0650579158288902,0.9349420841711098
E06000057,0,1
E07000004,0.0071402851151308065,0.9928597148848692
E07000005,0.023445537703675808,0.9765544622963241
E07000006,0.44297415746181595,0.557025842538184
E07000007,0.22415213582916974,0.7758478641708303
E07000008,0.05543110293925033,0.9445688970607496
E07000009,0,1
E07000010,0,1
E07000011,0.03048074172742503,0.969519258272575
E07000012,0.028184757037098586,0.9718152429629014
E07000026,0,1
E07000027,0,1
E07000028,0.06927540978739848,0.9307245902126016
E07000029,0,1
E07000030,0.08129638598894974,0.9187036140110503
E07000031,0.0201635837876564,0.9798364162123436
E07000032,0,1
