"","","Motorway","Urban A","Rural A","Urban minor","Rural minor"
"liverpool","car","8475054.939","12432112.2365309","4520632.37571912","15436811.4682452","1273806.41728343"
"nottingham","car","3849084.651","7953223.0751439","13283986.9298561","9087830.8422566","5607116.33036999"
"bristol","car","15079141.1575","6539880.52283887","5967669.70566113","14032748.5076426","4266345.75488914"
"northeast","car","4730255.387","14607598.6094901","22681578.8916099","17874723.5632007","6159153.22415169"
"greatermanchester","car","29416886.1025","22615863.5557745","5153534.14647547","27583593.3275874","2177998.4265581"
"sheffield","car","13200028.849","9642567.85284993","6885346.42295008","12175258.4608031","3950807.88810568"
"westmidlands","car","13337503.6535","20842042.9437497","3103305.4794003","39264446.6592334","1450602.12224565"
"leeds","car","19285781.232","17609741.1152225","10494769.8760275","20504122.7279024","5258564.43442637"
"london","car","10249390.165","71246379.8565826","6699049.20986739","49421329.6352985","652824.659369369"
"liverpool","lgv","1449446.4995","1909297.55802032","711582.660729683","2721609.20124212","181352.610963964"
"nottingham","lgv","721571.274","1275580.88718708","2548192.96656292","1766377.83499767","919160.474628627"
"bristol","lgv","2319619.603","1088613.13877911","1030289.31422089","2250403.17089961","802363.010934806"
"northeast","lgv","865714.1175","2308747.92972375","3970551.65642625","2919509.73630934","1406297.95935067"
"greatermanchester","lgv","5258135.761","3472342.90727872","853799.718471285","4689476.64730996","329241.859571907"
"sheffield","lgv","2678335.5075","1509340.73875737","1257773.16394263","2616510.23511445","828197.060999331"
"westmidlands","lgv","2641541.719","3349585.0989654","445072.580684597","6638057.34278072","212936.742278573"
"leeds","lgv","4012762.49525","3018670.02015523","1816857.15209477","3528671.18275629","951950.271031855"
"london","lgv","1805013.768","11635879.0519106","1143520.38433944","8768896.08095689","135981.61631192"
"liverpool","hgv","971435.528","546611.994401197","286385.015948803","262396.111764686","15205.5002479038"
"nottingham","hgv","730096.3965","397709.146792177","1569557.26820782","147941.478976518","120283.839923941"
"bristol","hgv","1801772.6775","249704.871737765","323874.414762235","139079.550768915","67447.5755064241"
"northeast","hgv","574310.491","579289.233209184","1612442.39249082","212241.688218307","167428.324624365"
"greatermanchester","hgv","3579032.9405","777904.335891377","221336.125608623","447956.605961681","25230.1630287865"
"sheffield","hgv","2813463.2525","375035.302987602","525553.038812398","186423.563777123","147918.477105663"
"westmidlands","hgv","2334438.53","765114.592136913","150117.148163087","433673.702981316","19207.5036037171"
"leeds","hgv","3610911.14625","769430.431546903","541479.646353097","316061.72894669","89421.0638985703"
"london","hgv","1379086.6905","3617537.18003505","451127.145714954","644461.943098083","14673.8962322646"
"liverpool","bicycle","0","63760.1772106982","13105.9064393018","312100.085318274","15991.1110317261"
"nottingham","bicycle","0","51251.1320834681","27681.6144165319","524107.748025794","142637.905474206"
"bristol","bicycle","0","112497.541617813","28111.1163821867","410469.75608451","44441.2659154896"
"northeast","bicycle","8.322","58287.5756888528","43156.9035111472","410746.258714866","89698.3800851335"
"greatermanchester","bicycle","0","192152.893477948","30329.6627720521","722480.218381317","41044.7453686831"
"sheffield","bicycle","0","44068.2886374524","18752.3139625476","403107.47305703","85834.00434297"
"westmidlands","bicycle","0","81493.6047552671","6210.8728447329","718951.652939079","14274.429460921"
"leeds","bicycle","0","85175.2063883574","38869.0471616426","244973.827467513","50631.1989824875"
"london","bicycle","0","1706308.49642743","69020.6026725733","1686293.56406823","10003.7368317704"
"liverpool","motorcycle","34970.9785","92542.7360624558","32872.2092875442","203658.265196691","16495.1709533086"
"nottingham","motorcycle","13641.0355","68530.4588626059","108014.657387394","203560.816610719","121212.711639281"
"bristol","motorcycle","98306.3625","107980.009211937","96815.3952880628","308420.093838044","92648.0591619565"
"northeast","motorcycle","18820.276","95158.2331329827","179464.960017017","145324.524352014","55213.6064979865"
"greatermanchester","motorcycle","112582.571","156552.140472134","42637.7035278659","277129.645045647","25548.8199543532"
"sheffield","motorcycle","44579.7495","82231.8210241664","63187.4055758336","137713.168403086","47270.7354969138"
"westmidlands","motorcycle","48347.097","152597.026285189","21051.1616148108","411943.222915841","14202.1321841591"
"leeds","motorcycle","74560.9225","134362.674819293","97432.4549307072","210468.992017431","62782.9557325694"
"london","motorcycle","99616.3475","2218768.553017","140671.980583003","1380194.60317727","12596.3557227292"
"liverpool","bus","34669.7805","242630.108877064","38435.4437729356","350483.690280883","14258.096569117"
"nottingham","bus","14740.89","110187.860759151","85349.2092408491","223077.476961594","80951.7630384057"
"bristol","bus","82323.341","113237.573156118","54730.3533438825","232421.985406572","44013.9470934282"
"northeast","bus","21628.075","204072.810944271","218405.932705729","500003.001153969","139226.980196031"
"greatermanchester","bus","99585.213","415138.165702657","59672.2302973431","428764.932338241","22356.7386617587"
"sheffield","bus","51658.8515","165206.272908028","82800.4522919717","180388.379648367","44071.4836516331"
"westmidlands","bus","58240.276","359560.182442729","24156.4518072715","912617.948123688","16072.5016263126"
"leeds","bus","84491.6965","261622.285042248","107670.082107752","299870.910425396","56850.3059246042"
"london","bus","72908.2755","2365858.27599207","93200.8535079267","789984.512067691","4568.08293230872"
